CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,,,,,,
Non-GAAP per ADS,,12/31/2022,,1.45,11/21/2021,1.45,11/12/2021,1.45,10/10/2021,1.45,9/9/2021,1.45,9/8/2021
,,9/30/2022,,2.26,,2.26,,2.26,,2.26,,2.26,
,,6/30/2022,,1.64,,1.64,,1.64,,1.64,,1.64,
,,3/30/2022,,0.83,,0.83,,0.83,,0.83,,0.83,
,,12/31/2021,,1.38,,1.38,,1.38,,1.38,,1.38,
,,9/30/2021,,1.79,,1.79,,1.79,,1.79,,1.79,
,8/16/2021,6/30/2021,1.14,1.29,,1.14,,,,,,,
,5/17/2021,3/31/2021,-0.07,0.09,,-0.07,,,,,,,
,3/8/2021,12/31/2020,0.73,0.86,,0.73,,,,,,,
,11/23/2020,9/30/2020,1.01,1.14,,1.01,,,,,,,
,8/17/2020,6/30/2020,0.73,0.87,,0.73,,,,,,,
,5/18/2020,3/31/2020,-0.35,-0.25,,-0.35,,,,,,,
,3/16/2020,12/31/2019,0.79,0.89,,0.79,,,,,,,
,11/25/2019,9/30/2019,0.87,0.95,,0.87,,,,,,,
,8/23/2019,6/28/2019,0.67,0.67,,0.67,,,,,,,
,5/13/2019,3/29/2019,0.16,0.19,,0.16,,,,,,,
,3/18/2019,12/31/2018,-0.48,-0.11,,-0.48,,,,,,,
,,9/28/2018,-0.08,,,-0.08,,,,,,,
,,6/29/2018,-12.35,,,-12.35,,,,,,,
,,3/29/2018,-3.9,,,-3.9,,,,,,,
,,12/29/2017,-3.04,,,-3.04,,,,,,,
