CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,
Plots Adjusted,,1/30/2027,,0.15,6/7/2025,0.19,5/20/2025,0.2,4/14/2025,0.1,4/5/2025,0.1,2/18/2025,0.1,12/20/2024,0.1,12/19/2024
Search for ,,10/30/2026,,0.1,,0.14,,0.14,,0.15,,0.07,,0.07,,0.07,
Non-GAAP,,7/30/2026,,0.1,,0.14,,0.14,,0.14,,0.09,,0.09,,0.09,
,,4/30/2026,,0.07,,0.09,,0.09,,0.09,,0.04,,0.04,,0.04,
,,1/30/2026,,0.08,2/18/2025,0.13,2/18/2025,0.13,2/18/2025,0.12,2/18/2025,0.1,2/18/2025,0.1,12/20/2024,0.1,12/19/2024
,,10/30/2025,,0.04,,0.08,,0.08,,0.08,,0.07,,0.07,,0.07,
,,7/30/2025,,0.05,,0.09,,0.09,,0.09,,0.09,,0.09,,0.09,
,6/5/2025,4/30/2025,-0.34,0.07,,0.05,,0.05,,0.04,,0.04,,0.04,,0.04,
,3/27/2025,1/30/2025,-0.17,0.12,,0.05,,0.05,,0.05,,,,,,,
,12/9/2024,10/30/2024,-0.27,0.02,,0.02,,,,,,,,,,,
,9/5/2024,7/30/2024,-0.23,0.09,,0.09,,,,,,,,,,,
,6/6/2024,4/30/2024,-0.35,-0.05,,-0.05,,,,,,,,,,,
,3/27/2024,1/30/2024,-0.29,-0.04,,-0.04,,,,,,,,,,,
,12/6/2023,10/30/2023,-0.31,-0.05,,-0.05,,,,,,,,,,,
,9/7/2023,7/30/2023,-0.33,-0.04,,-0.04,,,,,,,,,,,
,6/8/2023,4/30/2023,-0.4,-0.13,,-0.13,,,,,,,,,,,
,3/30/2023,1/30/2023,-0.35,-0.14,,-0.14,,,,,,,,,,,
,12/13/2022,10/30/2022,-0.35,-0.15,,-0.15,,,,,,,,,,,
,9/12/2022,7/30/2022,-0.35,-0.16,,-0.16,,,,,,,,,,,
,6/13/2022,4/30/2022,-0.42,-0.19,,-0.19,,,,,,,,,,,
,3/30/2022,1/31/2022,-0.55,-0.18,,-0.18,,,,,,,,,,,
,12/20/2021,10/29/2021,-0.42,-0.16,,-0.16,,,,,,,,,,,
,,7/30/2021,-0.6,-0.32,,-0.32,,,,,,,,,,,
,,4/30/2021,-0.65,-0.3,,-0.3,,,,,,,,,,,
,,1/29/2021,-0.55,-0.42,,-0.42,,,,,,,,,,,
,,10/30/2020,-0.47,-0.35,,-0.35,,,,,,,,,,,
