CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2023,,1.8,9/17/2022,1.83,8/14/2022,2,7/15/2022,2.04,6/14/2022,2.03,5/11/2022,2.03,4/22/2022,,3/20/2022,1.49,2/17/2022,1.47,1/20/2022,1.45,12/14/2021,1.36,11/6/2021,1.38,10/16/2021,1.41,9/13/2021,1.36,8/7/2021,1.38,7/9/2021,1.34,6/4/2021,1.4,5/6/2021,1.4,4/22/2021,1.15,3/19/2021,1.08,2/16/2021,1.07,1/10/2021,1.07,12/9/2020,1.06,11/8/2020,1.09,10/15/2020,1.08,9/13/2020,1.09,8/4/2020,1.07,6/18/2020,1.24,5/8/2020,1.24,3/23/2020
,,9/30/2023,,2.34,,2.35,,2.63,,2.7,,2.7,,2.7,,,,2.07,,2.03,,2.06,,2.07,,2.09,,2.12,,2.05,,2.06,,2.05,,2.05,,2.05,,1.76,,1.65,,1.66,,1.65,,1.66,,1.73,,1.74,,1.74,,1.68,,1.89,,1.89,
,,6/30/2023,,2.16,,2.17,,2.36,,2.45,,2.43,,2.43,,,,1.95,,1.93,,1.93,,1.88,,1.82,,1.87,,1.89,,1.94,,1.96,,1.97,,1.97,,1.67,,1.55,,1.55,,1.55,,1.53,,1.57,,1.61,,1.49,,1.49,,1.69,,1.69,
,,3/30/2023,,0.96,,0.96,,0.97,,0.99,,0.99,,0.99,,,,0.78,,0.8,,0.79,,0.78,,0.75,,0.74,,0.73,,0.72,,0.74,,0.7,,0.7,,0.45,,0.43,,0.42,,0.43,,0.43,,0.44,,0.46,,0.47,,0.45,,0.5,,0.5,
,,12/31/2022,,1.45,,1.44,,1.58,,1.59,,1.59,,1.59,,1.55,,1.49,2/17/2022,1.47,1/20/2022,1.45,12/14/2021,1.36,11/6/2021,1.38,10/16/2021,1.41,9/13/2021,1.36,8/7/2021,1.38,7/9/2021,1.34,6/4/2021,1.4,5/6/2021,1.4,4/22/2021,1.15,3/19/2021,1.08,2/16/2021,1.07,1/10/2021,1.07,12/9/2020,1.06,11/8/2020,1.09,10/15/2020,1.08,9/13/2020,1.09,8/4/2020,1.07,6/18/2020,1.24,5/8/2020,1.24,3/23/2020
,,9/30/2022,,1.75,,1.75,,1.97,,2.06,,2.09,,2.11,,2.12,,2.07,,2.03,,2.06,,2.07,,2.09,,2.12,,2.05,,2.06,,2.05,,2.05,,2.05,,1.76,,1.65,,1.66,,1.65,,1.66,,1.73,,1.74,,1.74,,1.68,,1.89,,1.89,
,8/4/2022,6/30/2022,1.5,1.53,,1.77,,1.87,,1.87,,1.91,,1.94,,1.95,,1.93,,1.93,,1.88,,1.82,,1.87,,1.89,,1.94,,1.96,,1.97,,1.97,,1.67,,1.55,,1.55,,1.55,,1.53,,1.57,,1.61,,1.49,,1.49,,1.69,,1.69,,,
,5/4/2022,3/31/2022,0.7,0.73,,0.65,,0.71,,0.78,,0.8,,0.79,,0.78,,0.75,,0.74,,0.73,,0.72,,0.74,,0.7,,0.7,,0.45,,0.43,,0.42,,0.43,,0.43,,0.44,,0.46,,0.47,,0.45,,0.5,,0.5,,,,,,,,,
,2/16/2022,12/31/2021,1.04,1.25,,1.15,,1.14,,1.14,,1.14,,1.16,,1.15,,1.14,,1.14,,1.16,,1.17,4/22/2021,1.15,3/19/2021,1.08,2/16/2021,1.07,1/10/2021,1.07,12/9/2020,1.06,11/8/2020,1.09,10/15/2020,1.08,9/13/2020,1.09,8/4/2020,1.07,6/18/2020,1.24,5/8/2020,1.24,3/23/2020,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,1.33,1.54,,1.68,,1.7,,1.72,,1.76,,1.76,,1.76,,1.76,,1.76,,1.65,,1.66,,1.65,,1.66,,1.73,,1.74,,1.74,,1.68,,1.89,,1.89,,,,,,,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,1.47,1.57,,1.7,,1.7,,1.7,,1.69,,1.67,,1.55,,1.55,,1.55,,1.53,,1.57,,1.61,,1.49,,1.49,,1.69,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,1.21,0.69,,0.44,,0.45,,0.43,,0.42,,0.43,,0.43,,0.44,,0.46,,0.47,,0.45,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/16/2021,12/31/2020,0.87,1.07,,0.97,,0.97,,1,,1,3/23/2020,1,3/23/2020,0.98,3/23/2020,0.93,3/23/2020,0.99,3/23/2020,1.27,3/23/2020,1.4,2/18/2020,1.41,1/13/2020,1.41,9/29/2019,1.43,,1.43,,1.42,,1.474107884,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,1.51,1.56,,1.63,,1.64,,1.61,,1.52,,1.57,,1.97,,1.99,,2,,1.94,,1.92,,1.92,,1.997178423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,1.58,1.6,,1.33,,1.33,,1.74,,1.76,,1.76,,1.76,,1.73,,1.73,,1.74,,1.771307054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.45,0.47,,0.51,,0.58,,0.59,,0.64,,0.63,,0.63,,0.475518672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/18/2020,12/31/2019,1.07,1.08,,1.19,,1.22,,1.24,,1.24,,1.23,,1.24,1.28,1.24,1.34,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,1.62,1.68,,1.69,,1.7,,1.7,,1.67,,1.66,1.68,1.65,1.73,1.76,1.74,1.97,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,1.481455374,1.48,,1.47,,1.46,,1.49,,1.5,1.49,1.48,1.49,1.51,1.49,1.71,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.475739174,0.46,,0.36,,0.38,,0.4,,0.45,0.47,0.48,0.46,0.48,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14/2019,12/31/2018,0.929923745,0.99,,0.89,,0.92,,0.94,,0.98,1.1,1.09,1.05,1,1.14,1.27,1.42,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,1.338006184,1.4,,1.37,,1.58,,1.59,,1.47,1.36,1.42,1.72,1.92,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/31/2018,6/29/2018,1.190979553,1.23,,1.36,,1.38,,1.27,,1.17,1.23,1.35,1.62,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,0.394309276,0.44,,0.22,,0.4,,0.37,,0.42,0.46,0.45,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/16/2018,12/29/2017,2.428461276,,,0.74,,0.77,,0.89,,0.99,1.06,1.04,1.19,1.14,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2017,9/29/2017,0.805691389,,,1.05,,1.33,,1.47,,1.5,1.49,1.48,1.41,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2017,6/30/2017,0.897272424,,,1.2,,1.24,,1.23,,1.22,1.21,1.22,1.23,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2017,3/31/2017,0.33282704,,,0.2,,0.26,,0.28,,0.36,0.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.831850889,,,0.85,,0.83,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
