CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,
Y,,12/31/2027,,-1.14,8/15/2026,-1.17,7/5/2026,-0.84,3/30/2026,-0.84,2/27/2026,,,,,,,,,,,,,,
,,9/30/2027,,-0.03,,-0.03,,0.15,,0.15,,,,,,,,,,,,,,,
,,6/30/2027,,0.84,,0.46,,0.51,,0.51,,,,,,,,,,,,,,,
,,3/30/2027,,2.18,,2.08,,1.53,,1.53,,,,,,,,,,,,,,,
,,12/31/2026,,-1.29,1/9/2026,-1.3,1/9/2026,-0.91,1/9/2026,-0.91,1/9/2026,,,,,,,,,,,,,,
,,9/30/2026,,-0.3,,-0.23,,-0.06,,-0.04,,,,,,,,,,,,,,,
,8/6/2026,6/30/2026,1.1,1.1,,0.29,,0.22,,1.25,,,,,,,,,,,,,,,
,5/6/2026,3/30/2026,2.07,2.07,,1.13,,1.14,,0.73,,,,,,,,,,,,,,,
,2/10/2026,12/31/2025,-1.24,-1.24,,-0.89,,-0.93,,-0.95,,,,,,,,,,,,,,,
,11/6/2025,9/30/2025,-0.53,-0.53,,-0.51,,-0.48,,-0.2,,,,,,,,,,,,,,,
,8/6/2025,6/30/2025,-0.89,-0.89,,0.29,,0.37,,0.37,,,,,,,,,,,,,,,
,5/7/2025,3/30/2025,0.92,0.92,,0.92,,,,,,,,,,,,,,,,,,,
,2/4/2025,12/31/2024,-0.62,-0.62,,-0.62,,,,,,,,,,,,,,,,,,,
,11/7/2024,9/30/2024,-0.22,-0.22,,-0.22,,,,,,,,,,,,,,,,,,,
,8/7/2024,6/30/2024,0.2,0.2,,0.2,,,,,,,,,,,,,,,,,,,
,5/7/2024,3/30/2024,0.62,0.62,,0.62,,,,,,,,,,,,,,,,,,,
,2/7/2024,12/31/2023,-0.66,-0.66,,-0.66,,,,,,,,,,,,,,,,,,,
,11/7/2023,9/30/2023,-0.29,-0.29,,-0.29,,,,,,,,,,,,,,,,,,,
,8/8/2023,6/30/2023,-0.07,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,
,5/9/2023,3/30/2023,-0.18,-0.18,,-0.18,,,,,,,,,,,,,,,,,,,
,2/9/2023,12/31/2022,-1.05,-1.05,,-1.05,,,,,,,,,,,,,,,,,,,
,11/8/2022,9/30/2022,-0.91,-0.91,,-0.91,,,,,,,,,,,,,,,,,,,
,8/11/2022,6/30/2022,-0.53,-0.53,,-0.53,,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,-0.36,-0.36,,-0.36,,,,,,,,,,,,,,,,,,,
,2/10/2022,12/31/2021,-0.95,-0.95,,-0.95,,,,,,,,,,,,,,,,,,,
,11/10/2021,9/30/2021,-1.02,-1.02,,-1.02,,,,,,,,,,,,,,,,,,,
,8/12/2021,6/30/2021,-0.35,-0.35,,-0.35,,,,,,,,,,,,,,,,,,,
,5/13/2021,3/31/2021,-1,-0.98,,-0.98,,,,,,,,,,,,,,,,,,,
,,12/31/2020,-6.26,-6.26,,-6.26,,,,,,,,,,,,,,,,,,,
,,9/30/2020,-2.72,-2.72,,-2.72,,,,,,,,,,,,,,,,,,,
,,6/30/2020,-1.42,-1.42,,-1.42,,,,,,,,,,,,,,,,,,,
,,3/31/2020,-3.36,-3.36,,-3.36,,,,,,,,,,,,,,,,,,,
