CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,
Y,,3/31/2022,1.21,6/29/2021,1.21,5/30/2021,1.24,5/1/2021,1.3,3/26/2021,1.3,2/28/2021,1.34,1/28/2021,1.34,1/15/2021,1.34,1/14/2021,
,,12/31/2021,1.15,,1.15,,1.2,,1.29,,1.29,,1.33,,1.33,,1.33,,
,,9/30/2021,1.03,,1.03,,1.1,,1.19,,1.19,,1.23,,1.23,,1.23,,
,,6/30/2021,1.05,,1.06,,1.06,,1.1,,1.1,,1.14,,1.14,,1.14,,
,4/29/2021,3/31/2021,1.24,,1.1,,1.1,,1.15,,1.15,,1.15,,1.48,9/8/2019,1.704635762,,1.704635762
,1/28/2021,12/31/2020,1.35,,1.13,,1.19,,1.39,,1.536754967,,1.536754967,,,,,,
,10/29/2020,9/30/2020,1.36,,1.06,,1.19,,1.291390728,,1.291390728,,,,,,,,
,8/6/2020,6/30/2020,0.98,,1.05,,1.23,,1.317218543,,1.317218543,,,,,,,,
,4/30/2020,3/31/2020,0.7,,1.11,,1.23,,1.34,,1.34,,1.32,,1.41,1.37,1.35,,
,2/6/2020,12/31/2019,1.51,,1,,1.12,,1.2,,1.2,,1.19,,1.26,1.27,1.22,1.37,1.21
,10/31/2019,9/30/2019,0.28,,0.93,,1,,1,,1.09,,1.08,1.01,,,,,
,8/1/2019,6/28/2019,1.929250195,,0.97,,1.02,,1.12,,1.13,1.12,,,,,,,
,5/2/2019,3/29/2019,1.601823577,,1.08,,1.07,,1.04,,1.01,0.9,0.76,,,,,,
,1/31/2019,12/31/2018,0.972385989,,0.94,,0.95,,0.88,,0.68,0.66,0.67,,,,,,
,11/1/2018,9/28/2018,1.086104912,,0.74,,0.75,,0.71,,0.59,0.58,0.53,,,,,,
,7/26/2018,6/29/2018,1.950789491,,0.82,,0.8,,0.65,,0.66,,,,,,,,
,5/3/2018,3/29/2018,0.798573936,,0.56,,0.55,,0.56,,0.51,0.52,,,,,,,
,2/1/2018,12/29/2017,0.293139157,,0.51,,0.5,,0.49,,0.47,0.48,0.45,0.47,0.54,0.47,,,
,10/26/2017,9/29/2017,0.536194144,,0.38,,0.36,,0.38,,0.37,0.35,0.36,0.37,0.47,0.39,,,
,7/27/2017,6/30/2017,0.819461498,,0.42,,0.4,,0.42,,0.4,0.41,0.37,0.4,,,,,
,,3/31/2017,0.331649007,,0.35,,0.41,,0.34,,0.32,0.29,,,,,,,
,,12/30/2016,0.344695108,,0.29,,0.35,,0.3,,0.31,0.32,0.27,0.28,0.29,,,,
,,9/30/2016,0.199080305,,0.24,,0.25,,0.26,,0.23,,,,,,,,
,,6/30/2016,0.285758555,,0.23,,0.24,,0.26,,0.25,,,,,,,,
,,3/31/2016,0.243793226,,0.19,,0.17,,0.2,,0.21,0.2,0.19,,,,,,
,,12/30/2015,0.234821687,,0.15,,0.18,,0.19,,0.18,0.19,0.2,,,,,,
,,9/29/2015,0.172187347,,0.16,,0.12,,0.13,,0.14,,,,,,,,
,,6/29/2015,0.199482099,,0.08,,,,,,,,,,,,,,
,,3/30/2015,2.244636655,,0.14,,,,,,,,,,,,,,
,,12/30/2014,0.295774648,,0.04,,,,,,,,,,,,,,
,,9/29/2014,0.090887568,,0.02,,,,,,,,,,,,,,
,,6/27/2014,-0.042658879,,0.02,,,,,,,,,,,,,,
,,3/28/2014,0.085982196,,0.08,,,,,,,,,,,,,,
,,12/30/2013,0.105282078,,,,,,,,,,,,,,,,
,,9/27/2013,0.025618695,,,,,,,,,,,,,,,,
,,6/27/2013,-0.044547288,,,,,,,,,,,,,,,,
,,3/27/2013,0.093963439,,,,,,,,,,,,,,,,
,,12/28/2012,0.065679677,,,,,,,,,,,,,,,,
,,9/27/2012,0.131081923,,,,,,,,,,,,,,,,
,,6/28/2012,0.075067992,,,,,,,,,,,,,,,,
,,3/29/2012,0.062228794,,,,,,,,,,,,,,,,
,,12/29/2011,0.072535386,,,,,,,,,,,,,,,,
,,9/27/2011,0.015266982,,,,,,,,,,,,,,,,
,,6/29/2011,-0.120048082,,,,,,,,,,,,,,,,
,,3/30/2011,-0.047594746,,,,,,,,,,,,,,,,
,,12/30/2010,-0.021562038,,,,,,,,,,,,,,,,
,,9/29/2010,-0.086150285,,,,,,,,,,,,,,,,
,,6/29/2010,-0.161246832,,,,,,,,,,,,,,,,
,,3/30/2010,0.02633925,,,,,,,,,,,,,,,,
,,12/30/2009,-0.123341709,,,,,,,,,,,,,,,,
,,9/29/2009,-0.207832304,,,,,,,,,,,,,,,,
,,6/29/2009,-0.21231771,,,,,,,,,,,,,,,,
,,3/30/2009,-0.230442828,,,,,,,,,,,,,,,,
,,12/30/2008,-0.21355857,,,,,,,,,,,,,,,,
,,9/29/2008,-0.183611313,,,,,,,,,,,,,,,,
,,6/27/2008,-0.277485158,,,,,,,,,,,,,,,,
,,3/28/2008,-0.459094812,,,,,,,,,,,,,,,,
,,12/28/2007,-0.255509727,,,,,,,,,,,,,,,,
,,9/27/2007,-0.289371414,,,,,,,,,,,,,,,,
,,6/28/2007,-0.255890902,,,,,,,,,,,,,,,,
,,3/29/2007,-0.224061265,,,,,,,,,,,,,,,,
,,12/28/2006,-0.251759509,,,,,,,,,,,,,,,,
,,9/28/2006,-0.326030589,,,,,,,,,,,,,,,,
,,6/29/2006,-0.231463304,,,,,,,,,,,,,,,,
,,3/30/2006,-0.139564855,,,,,,,,,,,,,,,,
,,12/29/2005,-0.170012523,,,,,,,,,,,,,,,,
,,9/29/2005,-0.105862634,,,,,,,,,,,,,,,,
,,6/29/2005,-0.766871769,,,,,,,,,,,,,,,,
,,3/30/2005,-0.010020337,,,,,,,,,,,,,,,,
,,12/30/2004,-0.009156275,,,,,,,,,,,,,,,,
,,9/29/2004,0.019923232,,,,,,,,,,,,,,,,
,,6/29/2004,-0.110287951,,,,,,,,,,,,,,,,
,,3/30/2004,-0.446556044,,,,,,,,,,,,,,,,
,,12/30/2003,-0.092903039,,,,,,,,,,,,,,,,
,,9/29/2003,-0.131003841,,,,,,,,,,,,,,,,
,,6/27/2003,-0.151287051,,,,,,,,,,,,,,,,
,,3/28/2003,-0.865533009,,,,,,,,,,,,,,,,
,,12/30/2002,-0.211220023,,,,,,,,,,,,,,,,
,,9/27/2002,-0.247427413,,,,,,,,,,,,,,,,
,,6/27/2002,-0.262498859,,,,,,,,,,,,,,,,
,,3/27/2002,-0.25,,,,,,,,,,,,,,,,
,,12/28/2001,-0.25450152,,,,,,,,,,,,,,,,
,,9/27/2001,-0.26925152,,,,,,,,,,,,,,,,
,,6/28/2001,-0.25,,,,,,,,,,,,,,,,
,,3/30/2001,-0.595,,,,,,,,,,,,,,,,
,,12/29/2000,-0.18,,,,,,,,,,,,,,,,
,,9/29/2000,-0.07,,,,,,,,,,,,,,,,
,,6/30/2000,-0.095,,,,,,,,,,,,,,,,
,,3/31/2000,-0.3825,,,,,,,,,,,,,,,,
,,12/31/1999,-0.205,,,,,,,,,,,,,,,,
,,9/30/1999,-0.175,,,,,,,,,,,,,,,,
,,6/30/1999,-0.045,,,,,,,,,,,,,,,,
,,3/31/1999,-0.39,,,,,,,,,,,,,,,,
,,12/31/1998,-0.135,,,,,,,,,,,,,,,,
,,9/30/1998,-0.145,,,,,,,,,,,,,,,,
,,6/30/1998,-0.03,,,,,,,,,,,,,,,,
,,3/31/1998,-0.155,,,,,,,,,,,,,,,,
,,12/31/1997,-0.075,,,,,,,,,,,,,,,,
,,9/30/1997,0.03,,,,,,,,,,,,,,,,
,,6/30/1997,0.06,,,,,,,,,,,,,,,,
,,3/31/1997,0.05,,,,,,,,,,,,,,,,
,,12/31/1996,-0.025,,,,,,,,,,,,,,,,
,,9/30/1996,0.02,,,,,,,,,,,,,,,,
,,6/28/1996,0.025,,,,,,,,,,,,,,,,
,,3/29/1996,0.035,,,,,,,,,,,,,,,,
,,12/29/1995,0.015,,,,,,,,,,,,,,,,
,,9/29/1995,0.005,,,,,,,,,,,,,,,,
,,6/30/1995,0.005,,,,,,,,,,,,,,,,
,,3/31/1995,-0.015,,,,,,,,,,,,,,,,
,,12/30/1994,0,,,,,,,,,,,,,,,,
,,9/30/1994,-0.005,,,,,,,,,,,,,,,,
