Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
9/30/2021,0.64,3/19/2020,0.620689655,3/8/2020,0.620689655,,,,,,,,,,,,,,
6/30/2021,0.66,,0.662068966,,0.662068966,,,,,,,,,,,,,,
3/31/2021,0.55,,0.548275862,,0.548275862,,,,,,,,,,,,,,
12/31/2020,0.48,,0.579310345,,0.579310345,,,,,,,,,,,,,,
9/30/2020,0.62,,0.6,,0.6,,0.53,,,,,,,,,,,,
6/30/2020,0.64,,0.64,,0.64,,0.57,,,,,,,,,,,,
3/31/2020,0.51,,0.53,,0.53,,0.52,,,,,,,,,,,,
12/31/2019,0.45,,0.56,,0.55,,,,,,,,,,,,,,
9/30/2019,0.58,,0.53,,0.55,,0.62,,,,,,,,,,,,
6/28/2019,0.588244046,,0.58,,0.59,,0.68,,,,,,,,,,,,
3/29/2019,0.543222223,,0.54,,0.55,,0.63,,,,,,,,,,,,
12/31/2018,0.543292638,,0.53,,0.56,,,,,,,,,,,,,,
9/28/2018,0.45819945,,0.48,,0.56,,0.5,,,,,,,,,,,,
6/29/2018,0.478544952,,0.6,,0.61,,0.54,,,,,,,,,,,,
3/29/2018,0.490744221,,0.56,,0.49,,0.47,,,,,,,,,,,,
12/29/2017,0.647238525,,0.42,,0.46,,0.42,,,,,,,,,,,,
9/29/2017,0.272325275,,0.47,,0.48,,0.46,,0.45,,0.48,,,,,,,,
6/30/2017,0.488686021,,0.49,,0.5,,0.52,,,,,,,,,,,,
3/31/2017,0.403269061,,0.42,,0.43,,0.44,,,,,,,,,,,,
12/30/2016,0.385378987,,0.45,,0.48,,0.47,,,,,,,,,,,,
9/30/2016,0.359076296,,0.42,,0.43,,0.45,,,,,,,,,,,,
6/30/2016,0.459418143,,0.47,,0.46,,,,,,,,,,,,,,
3/31/2016,0.405493394,,0.41,,0.43,,0.42,,,,,,,,,,,,
12/31/2015,0.277137759,,0.37,,0.36,,0.37,,0.4,,0.44,,,,,,,,
9/30/2015,0.359076296,,0.39,,0.4,,0.44,,0.45,,0.46,,,,,,,,
6/30/2015,0.39255279,,0.46,,0.48,,0.49,,,,,,,,,,,,
3/31/2015,0.385509335,,0.39,,0.41,,0.39,,,,,,,,,,,,
12/31/2014,0.346330695,,0.38,,0.39,,0.4,,0.41,,0.4,,,,,,,,
9/30/2014,0.390516304,,0.4,,0.39,,0.41,,0.43,,0.44,,0.46,,0.48,,0.49,,0.43
6/30/2014,0.416898427,,0.43,,0.48,,0.47,,0.48,,0.5,,0.39,,,,,,
3/31/2014,0.352064524,,0.39,,0.4,,0.41,,0.42,,0.43,,0.44,,0.36,,,,
12/31/2013,0.345712497,,0.36,,0.37,,0.38,,0.4,,0.39,,,,,,,,
9/30/2013,0.379608045,,0.39,,0.42,,0.43,,0.43,,,,,,,,,,
6/28/2013,0.417041701,,0.43,,0.44,,0.39,,,,,,,,,,,,
3/28/2013,0.363755613,,0.39,,0.41,,0.4,,0.34,,,,,,,,,,
12/28/2012,0.321633058,,0.34,,0.36,,,,,,,,,,,,,,
9/28/2012,0.353943643,,0.36,,,,,,,,,,,,,,,,
6/29/2012,0.368639122,,0.37,,,,,,,,,,,,,,,,
3/30/2012,0.353774963,,0.32,,,,,,,,,,,,,,,,
12/30/2011,0.158426565,,nan,,,,,,,,,,,,,,,,
9/30/2011,0.287229377,,nan,,,,,,,,,,,,,,,,
6/29/2011,0.366627429,,nan,,,,,,,,,,,,,,,,
3/30/2011,0.262502397,,nan,,,,,,,,,,,,,,,,
12/30/2010,0.21874349,,nan,,,,,,,,,,,,,,,,
9/29/2010,0.227484817,,nan,,,,,,,,,,,,,,,,
6/29/2010,0.223002034,,nan,,,,,,,,,,,,,,,,
3/30/2010,0.18785161,,nan,,,,,,,,,,,,,,,,
12/30/2009,0.142111934,,nan,,,,,,,,,,,,,,,,
9/29/2009,0.146731,,nan,,,,,,,,,,,,,,,,
6/29/2009,0.171370573,,nan,,,,,,,,,,,,,,,,
3/30/2009,0.134380549,,nan,,,,,,,,,,,,,,,,
12/30/2008,0.087761292,,nan,,,,,,,,,,,,,,,,
9/29/2008,0.117449242,,nan,,,,,,,,,,,,,,,,
6/27/2008,0.16057472,,nan,,,,,,,,,,,,,,,,
3/28/2008,0.07,,nan,,,,,,,,,,,,,,,,
12/28/2007,0.08,,nan,,,,,,,,,,,,,,,,
9/27/2007,0.09,,nan,,,,,,,,,,,,,,,,
6/28/2007,0.07,,nan,,,,,,,,,,,,,,,,
3/29/2007,0.06,,nan,,,,,,,,,,,,,,,,
