CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,
N,,10/30/2026,,0.54,11/13/2025,0.54,10/7/2025,0.54,10/6/2025,0.62,9/7/2025,0.63
,,7/31/2026,,0.52,,0.52,,0.525,,0.59,,0.6
,,4/30/2026,,0.48,,0.48,,0.49,,0.54,,0.52
,,1/30/2026,,0.46,,0.46,,0.47,,0.46,,0.45
,,10/31/2025,,0.46,,0.46,,0.425,,0.54,,0.6
,8/27/2025,7/31/2025,0.39,0.51,,0.38,,0.58,,0.61,,
,5/28/2025,4/30/2025,0.145324237,0.4,,0.48,,0.56,,0.57,,
,2/26/2025,1/30/2025,0.684636377,0.52,,0.47,,0.5,,0.43,,
,12/11/2024,10/31/2024,0.542782119,0.59,,0.52,,0.54,,0.55,,
,8/29/2024,7/26/2024,0.551158394,0.51,,0.56,,0.53,,0.48,,
,5/22/2024,4/26/2024,0.580861735,0.46,,0.55,,0.47,,0.5,,
,2/21/2024,1/26/2024,0.420339418,0.48,,0.49,,0.44,,0.45,,
,12/13/2023,10/31/2023,0.718755538,0.72,,0.53,,0.53,,0.39,,
,9/6/2023,7/31/2023,0.435005002,0.44,,0.52,,0.38,,0.28,,
,5/24/2023,4/28/2023,0.648706651,0.65,,0.45,,0.25,,0.24,,
,2/20/2023,1/31/2023,0.227525622,0.23,,0.4,,0.22,,0.21,,
,12/13/2022,10/31/2022,0.603838759,0.6,,0.48,,0.24,,0.26,,
,8/30/2022,7/29/2022,0.508980571,0.51,,0.5,,0.23,,0.25,,
,5/25/2022,4/29/2022,0.448638482,0.49,,0.35,,0.2,,0.21,,
,2/23/2022,1/31/2022,0.379086254,0.38,,0.31,,0.16,,0.17,,
,12/18/2021,10/29/2021,0.325080449,0.33,,0.25,,0.21,,0.27,,
,8/25/2021,7/30/2021,0.27798098,0.23,,0.22,,0.16,,0.23,,
,5/26/2021,4/30/2021,0.168232963,0.17,,0.17,,0.2,,0.16,,
,2/24/2021,1/29/2021,0.12697405,0.13,,0.11,,0.12,,0.11,,
,,10/30/2020,0.100358202,,,0.15,,0.12,,0.17,,
,,7/31/2020,0.165524852,,,0.15,,0.09,,0.14,,
,,5/1/2020,0.096305242,,,0.14,,0.1,,0.11,,
,,1/31/2020,0.155006095,,,0.16,,0.09,,,,
,,10/31/2019,0.14507493,,,0.15,,0.08,,0.17,,
,,7/26/2019,0.095343248,,,0.1,,0.09,,0.15,,
,,4/30/2019,0.125047807,,,0.07,,0.1,,0.2,,
,,1/31/2019,0.078556833,,,0.05,,0.07,,0.17,,
,,10/31/2018,0.168923581,,,0.17,,0.2,,0.22,,
,,7/31/2018,0.17939621,,,0.15,,0.17,,0.18,,
,,4/30/2018,0.148437292,,,0.07,,0.12,,0.14,,
,,1/26/2018,0.085019893,,,0.06,,0.13,,0.15,,
,,10/27/2017,0.077797683,,,0.06,,0.13,,0.16,,
,,7/28/2017,0.057667916,,,0.09,,0.17,,0.21,,
,,4/28/2017,0.025913382,,,0.05,,0.21,,,,
,,1/27/2017,0.028133991,,,0.03,,0.19,,0.18,,
,,10/28/2016,0.076277828,,,0.03,,0.26,,,,
,,7/29/2016,0.108831088,,,0.14,,,,,,
,,5/2/2016,0.152923267,,,0.13,,0.06,,,,
,,2/1/2016,0.265391225,,,0.16,,0.09,,,,
,,11/2/2015,0.236827714,,,0.12,,,,,,
,,8/3/2015,0.167712457,,,0.12,,,,,,
,,5/1/2015,0.142289206,,,0.1,,0.04,,0.05,,
,,1/30/2015,0.057251567,,,nan,,,,,,
,,10/31/2014,0.066739487,,,nan,,0.1,,,,
,,8/1/2014,0.067048949,,,0.07,,0.09,,,,
,,5/2/2014,0.219831414,,,nan,,0.02,,,,
,,1/31/2014,0.032074804,,,nan,,0.04,,,,
,,11/1/2013,0.078112391,,,0.08,,0.15,,,,
,,7/26/2013,0.099792979,,,nan,,0.12,,,,
,,4/26/2013,0.079071885,,,nan,,0.09,,,,
,,1/25/2013,0.038022751,,,nan,,,,,,
,,10/26/2012,0.062782546,,,nan,,,,,,
,,7/27/2012,0.163430844,,,nan,,,,,,
,,4/27/2012,0.115132524,,,nan,,,,,,
,,1/27/2012,0.070047596,,,nan,,,,,,
,,10/28/2011,0.1218348,,,nan,,,,,,
,,7/29/2011,0.146786719,,,nan,,,,,,
,,4/29/2011,-0.295196193,,,nan,,,,,,
,,1/28/2011,0.1824,,,nan,,,,,,
,,10/29/2010,0.123123441,,,nan,,,,,,
,,7/30/2010,0.116038021,,,nan,,,,,,
,,4/30/2010,0.119686835,,,nan,,,,,,
,,1/29/2010,0.00388516,,,nan,,,,,,
,,10/30/2009,0.025374691,,,nan,,,,,,
,,7/31/2009,-0.546330615,,,nan,,,,,,
,,5/1/2009,-0.241101137,,,nan,,,,,,
,,1/30/2009,-0.245260408,,,nan,,,,,,
,,10/31/2008,0.005595771,,,nan,,,,,,
,,7/25/2008,-4.934760693,,,nan,,,,,,
,,4/25/2008,-0.049690187,,,nan,,,,,,
,,1/25/2008,-0.080238313,,,nan,,,,,,
,,10/26/2007,0.008696906,,,nan,,,,,,
,,7/27/2007,0.053458819,,,nan,,,,,,
,,4/27/2007,0.273662912,,,nan,,,,,,
,,1/26/2007,0.152975993,,,nan,,,,,,
,,10/27/2006,0.191856035,,,nan,,,,,,
,,7/28/2006,0.109141009,,,nan,,,,,,
,,4/28/2006,0.103261616,,,nan,,,,,,
,,1/27/2006,0.190260276,,,nan,,,,,,
,,10/31/2005,0.193101467,,,nan,,,,,,
,,7/29/2005,0.326824096,,,nan,,,,,,
,,4/29/2005,0.249398557,,,nan,,,,,,
,,1/28/2005,0.107462051,,,nan,,,,,,
,,10/29/2004,0.186830341,,,nan,,,,,,
,,7/30/2004,0.200056888,,,nan,,,,,,
,,4/30/2004,0.14029207,,,nan,,,,,,
,,1/30/2004,0.065324794,,,nan,,,,,,
,,10/31/2003,0.095283134,,,nan,,,,,,
,,8/1/2003,0.03929443,,,nan,,,,,,
,,5/2/2003,-1.374910305,,,nan,,,,,,
,,1/31/2003,-0.264912445,,,nan,,,,,,
,,11/1/2002,-0.321903691,,,nan,,,,,,
,,7/31/2002,0.036759004,,,nan,,,,,,
,,4/30/2002,0.078943245,,,nan,,,,,,
,,1/31/2002,0.055990001,,,nan,,,,,,
,,10/31/2001,0.065101947,,,nan,,,,,,
,,7/31/2001,0.059288669,,,nan,,,,,,
,,4/30/2001,-0.541360171,,,nan,,,,,,
,,1/31/2001,0.246053826,,,nan,,,,,,
,,10/31/2000,0.341121652,,,nan,,,,,,
,,7/31/2000,0.108343626,,,nan,,,,,,
,,4/28/2000,-0.18768806,,,nan,,,,,,
,,1/31/2000,0.125591321,,,nan,,,,,,
,,10/29/1999,0.203059954,,,nan,,,,,,
,,7/30/1999,0.156837283,,,nan,,,,,,
,,4/30/1999,0.086386232,,,nan,,,,,,
,,1/29/1999,0.025599535,,,nan,,,,,,
,,10/30/1998,0.11450353,,,nan,,,,,,
,,7/31/1998,0.201121933,,,nan,,,,,,
,,5/1/1998,0.181808842,,,nan,,,,,,
,,1/30/1998,0.216648843,,,nan,,,,,,
,,10/31/1997,0.27369686,,,nan,,,,,,
,,8/1/1997,0.245160597,,,nan,,,,,,
,,5/2/1997,0.247945151,,,nan,,,,,,
,,1/31/1997,0.215543412,,,nan,,,,,,
,,11/1/1996,0.230228907,,,nan,,,,,,
,,7/31/1996,0.227603006,,,nan,,,,,,
,,4/30/1996,0.218583997,,,nan,,,,,,
,,1/31/1996,0.192859512,,,nan,,,,,,
,,11/1/1995,0.226867137,,,nan,,,,,,
,,7/31/1995,0.270406028,,,nan,,,,,,
,,4/28/1995,0.181679825,,,nan,,,,,,
