CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
Non-GAAP,,3/30/2026,,0.39,4/19/2025,0.39,3/14/2025,0.39,2/2/2025,0.39,2/1/2025
,,12/30/2025,,0.41,,0.41,,0.41,,0.41,
,,9/30/2025,,0.4,,0.4,,0.4,,0.4,
,,6/30/2025,,0.35,,0.36,,0.36,,0.36,
,,3/30/2025,,0.3,,0.3,,0.3,,0.3,
,1/30/2025,12/30/2024,1.19,0.37,,0.37,,,,,
,11/7/2024,9/30/2024,0.15,0.37,,0.37,,,,,
,8/7/2024,6/30/2024,0.13,0.33,,0.33,,,,,
,5/15/2024,3/30/2024,0.13,0.3,,0.3,,,,,
,2/8/2024,12/30/2023,0.14,0.31,,0.31,,,,,
,11/2/2023,9/30/2023,0.12,0.27,,0.27,,,,,
,8/2/2023,6/30/2023,0.13,0.31,,0.31,,,,,
,5/17/2023,3/30/2023,0.27,0.25,,0.25,,,,,
,2/1/2023,12/30/2022,0.05,0.22,,0.22,,,,,
,11/2/2022,9/30/2022,0.04,0.18,,0.18,,,,,
,8/3/2022,6/30/2022,0.01,0.17,,0.17,,,,,
,5/18/2022,3/31/2022,0.01,0.18,,0.18,,,,,
,2/2/2022,12/31/2021,0.05,0.18,,0.18,,,,,
,10/27/2021,9/30/2021,0.08,0.16,,0.16,,,,,
,7/28/2021,6/30/2021,0.05,0.15,,0.15,,,,,
,5/12/2021,3/31/2021,0.09,0.17,,0.17,,,,,
,2/3/2021,12/31/2020,0.06,0.18,,0.18,,,,,
,10/28/2020,9/30/2020,0.06,0.18,,0.18,,,,,
,7/29/2020,6/30/2020,0.05,0.13,,0.13,,,,,
,5/8/2020,3/31/2020,0.18,0.1,,0.1,,,,,
,1/29/2020,12/31/2019,0.01,0.1,,0.1,,,,,
,,9/30/2019,-1.58,0.07,,0.07,,,,,
,,6/28/2019,-0.21,0.04,,0.04,,,,,
,,3/29/2019,-0.13,0.03,,0.03,,,,,
,,12/31/2018,-0.09,0.02,,0.02,,,,,
