CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,,,,,,,,,,,,,,,,,
Y,,12/31/2021,0.94,1/4/2021,0.95,12/1/2020,0.97,10/30/2020,0.96,10/3/2020,0.96,9/1/2020,0.95,8/1/2020,1.09,6/9/2020,1.09,5/1/2020,1.09,4/11/2020,,,,,,,,,,,,,,,,,,,,,
,,9/30/2021,0.92,,0.92,,0.94,,0.93,,0.93,,0.93,,1.07,,1.08,,1.08,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2021,0.91,,0.91,,0.88,,0.88,,0.88,,0.91,,1.02,,1.02,,1.02,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.88,,0.87,,0.85,,0.83,,0.83,,0.83,,0.94,,0.93,,0.93,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.91,,0.92,,0.91,4/11/2020,0.91,4/11/2020,0.9,4/11/2020,0.93,4/11/2020,0.97,4/11/2020,1.04,4/11/2020,1.09,4/11/2020,1.15,3/8/2020,1.15,2/2/2020,1.15,1/26/2020,1.15,1/10/2020,1.21,9/22/2019,1.35,,1.35,,1.36,,1.37,,1.199620853,,1.174038462
,10/30/2020,9/30/2020,0.85,,0.85,,0.83,,0.84,,0.91,,1,,1.02,,1.08,,1.08,,1.08,,1.08,,1.17,,1.32,,1.32,,1.33,,1.36,,1.178199052,,1.152884615,,,,
,7/31/2020,6/30/2020,1.05,,0.86,,0.96,,0.99,,1.04,,1.03,,1.03,,1.03,,1.05,,1.24,,1.24,,1.34,,1.28,,1.12464455,,1.110576923,,,,,,,,,,
,5/1/2020,3/31/2020,0.93,,0.95,,0.94,,0.94,,0.94,,0.95,,0.96,,0.99,,0.99,,1.14,,1.038957346,,1.057692308,,,,,,,,,,,,,,,,
,1/31/2020,12/31/2019,1.06,,0.96,,0.96,,0.95,,1.08,,1.08,,1.1,,1.08,,1.16,,1.12,1.11,1.07,1.03,,,,,,,,,,,,,,,,,
,10/25/2019,9/30/2019,1.15,,1.07,,1.07,,1.1,,1.06,,1.12,,1.1,1.09,0.99,1.01,0.98,0.97,,,,,,,,,,,,,,,,,,,,,
,7/26/2019,6/28/2019,1.153465347,,1.02,,1.05,,1.02,,1.06,,1.05,,0.97,0.96,0.95,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,0.92,,0.97,,1,,0.95,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8/2019,12/31/2018,1.612079656,,1.02,,1.01,,1,,0.98,,0.92,,0.96,0.99,1.07,0.96,0.97,,,,,,,,,,,,,,,,,,,,,,
,10/26/2018,9/28/2018,1.050404844,,0.92,,0.89,,0.93,,0.97,,1.07,,0.94,0.93,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2018,6/29/2018,0.88965355,,0.86,,0.87,,0.88,,0.92,,1.04,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2018,3/29/2018,0.812233717,,0.86,,0.84,,0.85,,0.87,,0.92,,0.87,0.88,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2/2018,12/29/2017,0.830000158,,0.92,,0.83,,0.86,,0.85,,0.84,,0.85,0.91,0.89,0.87,0.76,0.85,0.64,,,,,,,,,,,,,,,,,,,,
,10/27/2017,9/29/2017,0.506759814,,0.64,,0.72,,0.82,,0.8,,0.76,,0.79,0.83,0.84,0.82,0.75,0.83,0.72,,,,,,,,,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.604456493,,0.72,,0.69,,0.75,,0.79,,0.8,,0.78,0.76,0.67,0.74,0.64,,,,,,,,,,,,,,,,,,,,,,
,4/28/2017,3/31/2017,0.605214153,,0.64,,0.72,,0.77,,0.75,,0.63,,0.68,0.75,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2017,12/30/2016,0.647079234,,0.75,,0.76,,0.75,,0.72,,0.61,,0.68,0.75,0.73,0.72,0.78,0.65,0.57,0.58,,,,,,,,,,,,,,,,,,,
,10/28/2016,9/30/2016,0.567846877,,0.58,,0.56,,0.6,,0.68,,0.65,,0.64,0.73,0.66,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,
,7/29/2016,6/30/2016,0.510118677,,0.5,,0.53,,0.64,,0.65,,0.61,,0.64,0.62,0.54,0.58,,,,,,,,,,,,,,,,,,,,,,,
,4/29/2016,3/31/2016,0.441733532,,0.58,,0.54,,0.59,,0.57,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.61047169,,0.53,,0.54,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.498279616,,0.45,,0.51,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.403018979,,0.44,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.373076725,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.43591158,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.370445481,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.411005205,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.244242847,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.425930658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
