CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Y/N,,1/30/2027,,2.74,1/10/2026,2.87,11/23/2025,3.25,10/27/2025,3.25,9/24/2025,3.24,8/22/2025,3.2,7/3/2025,3.18,5/23/2025,,,,,,,,,,,,
,,10/30/2026,,3.95,,4.03,,4.23,,4.23,,4.21,,4.23,,4.25,,,,,,,,,,,,,
,,7/30/2026,,4.76,,4.84,,5.04,,5.04,,5.02,,5.1,,5.11,,,,,,,,,,,,,
,,4/30/2026,,3.62,,3.69,,3.89,,3.89,,3.88,,3.89,,3.88,,,,,,,,,,,,,
,,1/30/2026,,2.53,12/23/2024,2.6,12/23/2024,2.92,12/23/2024,2.92,12/23/2024,2.91,12/23/2024,2.88,12/23/2024,2.87,12/23/2024,,,,,,,,,,,,
,11/18/2025,10/30/2025,3.62,3.74,,3.86,,3.86,,3.85,,3.85,,3.85,,,,,,,,,,,,,,,
,8/19/2025,7/30/2025,4.58,4.68,,4.72,,4.72,,4.72,,,,,,,,,,,,,,,,,,,
,5/20/2025,4/30/2025,3.45,3.56,,3.61,,3.57,,3.66,,,,,,,,,,,,,,,,,,,
,2/25/2025,1/30/2025,3.02,3.02,4/7/2024,2.97,4/7/2024,3,4/7/2024,2.98,4/7/2024,,,,,,,,,,,,,,,,,,
,11/12/2024,10/30/2024,3.67,3.78,,3.61,,3.6,,3.76,,,,,,,,,,,,,,,,,,,
,8/13/2024,7/30/2024,4.6,4.6,,4.48,,4.59,,4.63,,,,,,,,,,,,,,,,,,,
,5/14/2024,4/30/2024,3.63,3.63,,3.6,,3.61,,3.68,,,,,,,,,,,,,,,,,,,
,2/20/2024,1/30/2024,2.82,2.82,4/2/2023,2.76,4/2/2023,2.76,4/2/2023,2.94,4/2/2023,,,,,,,,,,,,,,,,,,
,11/14/2023,10/30/2023,3.81,3.81,,3.8,,3.8,,3.77,,,,,,,,,,,,,,,,,,,
,8/15/2023,7/30/2023,4.65,4.65,,4.43,,4.49,,4.74,,,,,,,,,,,,,,,,,,,
,5/16/2023,4/30/2023,3.82,3.82,,3.86,,3.87,,4.12,,,,,,,,,,,,,,,,,,,
,2/21/2023,1/29/2023,3.3,3.3,,3.28,,3.28,,3.3,,,,,,,,,,,,,,,,,,,
,11/15/2022,10/30/2022,4.24,4.24,,4.11,,4.11,,4.11,,,,,,,,,,,,,,,,,,,
,8/16/2022,7/31/2022,5.05,5.05,,4.95,,4.97,,4.95,,,,,,,,,,,,,,,,,,,
,5/17/2022,4/30/2022,4.09,4.09,,3.63,,3.62,,3.64,,,,,,,,,,,,,,,,,,,
,2/22/2022,1/29/2022,3.21,3.21,,3.18,,3.17,,3.14,,,,,,,,,,,,,,,,,,,
,11/16/2021,10/30/2021,3.92,3.92,,3.34,,3.33,,3.33,,,,,,,,,,,,,,,,,,,
,8/17/2021,7/31/2021,4.53,4.53,,4.39,,4.39,,4.04,,,,,,,,,,,,,,,,,,,
,5/18/2021,4/30/2021,3.86,3.86,,2.98,,2.95,,2.93,,,,,,,,,,,,,,,,,,,
,2/23/2021,1/29/2021,2.65,2.65,,2.55,,2.58,,2.39,,,,,,,,,,,,,,,,,,,
,11/17/2020,10/30/2020,3.18,3.18,,2.96,,2.96,,2.88,,,,,,,,,,,,,,,,,,,
,8/18/2020,7/31/2020,4.02,4.02,,3.3,,3.3,,3.22,,,,,,,,,,,,,,,,,,,
,5/19/2020,4/30/2020,2.08,2.08,,2.26,,2.26,,2.31,,,,,,,,,,,,,,,,,,,
,2/25/2020,1/31/2020,2.28,2.28,,2.11,,2.11,,2.11,,,,,,,,,,,,,,,,,,,
,11/19/2019,10/31/2019,2.531078611,2.53,,2.53,,2.52,,2.53,,,,,,,,,,,,,,,,,,,
,8/20/2019,8/2/2019,3.165605096,3.17,,3.08,,3.09,,3.1,,,,,,,,,,,,,,,,,,,
,5/21/2019,5/3/2019,2.272151899,2.27,,2.18,,2.2,,2.22,,,,,,,,,,,,,,,,,,,
,2/26/2019,2/1/2019,2.090990187,2.25,,2.16,,2.17,,2.22,,,,,,,,,,,,,,,,,,,
,11/13/2018,10/31/2018,2.512708151,2.51,,2.26,,2.31,,2.32,,,,,,,,,,,,,,,,,,,
,8/14/2018,7/31/2018,3.051348999,3.05,,2.84,,2.83,,2.84,,,,,,,,,,,,,,,,,,,
,5/15/2018,4/27/2018,2.075993092,2.08,,2.05,,2.07,,2.08,,,,,,,,,,,,,,,,,,,
,2/20/2018,1/31/2018,1.524421594,,,1.61,,1.63,,1.62,,,,,,,,,,,,,,,,,,,
,11/14/2017,10/31/2017,1.844122658,,,1.82,,1.81,,1.79,,,,,,,,,,,,,,,,,,,
,8/15/2017,7/28/2017,2.247266611,,,2.22,,2.21,,2.22,,,,,,,,,,,,,,,,,,,
,5/16/2017,4/28/2017,1.672757475,,,1.62,,1.6,,1.61,,,,,,,,,,,,,,,,,,,
,2/21/2017,1/31/2017,1.440132122,,,1.34,,1.33,,1.34,,,,,,,,,,,,,,,,,,,
,11/15/2016,10/31/2016,1.602115541,,,1.58,,1.57,,1.58,,,,,,,,,,,,,,,,,,,
,8/16/2016,7/29/2016,1.968548387,,,1.97,,1.98,,1.99,,,,,,,,,,,,,,,,,,,
,5/17/2016,4/29/2016,1.440095847,,,1.34,,1.33,,1.34,,,,,,,,,,,,,,,,,,,
,,1/29/2016,1.168387609,,,1.1,,1.11,,1.09,,,,,,,,,,,,,,,,,,,
,,10/30/2015,1.35400314,,,1.32,,1.3,,1.29,,,,,,,,,,,,,,,,,,,
,,7/31/2015,1.733126455,,,1.71,,1.7,,1.72,,,,,,,,,,,,,,,,,,,
,,5/4/2015,1.209961686,,,1.15,,1.14,,1.12,,,,,,,,,,,,,,,,,,,
,,1/30/2015,1.049467275,,,0.89,,0.9,,0.88,,,,,,,,,,,,,,,,,,,
,,10/31/2014,1.152173913,,,1.13,,1.11,,1.12,,,,,,,,,,,,,,,,,,,
,,8/1/2014,1.515151515,,,1.45,,1.44,,1.43,,,,,,,,,,,,,,,,,,,
,,5/2/2014,1.002180233,,,0.99,,1.01,,1,,,,,,,,,,,,,,,,,,,
,,1/31/2014,0.728253055,,,0.71,,0.72,,0.73,,,,,,,,,,,,,,,,,,,
,,10/31/2013,0.953422724,,,0.88,,0.89,,0.9,,,,,,,,,,,,,,,,,,,
,,7/31/2013,1.243936244,,,1.21,,1.2,,1.19,,,,,,,,,,,,,,,,,,,
,,4/30/2013,0.829499323,,,0.77,,0.76,,0.75,,,,,,,,,,,,,,,,,,,
,,2/1/2013,0.684775319,,,0.64,,0.63,,0.7,,,,,,,,,,,,,,,,,,,
,,10/26/2012,0.632176235,,,0.7,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2012,1.013227513,,,0.97,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2012,0.676028739,,,0.65,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2012,0.504234528,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/28/2011,0.603359173,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2011,0.864299302,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2011,0.504034761,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/28/2011,0.354041013,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2010,0.506682868,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2010,0.716776909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2010,0.42950237,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2010,0.20212766,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2009,0.406969876,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2009,0.659964518,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5/29/2009,0.304322084,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27/2009,1.94E-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2008,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8/1/2008,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5/2/2008,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/1/2008,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/26/2007,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/27/2007,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/27/2007,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/26/2007,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/27/2006,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/28/2006,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/2006,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/27/2006,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2005,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2005,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2005,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/28/2005,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2004,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2004,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2004,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2004,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2003,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8/1/2003,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5/2/2003,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2003,0.297098311,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/1/2002,0.401195049,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8/2/2002,0.500211595,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5/3/2002,0.361945032,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/1/2002,0.301870748,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/26/2001,0.330782313,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/27/2001,0.392356688,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/27/2001,0.269279932,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/26/2001,0.200863931,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/27/2000,0.276360544,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/28/2000,0.356292517,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/2000,0.267204758,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/3/2000,0.247224594,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/1999,0.244662681,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/1999,0.290419162,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/1999,0.209332192,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/1999,0.180172414,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/1998,0.16892911,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/1998,0.201379905,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5/1/1998,0.14598224,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/1998,0.134295713,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/1997,0.102899499,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8/1/1997,0.156605424,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5/2/1997,0.114348786,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/1997,0.114298725,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/25/1996,0.100821893,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/26/1996,0.124446397,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/26/1996,0.090251414,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/26/1996,0.086195686,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/27/1995,0.081633593,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/28/1995,0.099025661,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/1995,0.073449445,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/27/1995,0.068080568,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/28/1994,0.065710468,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/1994,0.083490393,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/1994,0.068400092,,,,,,,,,,,,,,,,,,,,,,,,,,
