CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,
Non-GAAP,,12/31/2026,,1.09,6/26/2025,1.1,5/13/2025,1.01,4/22/2025,1.02,3/21/2025,1.01,2/11/2025,0.72,12/16/2024,0.77,11/2/2024,0.73,9/29/2024,0.75,8/10/2024,0.77,6/30/2024,0.76,5/11/2024,0.45,4/4/2024,0.43,2/10/2024,0.39,1/11/2024,0.38,12/3/2023,0.38,12/2/2023
,,9/30/2026,,0.97,,0.98,,0.91,,0.91,,0.91,,0.63,,0.67,,0.61,,0.64,,0.62,,0.6,,0.35,,0.34,,0.33,,0.32,,0.32,
,,6/30/2026,,0.92,,0.93,,0.86,,0.87,,0.86,,0.57,,0.61,,0.56,,0.61,,0.56,,0.55,,0.3,,0.29,,0.28,,0.28,,0.28,
,,3/30/2026,,0.8,,0.8,,0.77,,0.78,,0.77,,0.47,,0.52,,0.47,,0.48,,0.46,,0.45,,0.24,,0.23,,0.21,,0.21,,0.21,
,,12/31/2025,,0.76,12/16/2024,0.75,12/16/2024,0.74,12/16/2024,0.75,12/16/2024,0.74,12/16/2024,0.72,12/16/2024,0.77,11/2/2024,0.73,9/29/2024,0.75,8/10/2024,0.77,6/30/2024,0.76,5/11/2024,0.45,4/4/2024,0.43,2/10/2024,0.39,1/11/2024,0.38,12/3/2023,0.38,12/2/2023
,,9/30/2025,,0.67,,0.66,,0.65,,0.65,,0.64,,0.63,,0.67,,0.61,,0.64,,0.62,,0.6,,0.35,,0.34,,0.33,,0.32,,0.32,
,,6/30/2025,,0.62,,0.61,,0.58,,0.59,,0.59,,0.57,,0.61,,0.56,,0.61,,0.56,,0.55,,0.3,,0.29,,0.28,,0.28,,0.28,
,5/7/2025,3/30/2025,0.83,0.83,,0.5,,0.5,,0.5,,0.47,,0.52,,0.47,,0.48,,0.46,,0.45,,0.24,,0.23,,0.21,,0.21,,0.21,,,
,2/5/2025,12/31/2024,3.21,3.21,4/4/2024,0.48,4/4/2024,0.49,4/4/2024,0.48,4/4/2024,0.46,4/4/2024,0.47,4/4/2024,0.46,4/4/2024,0.45,4/4/2024,0.43,2/10/2024,0.39,1/11/2024,0.38,12/3/2023,0.38,12/2/2023,,,,,,,,
,10/31/2024,9/30/2024,1.2,1.2,,0.39,,0.37,,0.35,,0.35,,0.35,,0.34,,0.33,,0.32,,0.32,,,,,,,,,,,,,
,8/6/2024,6/30/2024,0.47,0.47,,0.31,,0.3,,0.3,,0.29,,0.28,,0.28,,0.28,,,,,,,,,,,,,,,,,
,5/8/2024,3/30/2024,-0.32,-0.31,,0.24,,0.23,,0.21,,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,
,2/10/2024,12/31/2023,0.66,0.66,,0.17,,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
,11/7/2023,9/30/2023,0.1,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,0.18,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2023,3/30/2023,-0.08,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8/2023,12/31/2022,0.29,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,-0.61,-0.61,,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2022,6/30/2022,-1.33,-1.33,,-1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,-3.04,-3.03,,-3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/9/2022,12/31/2021,0.44,-0.26,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,-1.28,-1.28,,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,0.58,0.58,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,-0.06,-0.06,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/10/2021,12/31/2020,-0.54,-0.54,,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,-0.62,-0.62,,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,-1.02,-1.02,,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2020,3/31/2020,-1.7,-1.7,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6/2020,12/31/2019,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2019,9/30/2019,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/8/2019,6/28/2019,-4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/30/2019,3/29/2019,-2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,-2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,-2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,-2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,-2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,-2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,-2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,-1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
