CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
N,,12/31/2026,,3.3,11/27/2025,3.21,10/24/2025,3.21,10/1/2025,3.11,8/28/2025,3.33,7/24/2025,3.1,7/7/2025
,,9/30/2026,,3.36,,3.37,,3.37,,3.26,,3.4,,3.23,
,,6/30/2026,,3.16,,3.14,,3.14,,3.05,,3.2,,3.19,
,,3/30/2026,,3.1,,3.01,,3,,2.93,,2.98,,2.89,
,,12/31/2025,,2.4,12/29/2024,2.49,12/29/2024,2.56,12/29/2024,2.62,12/29/2024,2.87,12/29/2024,2.86,12/29/2024
,10/20/2025,9/30/2025,2.74,2.74,,2.65,,2.62,,2.85,,3.02,,,
,7/21/2025,6/30/2025,2.01,2.01,,2.42,,2.65,,2.62,,,,,
,4/22/2025,3/30/2025,1.44,1.44,,1.42,,1.53,,1.77,,,,,
,1/22/2025,12/31/2024,1.36,1.36,3/10/2024,1.45,3/10/2024,1.67,3/10/2024,1.75,3/10/2024,,,,
,10/16/2024,9/30/2024,2.05,2.05,,2.2,,2.47,,2.7,,,,,
,7/17/2024,6/30/2024,2.72,2.72,,2.97,,3.21,,3.1,,,,,
,4/23/2024,3/30/2024,3.67,3.67,,3.36,,3.42,,3.14,,,,,
,1/23/2024,12/31/2023,2.61,2.61,,2.55,,2.45,,2.31,,,,,
,10/18/2023,9/30/2023,3.47,3.47,,3.47,,3.83,,3.97,,,,,
,7/19/2023,6/30/2023,4.81,4.81,,5.03,,4.79,,3.58,,,,,
,4/19/2023,3/30/2023,3.7,4.01,,3.11,,3.4,,3.52,,,,,
,1/25/2023,12/30/2022,3.61,4.37,,3.76,,3.86,,3.86,,,,,
,10/19/2022,9/30/2022,5.03,5.46,,5,,4.96,,4.91,,,,,
,7/20/2022,6/30/2022,6.44,6.73,,5.97,,5.71,,4.7,,,,,
,4/20/2022,3/31/2022,5.71,6.02,,5.08,,5.2,,4.85,,,,,
,1/24/2022,12/31/2021,5.49,5.78,,5.63,,5.63,,5.67,,,,,
,10/18/2021,9/30/2021,4.852708812,4.96,,4.77,,4.47,,1.13,,,,,
,7/19/2021,6/30/2021,3.324559992,3.4,,3.43,,1.62,,0.57,,,,,
,4/19/2021,3/31/2021,2.028230328,2.1,,1.91,,1.75,,0.53,,,,,
,1/25/2021,12/31/2020,0.885834607,0.97,,0.82,,0.32,,0.39,,,,,
,10/19/2020,9/30/2020,0.472334683,0.51,,0.47,,0.28,,0.37,,,,,
,7/20/2020,6/30/2020,0.357161105,0.47,,0.35,,0.32,,0.46,,,,,
,4/20/2020,3/31/2020,0.875322394,0.88,,0.79,,0.78,,0.66,,,,,
,1/22/2020,12/31/2019,0.561108493,0.62,,0.55,,0.58,,0.59,,,,,
,10/16/2019,9/30/2019,0.689373782,0.69,,0.69,,0.7,,0.99,,,,,
,7/22/2019,6/28/2019,0.873192851,0.87,,0.89,,1.04,,1.12,,,,,
,4/22/2019,3/29/2019,0.908277842,0.91,,0.97,,0.99,,1.07,,,,,
,1/22/2019,12/31/2018,1.171612679,1.31,,1.21,,1.39,,1.38,,,,,
,10/17/2018,9/28/2018,1.690543987,1.69,,1.64,,1.59,,1.58,,,,,
,7/23/2018,6/29/2018,1.529675663,1.53,,1.49,,1.47,,1.33,,,,,
,4/18/2018,3/29/2018,0.957210703,0.96,,0.91,,0.98,,0.96,,,,,
,,12/29/2017,1.276758967,,,0.51,,0.62,,0.67,,,,,
,,9/29/2017,0.636242112,,,0.66,,0.73,,0.76,,,,,
,,6/30/2017,0.633414396,,,0.63,,0.84,,0.86,,,,,
,,3/31/2017,0.821182927,,,0.78,,0.63,,0.62,,,,,
,,12/30/2016,0.081511623,,,0.43,,0.44,,0.36,,,,,
,,9/30/2016,0.640653365,,,0.66,,0.43,,0.39,,,,,
,,6/30/2016,0.578539643,,,0.56,,0.43,,0.32,,,,,
