CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Adjusted,,12/31/2025,,0.11,2/28/2025,0.13,1/20/2025,0.13,1/19/2025,,,,,,,,,,,,,,,
,,9/30/2025,,0.08,,0.11,,0.11,,,,,,,,,,,,,,,,
,,6/30/2025,,0.08,,0.1,,0.1,,,,,,,,,,,,,,,,
,,3/30/2025,,0.07,,0.08,,0.08,,,,,,,,,,,,,,,,
,2/26/2025,12/31/2024,0.02,0.07,,0.07,,0.07,,,,,,,,,,,,,,,,
,10/30/2024,9/30/2024,0.01,0.05,,0.05,,,,,,,,,,,,,,,,,,
,7/31/2024,6/30/2024,0.01,0.04,,0.04,,,,,,,,,,,,,,,,,,
,5/1/2024,3/30/2024,-0.01,0.03,,0.03,,,,,,,,,,,,,,,,,,
,3/6/2024,12/31/2023,-0.02,0.01,,0.01,,,,,,,,,,,,,,,,,,
,11/1/2023,9/30/2023,-0.06,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,8/2/2023,6/30/2023,-0.08,-0.04,,-0.04,,,,,,,,,,,,,,,,,,
,5/3/2023,3/30/2023,-0.11,-0.08,,-0.08,,,,,,,,,,,,,,,,,,
,3/1/2023,12/31/2022,-0.14,-0.11,,-0.11,,,,,,,,,,,,,,,,,,
,11/2/2022,9/30/2022,-0.1,-0.08,,-0.08,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,-0.13,-0.11,,-0.11,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,-0.24,-0.22,,-0.22,,,,,,,,,,,,,,,,,,
,3/2/2022,12/31/2021,-0.17,-0.15,,-0.15,,,,,,,,,,,,,,,,,,
,11/10/2021,9/30/2021,-0.09,-0.07,,-0.07,,,,,,,,,,,,,,,,,,
,8/12/2021,6/30/2021,-0.06,-0.04,,-0.04,,,,,,,,,,,,,,,,,,
,5/13/2021,3/31/2021,-0.18,-0.08,,-0.08,,,,,,,,,,,,,,,,,,
,3/10/2021,12/31/2020,-0.01,-0.34,,-0.34,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.01,-0.19,,-0.19,,,,,,,,,,,,,,,,,,
,,6/30/2020,-0.01,-0.12,,-0.12,,,,,,,,,,,,,,,,,,
,,3/31/2020,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,
,,12/31/2019,-0.01,-0.01,,-0.01,,,,,,,,,,,,,,,,,,
