CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Y,,12/31/2026,,11.33,1/11/2026,122.37,11/28/2025,122.37,10/25/2025,124.59,10/6/2025,124.59,8/29/2025,132.74,7/25/2025,134.1,7/7/2025,,,
,,9/30/2026,,113.39,,118.04,,118.04,,115.84,,115.84,,121.23,,122.8,,,,
,,6/30/2026,,102.23,,106.42,,106.42,,111.68,,111.68,,112.15,,110.34,,,,
,,3/30/2026,,84.56,,85.02,,85.02,,90.95,,90.95,,94.06,,96.53,,,,
,,12/31/2025,,106.21,1/3/2025,106.44,1/3/2025,106.44,1/3/2025,111.77,1/3/2025,111.77,1/3/2025,109.68,1/3/2025,110.54,1/3/2025,,,
,10/25/2025,9/30/2025,112.33,112.33,,109.36,,109.56,,105.59,,106.83,,,,,,,,
,7/23/2025,6/30/2025,108.54,108.54,,107.55,,107.55,,112.75,,,,,,,,,,
,4/22/2025,3/30/2025,94.83,94.83,,107.34,,107.24,,107.24,,,,,,,,,,
,1/28/2025,12/31/2024,139.93,139.93,3/7/2024,127.86,3/7/2024,133.41,3/7/2024,130.78,3/7/2024,,,,,,,,,
,10/22/2024,9/30/2024,130.5,130.5,,131.2,,131.52,,131.54,,,,,,,,,,
,7/23/2024,6/30/2024,120.69,120.69,,121.18,,121.18,,118.75,,,,,,,,,,
,4/23/2024,3/30/2024,116.41,116.41,,103.43,,103.43,,93.78,,,,,,,,,,
,1/30/2024,12/31/2023,121.56,121.56,,121.5,,121.63,,121.63,,,,,,,,,,
,10/24/2023,9/30/2023,125.26,125.26,,115.61,,115.61,,110.18,,,,,,,,,,
,7/25/2023,6/30/2023,116.54,116.54,,100.33,,102.4,,97.86,,,,,,,,,,
,4/25/2023,3/30/2023,99.89,99.89,,88.96,,85.25,,75.44,,,,,,,,,,
,1/31/2023,12/31/2022,133.44,133.44,,98.88,,98.88,,100.75,,,,,,,,,,
,10/25/2022,9/30/2022,118.51,118.51,,122.38,,116.39,,120.01,,,,,,,,,,
,7/26/2022,6/30/2022,123.65,123.65,,126.77,,126.77,,126.56,,,,,,,,,,
,4/26/2022,3/31/2022,116.56,116.56,,96.98,,96.32,,83.99,,,,,,,,,,
,2/1/2022,12/31/2021,89.09,89.09,,97.49,,97.49,,98.16,,,,,,,,,,
,10/21/2021,9/30/2021,86.44,86.44,,95.95,,95.95,,90.65,,,,,,,,,,
,7/21/2021,6/30/2021,82.45,82.45,,72.53,,72.53,,69,,,,,,,,,,
,4/21/2021,3/31/2021,63.21,63.21,,65.76,,60.38,,64.68,,,,,,,,,,
,1/28/2021,12/31/2020,76.93,76.93,,78.78,,78.42,,73.94,3/25/2020,,,,,,,,,
,10/20/2020,9/30/2020,65.11,65.11,,59.47,,59.76,,43.17,,,,,,,,,,
,7/22/2020,6/30/2020,42.5,42.5,,42,,40.87,,45.52,,,,,,,,,,
,4/23/2020,3/31/2020,44.96,44.96,,45.52,,46.83,,47.85,,,,,,,,,,
,1/28/2020,12/31/2019,64.41,64.41,,58.69,,56.18,,55.98,53.67,,,,,,,,,
,10/18/2019,9/30/2019,56.11509529,56.11,,51.22,,50.91,,48.92,48.88,,,,,,,,,
,7/19/2019,6/28/2019,53.09648901,53.09,,44.82,,45.7,,44.82,41.98,,,,,,,,,
