CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Be Careful,,12/31/2026,,0.31,9/18/2025,0.33,8/13/2025,0.32,6/21/2025,0.35,5/5/2025,,,,,,,,,,,,,
Could not find how,,9/30/2026,,0.25,,0.26,,0.26,,0.28,,,,,,,,,,,,,,
CNBC is reporting,,6/30/2026,,0.19,,0.19,,0.19,,0.19,,,,,,,,,,,,,,
Plots Adjusted,,3/30/2026,,0.13,,0.14,,0.14,,0.14,,,,,,,,,,,,,,
,,12/31/2025,,0.25,12/24/2024,0.26,12/24/2024,0.25,12/24/2024,0.26,12/24/2024,,,,,,,,,,,,,
,,9/30/2025,,0.18,,0.19,,0.19,,0.2,,,,,,,,,,,,,,
,8/5/2025,6/30/2025,-0.06,0.14,,0.14,,0.14,,0.15,,,,,,,,,,,,,,
,5/1/2025,3/30/2025,-0.1,0.11,,0.12,,0.12,,0.12,,,,,,,,,,,,,,
,2/25/2025,12/31/2024,0.06,0.25,,0.23,,0.23,,0.21,,,,,,,,,,,,,,
,11/11/2024,9/30/2024,-0.09,0.19,,0.17,,0.16,,,,,,,,,,,,,,,,
,7/31/2024,6/30/2024,-0.16,0.13,,,,,,,,,,,,,,,,,,,,
,5/6/2024,3/30/2024,-0.23,0.07,,,,,,,,,,,,,,,,,,,,
,2/27/2024,12/31/2023,-0.22,0.16,,,,,,,,,,,,,,,,,,,,
,11/1/2023,9/30/2023,-0.27,0.09,,,,,,,,,,,,,,,,,,,,
,8/2/2023,6/30/2023,-0.34,0.05,,,,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,-0.38,0.05,,,,,,,,,,,,,,,,,,,,
,2/23/2023,12/31/2022,-0.36,1.09,,,,,,,,,,,,,,,,,,,,
,11/1/2022,9/30/2022,-0.49,0.05,,,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,-0.63,-0.03,,,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,-0.54,0.02,,,,,,,,,,,,,,,,,,,,
,2/23/2022,12/31/2021,-0.46,0.08,,,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,-0.53,0.01,,,,,,,,,,,,,,,,,,,,
,8/10/2021,6/30/2021,-1.92,-0.08,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,-0.86,-0.86,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,-0.53,-0.53,,,,,,,,,,,,,,,,,,,,
,,9/30/2020,-0.51,-0.51,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,-0.58,-0.58,,,,,,,,,,,,,,,,,,,,
