CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adj. per ADS,,12/31/2022,,2.52,9/26/2022,2.48,8/22/2022,2.58,8/5/2022,2.58,7/2/2022,2.68,5/31/2022,2.63,4/22/2022,2.56,3/19/2022,2.56,2/28/2022,2.56,1/21/2022,2.56,12/21/2021,2.56,11/20/2021,2.06,10/12/2021,2.06,9/9/2021,2.04,8/19/2021,2.04,8/2/2021,2.04,6/22/2021,2.1,5/22/2021,1.96,4/22/2021,1.94,3/20/2021,2.14,2/21/2021,2.14,1/17/2021,2.12,12/18/2020,2.4,11/19/2020,2.59,10/17/2020,2.59,9/20/2020,2.59,8/19/2020,2.64,7/4/2020,2.99,5/25/2020,2.99,4/14/2020
,,9/30/2022,,1.95,,2,,1.9,,1.9,,1.89,,1.94,,1.93,,1.79,,1.76,,1.76,,1.76,,1.66,,1.66,,1.58,,1.58,,1.53,,1.52,,1.55,,1.54,,1.66,,1.66,,1.68,,1.99,,2.07,,2.07,,2.07,,2.29,,2.36,,2.36,
,8/17/2022,6/30/2022,2.23,2.23,,1.82,,1.82,,1.75,,1.9,,2.06,,1.95,,1.89,,1.89,,1.89,,1.83,,1.83,,1.75,,1.75,,1.52,,1.58,,1.63,,1.65,,1.82,,1.82,,1.84,,2.08,,2.15,,2.19,,2.19,,2.46,,2.28,,2.28,,,
,5/25/2022,3/30/2022,1.12,1.34,,1.49,,1.53,,1.55,,1.56,,1.56,,1.56,,1.55,,1.55,,1.43,,1.43,,0.64,,1.03,,1.11,,1.15,,1.15,,1.35,,1.43,,1.29,,1.3,,1.3,,1.72,,1.46,,1.46,,,,,,,,,,,
,3/17/2022,12/31/2021,2.18,2.12,,1.95,,1.95,,1.95,,1.97,,1.85,,1.85,,1.83,,1.83,,2.04,,2.1,,1.96,4/22/2021,1.94,3/20/2021,2.14,2/21/2021,2.14,1/17/2021,2.12,12/18/2020,2.4,11/19/2020,2.59,10/17/2020,2.59,9/20/2020,2.59,8/19/2020,2.64,7/4/2020,2.99,5/25/2020,2.99,4/14/2020,,,,,,,,,,,,
,11/17/2021,9/30/2021,1.43,1.43,,1.4,,1.4,,1.44,,1.44,,1.53,,1.52,,1.55,,1.54,,1.66,,1.66,,1.68,,1.99,,2.07,,2.07,,2.07,,2.29,,2.36,,2.36,,,,,,,,,,,,,,,,,,,,,
,8/18/2021,6/30/2021,1.56,1.56,,1.53,,1.52,,1.58,,1.63,,1.65,,1.82,,1.82,,1.84,,2.08,,2.15,,2.19,,2.19,,2.46,,2.28,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/20/2021,3/31/2021,0.64,0.94,,1.03,,1.11,,1.15,,1.15,,1.35,,1.43,,1.29,,1.3,,1.3,,1.72,,1.46,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/17/2021,12/31/2020,1.55,1.55,,1.81,,1.81,,1.86,,2,,2.16,4/14/2020,2.24,4/14/2020,2.36,4/14/2020,2.52,4/14/2020,2.59,4/14/2020,2.37,4/14/2020,2.11,3/8/2020,2.11,,2.13,,2.19,,2.29,,1.82,,2.339375,,,,,,,,,,,,,,,,,,,,,,,
,11/18/2020,9/30/2020,1.53,1.53,,1.51,,1.52,,1.67,,1.97,,1.91,,1.84,,1.87,,1.87,,1.78,,1.72,,1.91,,2.05,,1.769375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/12/2020,6/30/2020,1.85,1.85,,2.05,,2.06,,2.07,,1.98,,1.98,,1.95,,1.87,,1.9,,2.05,,1.92375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/20/2021,3/31/2020,0.48,0.82,,1.11,,1.49,,1.49,,1.45,,1.24,,1.5,,1.78,,1.413125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/16/2020,12/31/2019,2.97,2.1,,1.93,,1.96,,1.99,,2.02,,1.98,,1.97,,1.89,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/18/2019,9/30/2019,1.67,1.69,,1.54,,1.51,,1.53,,1.52,,1.49,,1.53,,1.57,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
