CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,
Y,,12/31/2021,1.01,1/17/2021,1.01,12/17/2020,1.01,12/16/2020,0.89,,0.96,,,,,,,,,,,,
,,9/30/2021,1.45,,1.45,,1.45,,0.79,,0.6,,,,,,,,,,,,
,,6/30/2021,0.64,,0.64,,0.64,,0.62,,-0.01,,,,,,,,,,,,
,,3/31/2021,0.45,,0.45,,0.45,,0.11,,,,,,,,,,,,,,
,,12/31/2020,0.92,,0.92,,0.92,,0.84,,1.06,,0.86,,0.95,,1.05,,1.15,,,,
,10/29/2020,9/30/2020,2.422159001,,0.74,,0.66,,0.53,,0.81,,0.84,,0.77,,1.02,,1.047777778,,,,
,8/3/2020,6/30/2020,-0.123304562,,-0.54,,0.44,,0.67,,0.53,,0.71,,0.753888889,,,,,,,,
,5/7/2020,3/31/2020,-0.230910104,,-0.13,,0.05,,0.5,,0.42,,0.44,,0.242777778,,,,,,,,
,2/24/2020,12/31/2019,1.017453392,,0.67,,0.76,,0.91,,0.9,,0.85,,1.01,,,,,,,,
,10/28/2019,9/30/2019,0.581834068,,0.49,,0.5,,0.86,,0.82,,0.91,,,,,,,,,,
,7/29/2019,6/28/2019,0.1751519,,0.5,,0.53,,0.59,,0.61,,0.79,,,,,,,,,,
,4/29/2019,3/29/2019,0.138532693,,0.17,,0.19,,0.34,,0.48,,,,,,,,,,,,
,2/19/2019,12/31/2018,-0.00832274,,0.57,,0.86,,1.26,,,,,,,,,,,,,,
,10/29/2018,9/28/2018,1.068298892,,0.45,,0.62,,1.08,,,,,,,,,,,,,,
,8/6/2018,6/29/2018,0.296659419,,0.26,,0.31,,0.97,,,,,,,,,,,,,,
,4/30/2018,3/29/2018,0.161882803,,0.57,,0.8,,,,,,,,,,,,,,,,
