CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Diluted,,8/30/2024,,1.97,11/27/2023,1.97,10/20/2023,1.87,9/30/2023,1.87,8/13/2023,1.87,7/6/2023,1.94,5/15/2023,1.94,4/1/2023,2.15,3/6/2023,2.15,1/27/2023,,1/1/2023,2.03,11/23/2022,2.03,10/22/2022,2,9/9/2022,2,8/5/2022,2,7/2/2022,1.96,6/22/2022,1.96,5/16/2022,1.96,4/1/2022,1.9,3/14/2022,1.9,2/9/2022,1.9,1/7/2022,1.9,12/1/2021,1.71,10/22/2021,1.94,9/15/2021,1.94,8/8/2021,1.91,7/6/2021,1.96,5/22/2021,1.96,5/7/2021,1.96,4/3/2021,2.01,3/14/2021,2.01,2/12/2021,2.08,1/6/2021,2.08,12/26/2020
,,5/30/2024,,1.85,,1.85,,1.98,,1.98,,1.98,,2.01,,2.01,,2.25,,2.25,,,,2,,2,,2.04,,2.04,,2.04,,2.13,,2.13,,2.13,,2.17,,2.17,,2.17,,2.17,,1.86,,2.01,,2.01,,2.06,,2.04,,2.04,,2.04,,1.6,,1.6,,1.67,,1.67,
,,2/28/2024,,1.5,,1.5,,1.48,,1.48,,1.48,,1.47,,1.47,,1.5,,1.5,,,,1.24,,1.24,,1.69,,1.69,,1.69,,1.36,,1.36,,1.36,,1.75,,1.75,,1.75,,1.75,,1.56,,1.78,,1.78,,1.77,,1.86,,1.86,,1.86,,1.7,,1.7,,1.8,,1.8,
,,11/30/2023,,2.18,,2.18,,2.24,,2.24,,2.24,,2.38,,2.38,,2.34,,2.34,,,,1.95,,1.95,,2.11,,2.11,,2.11,,2.23,,2.23,,2.23,,2.35,,2.35,,2.35,,2.35,,1.98,,2.19,,2.19,,2.21,,2.06,,2.06,,2.06,,2.11,,2.11,,1.85,,1.85,
,10/20/2023,8/30/2023,1.47,1.75,,1.63,,1.63,,1.63,,1.74,,1.74,,1.98,,1.98,,2.03,,2.03,11/23/2022,2.03,10/22/2022,2,9/9/2022,2,8/5/2022,2,7/2/2022,1.96,6/22/2022,1.96,5/16/2022,1.96,4/1/2022,1.9,3/14/2022,1.9,2/9/2022,1.9,1/7/2022,1.9,12/1/2021,1.71,10/22/2021,1.94,9/15/2021,1.94,8/8/2021,1.91,7/6/2021,1.96,5/22/2021,1.96,5/7/2021,1.96,4/3/2021,2.01,3/14/2021,2.01,2/12/2021,2.08,1/6/2021,2.08,12/26/2020,,
,6/28/2023,5/30/2023,1.29,1.66,,1.8,,1.8,,1.98,,1.98,,2,,2,,2,,2.04,,2.04,,2.04,,2.13,,2.13,,2.13,,2.17,,2.17,,2.17,,2.17,,1.86,,2.01,,2.01,,2.06,,2.04,,2.04,,2.04,,1.6,,1.6,,1.67,,1.67,,,,,,,,,
,3/29/2023,2/28/2023,0.95,1.38,,1.38,,1.38,,1.24,,1.24,,1.24,,1.69,,1.69,,1.69,,1.36,,1.36,,1.36,,1.75,,1.75,,1.75,,1.75,,1.56,,1.78,,1.78,,1.77,,1.86,,1.86,,1.86,,1.7,,1.7,,1.8,,1.8,,,,,,,,,,,,,
,1/4/2023,11/30/2022,1.81,2.21,,1.95,,1.95,,1.95,,2.11,,2.11,,2.11,,2.23,,2.23,,2.23,,2.35,,2.35,,2.35,,2.35,,1.98,,2.19,,2.19,,2.21,,2.06,,2.06,,2.06,,2.11,,2.11,,1.85,,1.85,,,,,,,,,,,,,,,,,
,10/19/2022,8/31/2022,1.39,1.79,,1.73,,1.73,,1.73,,1.78,,1.78,,1.78,,1.7,,1.7,,1.7,,1.7,,1.71,10/22/2021,1.94,9/15/2021,1.94,8/8/2021,1.91,7/6/2021,1.96,5/22/2021,1.96,5/7/2021,1.96,4/3/2021,2.01,3/14/2021,2.01,2/12/2021,2.08,1/6/2021,2.08,12/26/2020,,,,,,,,,,,,,,,,,,,,,,
,6/29/2022,5/28/2022,1.33,1.77,,1.9,,1.9,,1.9,,1.9,,1.9,,1.9,,1.87,,1.86,,2.01,,2.01,,2.06,,2.04,,2.04,,2.04,,1.6,,1.6,,1.67,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
