CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP Adjusted,,9/30/2023,,0.39,9/10/2022,0.38,8/6/2022,0.39,7/10/2022,0.39,6/9/2022,0.39,5/8/2022,0.4,4/11/2022,0.4,3/10/2022,0.4,2/2/2022,0.4,1/21/2022,0.32,12/19/2021,0.33,11/20/2021,0.32,10/12/2021,0.32,9/10/2021,0.33,8/4/2021,0.34,7/9/2021,0.34,6/4/2021,0.34,5/7/2021,0.31,4/3/2021,0.3,3/2/2021,0.28,2/2/2021,0.28,12/16/2020
,,6/30/2023,,0.27,,0.27,,0.28,,0.28,,0.29,,0.29,,0.29,,0.29,,0.29,,0.22,,0.22,,0.22,,0.22,,0.22,,0.22,,0.22,,0.23,,0.23,,0.22,,0.21,,0.21,
,,3/30/2023,,0.23,,0.22,,0.23,,0.23,,0.24,,0.24,,0.24,,0.23,,0.23,,0.17,,0.17,,0.19,,0.18,,0.18,,0.18,,0.18,,0.17,,0.14,,0.14,,0.17,,0.17,
,,12/30/2022,,0.17,,0.17,,0.18,,0.18,,0.18,,0.19,,0.19,,0.16,,0.16,,0.08,,0.09,,0.11,,0.11,,0.11,,0.11,,0.11,,0.1,,0.09,,0.08,,0.08,,0.08,
,,9/30/2022,,0.33,,0.33,,0.33,,0.33,,0.33,,0.35,,0.35,,0.34,,0.32,,0.32,,0.33,11/20/2021,0.32,10/12/2021,0.32,9/10/2021,0.33,8/4/2021,0.34,7/9/2021,0.34,6/4/2021,0.34,5/7/2021,0.31,4/3/2021,0.3,3/2/2021,0.28,2/2/2021,0.28,12/16/2020
,8/2/2022,6/30/2022,0.14,0.22,,0.23,,0.23,,0.24,,0.25,,0.25,,0.24,,0.22,,0.22,,0.22,,0.22,,0.22,,0.22,,0.22,,0.22,,0.23,,0.23,,0.22,,0.21,,0.21,,,
,5/3/2022,3/31/2022,0.06,0.21,,0.19,,0.19,,0.18,,0.16,,0.17,,0.17,,0.19,,0.18,,0.18,,0.18,,0.18,,0.17,,0.14,,0.14,,0.17,,0.17,,,,,,,,,
,2/1/2022,12/31/2021,0.05,0.12,,0.08,,0.08,,0.09,,0.11,,0.11,,0.11,,0.11,,0.11,,0.1,,0.09,,0.08,,0.08,,0.08,,,,,,,,,,,,,,,
,11/16/2021,9/30/2021,0.22,0.32,,0.29,,0.3,,0.32,,0.33,,0.33,,0.32,,0.31,,0.3,,0.29,,0.28,12/16/2020,0.24,11/17/2020,0.24,10/16/2020,0.24,10/15/2020,,,,,,,,,,,,,,
,8/3/2021,6/30/2021,0.11,0.17,,0.19,,0.19,,0.19,,0.21,,0.21,,0.2,,0.19,,0.19,,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,0.04,0.12,,0.11,,0.11,,0.13,,0.14,,0.14,,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2/2021,12/31/2020,0.05,0.06,,0.03,,0.06,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/17/2020,9/30/2020,0.26,0.29,,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,0.18,0.2,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.06,0.14,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2020,12/31/2019,0.44,0.04,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/21/2019,9/30/2019,0.01,0.15,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,0.03,0.08,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2019,3/29/2019,0.01,0.16,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2019,12/31/2018,-0.15,-0.01,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/27/2018,9/28/2018,-0.03,0.15,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,0.01,0.14,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2018,3/29/2018,0.1,0.18,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6/2018,12/29/2017,-0.03,0.07,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
