Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,,,,,,
12/31/2020,1.78,3/23/2020,2.54,2/18/2020,2.57,2/10/2020,2.27,1/12/2020,2.84,9/9/2019,2.92,,2.92,,3.04,,3.2,3.536358908,3.492641509,,,,,,
9/30/2020,1.29,,2.22,,2.25,,2.22,,2.71,,2.78,,2.78,,2.9,,3.07,3.224785436,3.166226415,,,,,,
6/30/2020,1.14,,2.11,,2.14,,2.11,,2.59,,2.64,,2.64,,2.76,,2.92,2.788582575,2.660283019,,,,,,
3/31/2020,1.71,,2.1,,2.1,,2.07,,2.41,,2.48,,2.48,,2.64,,2.83,2.149856957,2.28490566,,,,,,
12/31/2019,-3.04,,1.8,,1.75,,2.08,,2.19,,2.19,,2.29,,2.36,2.28,2.27,2.14,2.12,2.4,3.41,3.28,3.14,2.92,2.85
9/30/2019,2.26,,1.88,,1.97,,1.97,,2.05,,2.14,2.08,2.07,1.94,1.9,2.09,3.05,2.92,2.8,2.64,2.63,,,,
6/28/2019,2.11490798,,1.78,,1.89,,1.9,,1.79,1.63,1.6,1.77,2.74,2.65,2.52,2.28,2.3,,,,,,,,
3/29/2019,0.060583663,,1.38,,1.4,,1.43,,1.64,2.57,2.5,2.43,2.1,2.11,,,,,,,,,,,
12/31/2018,2.498472368,,1.62,,1.84,,1.81,,1.72,1.84,1.86,1.98,,,,,,,,,,,,,
9/28/2018,1.589325831,,1.58,,1.6,,1.72,,1.73,1.8,,,,,,,,,,,,,,,
6/29/2018,2.218144276,,1.63,,1.54,,1.56,,1.62,,,,,,,,,,,,,,,,
3/29/2018,1.648411951,,1.58,,1.49,,,,,,,,,,,,,,,,,,,,
12/29/2017,1.16459621,,1.51,,1.16,,1.14,,1.01,0.76,,,,,,,,,,,,,,,
9/29/2017,0.742347691,,1.22,,1.01,,1,,0.85,0.68,,,,,,,,,,,,,,,
6/30/2017,1.610559815,,0.91,,0.8,,0.79,,0.68,0.55,,,,,,,,,,,,,,,
3/31/2017,1.459588278,,0.6,,0.58,,0.53,,0.46,,,,,,,,,,,,,,,,
12/30/2016,0.317948081,,0.51,,0.4,,,,,,,,,,,,,,,,,,,,
9/30/2016,-0.028898363,,0.34,,0.3,,,,,,,,,,,,,,,,,,,,
6/30/2016,-2.16804473,,0.16,,,,,,,,,,,,,,,,,,,,,,
3/31/2016,-0.463379607,,-0.05,,,,,,,,,,,,,,,,,,,,,,
12/31/2015,-2.80342558,,0.45,,,,,,,,,,,,,,,,,,,,,,
9/30/2015,-2.402737123,,0.32,,,,,,,,,,,,,,,,,,,,,,
6/30/2015,-3.453561958,,0.37,,,,,,,,,,,,,,,,,,,,,,
3/31/2015,0.099768021,,0.39,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,1.729757209,,0.55,,,,,,,,,,,,,,,,,,,,,,
9/30/2014,0.787633924,,0.61,,,,,,,,,,,,,,,,,,,,,,
6/30/2014,0.544053811,,0.69,,,,,,,,,,,,,,,,,,,,,,
3/31/2014,0.482718399,,0.56,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,0.424449506,,0.41,,,,,,,,,,,,,,,,,,,,,,
9/30/2013,0.326547049,,0.34,,,,,,,,,,,,,,,,,,,,,,
6/28/2013,0.36433445,,0.26,,,,,,,,,,,,,,,,,,,,,,
3/28/2013,0.145030371,,0.17,,,,,,,,,,,,,,,,,,,,,,
