CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,
N,,12/31/2027,,3.37,8/2/2026,3.21,6/24/2026,3.21,4/6/2026,3.21,3/1/2026,,,,,,,,,,,,,,,,
,,9/30/2027,,2.65,,2.52,,2.52,,2.52,,,,,,,,,,,,,,,,,
,,6/30/2027,,2.73,,2.46,,2.48,,2.48,,,,,,,,,,,,,,,,,
,,3/30/2027,,2.11,,2.02,,1.96,,1.96,,,,,,,,,,,,,,,,,
,,12/31/2026,,2.86,1/14/2026,2.92,1/14/2026,2.94,1/14/2026,2.94,1/14/2026,,,,,,,,,,,,,,,,
,,9/30/2026,,2.36,,2.35,,2.32,,2.32,,,,,,,,,,,,,,,,,
,7/29/2026,6/30/2026,2.8,2.81,,2.25,,2.3,,2.3,,,,,,,,,,,,,,,,,
,5/29/2026,3/30/2026,2.09,2.08,,1.82,,1.82,,1.72,,,,,,,,,,,,,,,,,
,2/18/2026,12/31/2025,2.73,2.79,1/26/2025,2.39,1/26/2025,2.39,1/26/2025,2.38,1/26/2025,,,,,,,,,,,,,,,,
,10/29/2025,9/30/2025,2.08,1.99,,1.97,,1.99,,1.95,,,,,,,,,,,,,,,,,
,7/30/2025,6/30/2025,2.07,2.17,,1.89,,1.89,,1.9,,,,,,,,,,,,,,,,,
,4/30/2025,3/30/2025,1.72,1.61,,1.63,,1.6,,1.5,,,,,,,,,,,,,,,,,
,2/19/2025,12/31/2024,2.25,2.41,4/7/2024,1.99,4/7/2024,1.99,4/7/2024,1.75,4/7/2024,,,,,,,,,,,,,,,,
,10/30/2024,9/30/2024,2.07,1.99,,1.43,,1.42,,1.37,,,,,,,,,,,,,,,,,
,7/31/2024,6/30/2024,1.56,1.58,,1.4,,1.39,,1.42,,,,,,,,,,,,,,,,,
