CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Adjusted Diluted,,12/31/2026,,3.47,1/7/2026,3.49,11/9/2025,3.49,9/19/2025,3.49,8/16/2025,3.53,7/23/2025,3.53,6/23/2025,,,,,
,,9/30/2026,,1.93,,1.98,,1.99,,1.99,,1.89,,1.89,,,,,,
,,6/30/2026,,1.72,,1.73,,1.73,,1.73,,1.58,,1.58,,,,,,
,,3/30/2026,,2.75,,2.77,,2.76,,2.76,,2.74,,2.74,,,,,,
,,12/31/2025,,3.19,12/20/2024,3.19,12/20/2024,3.2,12/20/2024,3.18,12/20/2024,3.16,12/20/2024,3.16,12/20/2024,,,,,
,11/5/2025,9/30/2025,0.58,1.78,,1.78,,1.75,,1.68,,1.68,,,,,,,,
,8/6/2025,6/30/2025,1.48,1.53,,1.38,,1.38,,1.36,,,,,,,,,,
,5/6/2025,3/30/2025,2.52,2.57,,2.51,,2.52,,2.49,,,,,,,,,,
,2/19/2025,12/31/2024,2.84,2.95,4/7/2024,2.94,4/7/2024,2.93,4/7/2024,2.91,4/7/2024,,,,,,,,,
,11/6/2024,9/30/2024,1.42,1.48,,1.47,,1.47,,1.46,,,,,,,,,,
,8/6/2024,6/30/2024,1.19,1.27,,1.1,,1.08,,1.07,,,,,,,,,,
,5/7/2024,3/30/2024,2.29,2.35,,2.22,,2.22,,2.23,,,,,,,,,,
,2/13/2024,12/31/2023,2.71,2.77,3/25/2023,2.72,3/25/2023,2.72,3/25/2023,2.65,3/25/2023,,,,,,,,,
,11/2/2023,9/30/2023,1.19,1.26,,1.09,,1.04,,1.02,,,,,,,,,,
,8/5/2023,6/30/2023,0.96,1.01,,0.89,,0.89,,0.87,,,,,,,,,,
,5/2/2023,3/30/2023,1.94,2,,1.96,,1.89,,1.89,,,,,,,,,,
,2/16/2023,12/31/2022,2.3,2.36,,2.24,,2.24,,2.19,,,,,,,,,,
,10/27/2022,9/30/2022,0.96,1.02,,0.87,,0.98,,1.04,,,,,,,,,,
,8/4/2022,6/30/2022,0.81,0.85,,0.84,,0.84,,0.84,,,,,,,,,,
,5/4/2022,3/31/2022,1.66,1.72,,1.7,,1.7,,1.72,,,,,,,,,,
,2/16/2022,12/31/2021,2.15,2.11,,2.11,,2.11,,2.15,,,,,,,,,,
,10/28/2021,9/30/2021,1.08,1.11,,1.13,,1.13,,1.28,,,,,,,,,,
,8/5/2021,6/30/2021,1.09,1.12,,1.09,,1.09,,1.09,,,,,,,,,,
,5/5/2021,3/31/2021,1.69,1.72,,1.67,,1.67,,1.66,,,,,,,,,,
,2/17/2021,12/31/2020,1.86,1.89,,1.78,,1.78,,1.79,3/24/2020,,,,,,,,,
,11/5/2020,9/30/2020,1.11,1.14,,1.11,,1.11,,1.26,,,,,,,,,,
,8/4/2020,6/30/2020,1,1.03,,0.89,,0.88,,1.03,,,,,,,,,,
,5/7/2020,3/31/2020,1.49,1.53,,1.53,,1.55,,1.62,,,,,,,,,,
,2/19/2020,12/31/2019,1.59,1.63,,1.54,,1.53,,1.56,,,,,,,,,,
,11/6/2019,9/30/2019,1.2,1.24,,1.14,,1.11,,1.11,,,,,,,,,,
,8/6/2019,6/28/2019,1.057934717,1.09,,0.94,,1.05,,1.06,,,,,,,,,,
,5/7/2019,3/29/2019,1.51723495,1.62,,1.49,,1.45,,1.4,,,,,,,,,,
,2/20/2019,12/31/2018,1.559848829,1.57,,1.42,,1.41,,1.32,,,,,,,,,,
,11/8/2018,9/28/2018,0.697224402,1.06,,0.99,,1.01,,0.98,,,,,,,,,,
,8/8/2018,6/29/2018,0.950982215,0.85,,0.85,,0.86,,0.81,,,,,,,,,,
,5/2/2018,3/29/2018,1.522429076,1.52,,1.39,,1.17,,1.18,,,,,,,,,,
,2/21/2018,12/29/2017,1.410772601,,,1.1,,1.08,,1.1,,,,,,,,,,
,11/1/2017,9/29/2017,0.813882217,,,0.76,,0.74,,0.73,,,,,,,,,,
,8/1/2017,6/30/2017,0.826838479,,,0.68,,0.63,,0.62,,,,,,,,,,
,5/4/2017,3/31/2017,1.163137092,,,1.01,,1,,0.99,,,,,,,,,,
,,12/30/2016,1.01110596,,,0.98,,0.97,,0.96,,,,,,,,,,
,,9/30/2016,0.61990461,,,0.6,,0.62,,0.63,,,,,,,,,,
,,6/30/2016,0.587912322,,,0.54,,0.55,,0.54,,,,,,,,,,
,,3/31/2016,0.931818182,,,0.88,,0.81,,0.79,,,,,,,,,,
,,12/31/2015,0.80516298,,,0.79,,0.78,,0.73,,,,,,,,,,
,,9/30/2015,0.704606932,,,0.66,,0.67,,0.61,,,,,,,,,,
,,6/30/2015,0.54537376,,,0.53,,0.52,,0.55,,,,,,,,,,
,,3/31/2015,0.724116014,,,0.69,,0.64,,0.63,,,,,,,,,,
,,12/31/2014,0.70265622,,,0.67,,0.64,,0.62,,,,,,,,,,
,,9/30/2014,0.616692525,,,0.54,,0.53,,0.52,,,,,,,,,,
,,6/30/2014,0.490934241,,,0.45,,0.44,,0.48,,,,,,,,,,
,,3/31/2014,0.561217737,,,0.52,,0.5,,0.48,,,,,,,,,,
,,12/31/2013,0.559963179,,,0.52,,0.49,,0.48,,,,,,,,,,
,,9/30/2013,0.485632432,,,0.45,,0.44,,0.4,,,,,,,,,,
,,6/28/2013,0.415075443,,,0.4,,0.39,,0.4,,,,,,,,,,
,,3/28/2013,0.460846223,,,0.39,,0.42,,,,,,,,,,,,
,,12/31/2012,0.460916145,,,0.42,,0.34,,,,,,,,,,,,
,,9/28/2012,0.407397605,,,0.34,,,,,,,,,,,,,,
,,6/29/2012,0.345325334,,,0.27,,,,,,,,,,,,,,
,,3/30/2012,0.320458019,,,0.26,,,,,,,,,,,,,,
,,12/30/2011,0.34153517,,,,,,,,,,,,,,,,,
,,9/30/2011,0.287315516,,,,,,,,,,,,,,,,,
,,6/30/2011,0.29450442,,,,,,,,,,,,,,,,,
,,3/31/2011,0.245134414,,,,,,,,,,,,,,,,,
,,12/31/2010,0.163358219,,,,,,,,,,,,,,,,,
,,9/30/2010,0.278699489,,,,,,,,,,,,,,,,,
,,6/30/2010,0.266254269,,,,,,,,,,,,,,,,,
,,3/31/2010,0.247814355,,,,,,,,,,,,,,,,,
,,12/31/2009,0.240980865,,,,,,,,,,,,,,,,,
,,9/30/2009,0.077407481,,,,,,,,,,,,,,,,,
,,6/30/2009,0.169652172,,,,,,,,,,,,,,,,,
,,3/31/2009,0.150673272,,,,,,,,,,,,,,,,,
