CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Adjusted EPS,,12/31/2026,,0.33,1/3/2026,0.35,11/8/2025,0.35,9/12/2025,0.34,8/4/2025,0.31,7/18/2025,0.31,6/14/2025,0.34,5/3/2025,,,,,,,,,,,
,,9/30/2026,,1.45,,1.48,,1.42,,1.38,,1.37,,1.36,,1.4,,,,,,,,,,,,
,,6/30/2026,,0.67,,0.68,,0.66,,0.63,,0.6,,0.6,,0.59,,,,,,,,,,,,
,,3/30/2026,,0.17,,0.19,,0.49,,0.18,,0.18,,0.18,,0.17,,,,,,,,,,,,
,,12/31/2025,,0.26,1/29/2025,0.27,1/29/2025,0.29,1/29/2025,0.28,1/29/2025,0.26,1/29/2025,0.25,1/29/2025,0.25,1/29/2025,,,,,,,,,,,
,11/4/2025,9/30/2025,0.86,1.2,,1.16,,1.17,,1.17,,1.19,,1.21,,,,,,,,,,,,,,
,7/31/2025,6/30/2025,0.07,0.51,,0.51,,0.51,,0.51,,,,,,,,,,,,,,,,,,
,4/30/2025,3/30/2025,-0.09,0.07,,0.09,,0.09,,0.08,,,,,,,,,,,,,,,,,,
,2/27/2025,12/31/2024,0.52,0.26,4/12/2024,0.11,4/12/2024,0.1,4/12/2024,0.09,4/12/2024,,,,,,,,,,,,,,,,,
,10/31/2024,9/30/2024,0.95,0.99,,0.93,,0.93,,0.91,,,,,,,,,,,,,,,,,,
,7/31/2024,6/30/2024,0.35,0.4,,0.35,,0.32,,0.31,,,,,,,,,,,,,,,,,,
,5/1/2024,3/30/2024,0.04,0.16,,0.11,,0.05,,-0.19,,,,,,,,,,,,,,,,,,
,2/27/2024,12/31/2023,-0.25,-0.18,4/10/2023,-0.14,4/10/2023,-0.14,4/10/2023,-0.1,4/10/2023,,,,,,,,,,,,,,,,,
,11/1/2023,9/30/2023,0.71,0.76,,0.71,,0.74,,0.78,,,,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,0.2,0.3,,0.27,,0.26,,0.24,,,,,,,,,,,,,,,,,,
,5/1/2023,3/30/2023,-0.38,-0.3,,-0.4,,-0.37,,-0.35,,,,,,,,,,,,,,,,,,
,2/28/2023,12/31/2022,-1.14,-1.04,,-0.86,,-0.85,,-0.84,,,,,,,,,,,,,,,,,,
,11/8/2022,9/30/2022,-0.7,-0.64,,-0.7,,-0.66,,-0.34,,,,,,,,,,,,,,,,,,
,8/9/2022,6/30/2022,-1.22,-1.14,,-0.68,,-0.68,,-0.68,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,-2.35,-1.82,,-1.46,,-0.77,,-0.7,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,-4.01,-1.95,,-1.59,,-1.61,,-1.5,,,,,,,,,,,,,,,,,,
,11/3/2021,9/30/2021,-2.29,-2.17,,-2.05,,-2.07,,-1.48,,,,,,,,,,,,,,,,,,
,8/6/2021,6/30/2021,-1.94,-1.93,,-1.99,,-1.99,,-2.04,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,-4.16,-2.03,,-2.1,,-1.97,,-1.93,,,,,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,-2.51,-2.33,,-2.17,,0.37,3/24/2020,0.83,2/20/2020,,,,,,,,,,,,,,,,,
,11/9/2020,9/30/2020,-2.5,-2.35,,1.69,,2.69,,2.69,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,-2.99,-2.78,,0.5,,1.44,,1.44,,,,,,,,,,,,,,,,,,
,5/14/2020,3/31/2020,-8.8,-0.99,,0.07,,0.65,,0.65,,,,,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,0.56,0.73,,0.7,,0.79,,0.79,,,,,,,,,,,,,,,,,,
,11/7/2019,9/30/2019,2.09,2.23,,2.17,,2.16,,2.24,,,,,,,,,,,,,,,,,,
,8/8/2019,6/28/2019,1.10783244,1.3,,1.26,,1.3,,1.34,,,,,,,,,,,,,,,,,,
,5/9/2019,3/29/2019,0.539842069,0.83,,0.71,,0.7,,0.58,,,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,0.698300664,0.85,,0.79,,0.8,,0.78,,,,,,,,,,,,,,,,,,
,11/8/2018,9/28/2018,2.11165979,2.27,,2.21,,2.26,,2.25,,,,,,,,,,,,,,,,,,
,8/9/2018,6/29/2018,1.010183663,1.21,,1.02,,1.12,,1.11,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,0.45008974,0.6,,0.54,,0.47,,0.5,,,,,,,,,,,,,,,,,,
,2/22/2018,12/29/2017,0.429185165,,,0.64,,0.63,,0.71,,,,,,,,,,,,,,,,,,
,11/9/2017,9/29/2017,1.743526705,,,1.82,,1.86,,1.85,,,,,,,,,,,,,,,,,,
,8/8/2017,6/30/2017,0.866353513,,,0.97,,0.94,,0.93,,,,,,,,,,,,,,,,,,
,5/10/2017,3/31/2017,0.270874591,,,0.37,,0.36,,0.34,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.317054712,,,0.55,,0.56,,0.61,,,,,,,,,,,,,,,,,,
,,9/30/2016,1.504306219,,,1.59,,1.62,,1.81,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.637366166,,,0.83,,0.88,,0.99,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.32102208,,,0.38,,0.37,,0.34,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.16646281,,,0.51,,0.54,,0.53,,,,,,,,,,,,,,,,,,
,,9/30/2015,1.093419897,,,1.34,,1.36,,1.35,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.688421482,,,0.73,,0.72,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-0.095657125,,,0.23,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,-0.120400404,,,0.37,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.964369664,,,1.08,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.530310324,,,0.57,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.242955658,,,0.22,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.171121747,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.810894017,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,-0.043338768,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,-0.48598331,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.72,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
