CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2024,,0.44,4/12/2024,0.44,3/2/2024,0.45,1/30/2024,0.45,12/28/2023,0.45,11/3/2023,0.43,9/24/2023,0.43,8/5/2023,0.43,6/17/2023,0.43,5/7/2023,,4/9/2023,0.73,3/1/2023,0.78,1/19/2023,0.78,12/15/2022,0.77,11/5/2022,0.78,10/20/2022,0.78,9/16/2022,0.79,8/13/2022,0.82,7/16/2022,0.8,6/15/2022,0.8,5/12/2022,,3/29/2022,0.72,2/27/2022,0.73,1/19/2022,0.73,12/12/2021,0.73,11/6/2021,0.74,10/17/2021,0.73,9/14/2021,0.73,8/8/2021,0.73,7/10/2021,0.73,6/9/2021,0.72,5/10/2021,0.72,3/27/2021,0.62,2/28/2021,0.61,1/10/2021,0.6,12/9/2020,0.6,11/8/2020,0.59,10/12/2020,0.59,9/13/2020,0.57,8/4/2020,0.57,7/6/2020,0.57,6/13/2020,0.57,5/8/2020,0.57,3/27/2020
,,9/30/2024,,0.47,,0.47,,0.47,,0.47,,0.47,,0.46,,0.46,,0.46,,0.46,,,,0.77,,0.79,,0.79,,0.78,,0.77,,0.78,,0.78,,0.83,,0.83,,0.83,,,,0.77,,0.78,,0.78,,0.78,,0.79,,0.79,,0.83,,0.83,,0.83,,0.84,,0.84,,0.74,,0.74,,0.74,,0.72,,0.73,,0.73,,0.67,,0.67,,0.66,,0.66,,0.66,
,,6/30/2024,,0.47,,0.47,,0.47,,0.47,,0.47,,0.46,,0.46,,0.46,,0.45,,,,0.75,,0.77,,0.76,,0.76,,0.78,,0.78,,0.78,,0.85,,0.85,,0.85,,,,0.78,,0.79,,0.79,,0.79,,0.8,,0.81,,0.76,,0.77,,0.77,,0.78,,0.78,,0.7,,0.69,,0.69,,0.68,,0.68,,0.68,,0.62,,0.61,,0.61,,0.61,,0.61,
,,3/30/2024,,0.44,,0.43,,0.43,,0.43,,0.43,,0.43,,0.42,,0.42,,0.42,,,,0.66,,0.68,,0.68,,0.68,,0.69,,0.69,,0.69,,0.72,,0.71,,0.71,,,,0.63,,0.65,,0.65,,0.66,,0.66,,0.67,,0.68,,0.68,,0.67,,0.7,,0.7,,0.59,,0.59,,0.59,,0.58,,0.58,,0.58,,0.57,,0.57,,0.57,,0.56,,0.56,
,2/28/2024,12/31/2023,0.35,0.38,4/9/2023,0.38,4/9/2023,0.39,4/9/2023,0.38,4/9/2023,0.37,4/9/2023,0.37,4/9/2023,0.37,4/9/2023,0.37,4/9/2023,0.37,4/9/2023,0.73,3/1/2023,0.78,1/19/2023,0.78,12/15/2022,0.77,11/5/2022,0.78,10/20/2022,0.78,9/16/2022,0.79,8/13/2022,0.82,7/16/2022,0.8,6/15/2022,0.8,5/12/2022,,3/29/2022,0.72,2/27/2022,0.73,1/19/2022,0.73,12/12/2021,0.73,11/6/2021,0.74,10/17/2021,0.73,9/14/2021,0.73,8/8/2021,0.73,7/10/2021,0.73,6/9/2021,0.72,5/10/2021,0.72,3/27/2021,0.62,2/28/2021,0.61,1/10/2021,0.6,12/9/2020,0.6,11/8/2020,0.59,10/12/2020,0.59,9/13/2020,0.57,8/4/2020,0.57,7/6/2020,0.57,6/13/2020,0.57,5/8/2020,0.57,3/27/2020,,
,11/2/2023,9/30/2023,0.43,0.41,,0.39,,0.39,,0.4,,0.4,,0.39,,0.77,,0.79,,0.79,,0.78,,0.77,,0.78,,0.78,,0.83,,0.83,,0.83,,,,0.77,,0.78,,0.78,,0.78,,0.79,,0.79,,0.83,,0.83,,0.83,,0.84,,0.84,,0.74,,0.74,,0.74,,0.72,,0.73,,0.73,,0.67,,0.67,,0.66,,0.66,,0.66,,,,,,,,,
,8/3/2023,6/30/2023,0.39,0.39,,0.39,,0.39,,0.39,,0.75,,0.77,,0.76,,0.76,,0.78,,0.78,,0.78,,0.85,,0.85,,0.85,,,,0.78,,0.79,,0.79,,0.79,,0.8,,0.81,,0.76,,0.77,,0.77,,0.78,,0.78,,0.7,,0.69,,0.69,,0.68,,0.68,,0.68,,0.62,,0.61,,0.61,,0.61,,0.61,,,,,,,,,,,,,
,5/4/2023,3/30/2023,0.38,0.38,,0.34,,0.66,,0.68,,0.68,,0.68,,0.69,,0.69,,0.69,,0.72,,0.71,,0.71,,,,0.63,,0.65,,0.65,,0.66,,0.66,,0.67,,0.68,,0.68,,0.67,,0.7,,0.7,,0.59,,0.59,,0.59,,0.58,,0.58,,0.58,,0.57,,0.57,,0.57,,0.56,,0.56,,,,,,,,,,,,,,,,,
,2/28/2023,12/31/2022,0.57,0.57,,0.63,,0.63,,0.62,,0.64,,0.65,,0.65,,0.72,,0.72,,0.72,,0.72,,0.72,2/27/2022,0.73,1/19/2022,0.73,12/12/2021,0.73,11/6/2021,0.74,10/17/2021,0.73,9/14/2021,0.73,8/8/2021,0.73,7/10/2021,0.73,6/9/2021,0.72,5/10/2021,0.72,3/27/2021,0.62,2/28/2021,0.61,1/10/2021,0.6,12/9/2020,0.6,11/8/2020,0.59,10/12/2020,0.59,9/13/2020,0.57,8/4/2020,0.57,7/6/2020,0.57,6/13/2020,0.57,5/8/2020,0.57,3/27/2020,,,,,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,0.6,0.6,,0.6,,0.61,,0.52,,0.72,,0.72,,0.74,,0.75,,0.77,,0.78,,0.78,,0.78,,0.79,,0.79,,0.83,,0.83,,0.83,,0.84,,0.84,,0.74,,0.74,,0.74,,0.72,,0.73,,0.73,,0.67,,0.67,,0.66,,0.66,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
