CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,7/30/2025,,1,2/17/2024,1.09,1/2/2024,1.09,11/17/2023,,10/1/2023,1.04,8/20/2023,1.05,6/27/2023,1.06,5/19/2023,1.07,5/15/2023,1.07,3/26/2023,1.06,2/18/2023,1.01,1/24/2023,1.01,12/17/2022,,11/8/2022,0.94,10/2/2022,0.94,9/1/2022,0.92,7/29/2022,0.93,6/27/2022,0.94,5/25/2022,0.99,4/25/2022,1,3/21/2022,0.99,2/21/2022,0.98,1/20/2022,0.98,12/15/2021,0.98,11/12/2021,0.92,11/12/2021,0.92,10/19/2021,0.92,9/18/2021,0.92,8/22/2021,0.89,8/15/2021,0.89,7/13/2021,0.89,6/14/2021,0.9,5/16/2021,0.89,4/12/2021,0.89,3/13/2021,0.89,2/9/2021,0.89,1/15/2021,0.89,1/14/2021
,,4/30/2025,,0.95,,1.01,,1.01,,,,1,,1.01,,1.01,,1.01,,1.01,,1.01,,0.97,,0.97,,,,0.9,,0.9,,0.9,,0.91,,0.91,,0.93,,0.94,,0.94,,0.93,,0.93,,0.93,,0.88,,0.88,,0.88,,0.87,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.85,,0.85,
,,1/30/2025,,0.93,,0.97,,0.97,,,,0.99,,0.97,,0.97,,0.97,,0.97,,0.97,,0.93,,0.93,,,,0.85,,0.85,,0.85,,0.86,,0.86,,0.9,,0.9,,0.9,,0.88,,0.88,,0.88,,0.82,,0.82,,0.82,,0.82,,0.82,,0.82,,0.82,,0.83,,0.83,,0.82,,0.82,,0.81,,0.81,
,,10/30/2024,,0.93,,1.01,,1.01,,,,1.03,,1,,0.99,,0.98,,0.98,,0.98,,0.93,,0.93,,,,0.84,,0.84,,0.84,,0.85,,0.85,,0.9,,0.9,,0.9,,0.89,,0.89,,0.89,,0.8,,0.8,,0.8,,0.81,,0.81,,0.81,,0.81,,0.83,,0.84,,0.83,,0.83,,0.83,,0.83,
,,7/30/2024,,0.89,10/1/2023,1.02,10/1/2023,1.02,10/1/2023,1.04,10/1/2023,1.04,8/20/2023,1.05,6/27/2023,1.06,5/19/2023,1.07,5/15/2023,1.07,3/26/2023,1.06,2/18/2023,1.01,1/24/2023,1.01,12/17/2022,,11/8/2022,0.94,10/2/2022,0.94,9/1/2022,0.92,7/29/2022,0.93,6/27/2022,0.94,5/25/2022,0.99,4/25/2022,1,3/21/2022,0.99,2/21/2022,0.98,1/20/2022,0.98,12/15/2021,0.98,11/12/2021,0.92,11/12/2021,0.92,10/19/2021,0.92,9/18/2021,0.92,8/22/2021,0.89,8/15/2021,0.89,7/13/2021,0.89,6/14/2021,0.9,5/16/2021,0.89,4/12/2021,0.89,3/13/2021,0.89,2/9/2021,0.89,1/15/2021,0.89,1/14/2021
,,4/30/2024,,0.86,,0.92,,0.92,,1,,1,,1.01,,1.01,,1.01,,1.01,,1.01,,0.97,,0.97,,,,0.9,,0.9,,0.9,,0.91,,0.91,,0.93,,0.94,,0.94,,0.93,,0.93,,0.93,,0.88,,0.88,,0.88,,0.87,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.85,,0.85,
,2/14/2024,1/30/2024,0.65,0.87,,0.84,,0.84,,0.99,,0.99,,0.97,,0.97,,0.97,,0.97,,0.97,,0.93,,0.93,,,,0.85,,0.85,,0.85,,0.86,,0.86,,0.9,,0.9,,0.9,,0.88,,0.88,,0.88,,0.82,,0.82,,0.82,,0.82,,0.82,,0.82,,0.82,,0.83,,0.83,,0.82,,0.82,,0.81,,0.81,
,11/15/2023,10/30/2023,0.89,1.11,,1.03,,1.03,,1,,0.99,,0.98,,0.98,,0.98,,0.93,,0.93,,,,0.84,,0.84,,0.84,,0.85,,0.85,,0.9,,0.9,,0.9,,0.89,,0.89,,0.89,,0.8,,0.8,,0.8,,0.81,,0.81,,0.81,,0.81,,0.83,,0.84,,0.83,,0.83,,0.83,,0.83,,,,,
,8/16/2023,7/30/2023,0.97,1.14,,1.06,,1.06,,1.04,,1.04,,1.03,,0.94,,0.94,,0.93,,0.94,10/2/2022,0.94,9/1/2022,0.92,7/29/2022,0.93,6/27/2022,0.94,5/25/2022,0.99,4/25/2022,1,3/21/2022,0.99,2/21/2022,0.98,1/20/2022,0.98,12/15/2021,0.98,11/12/2021,0.92,11/12/2021,0.92,10/19/2021,0.92,9/18/2021,0.92,8/22/2021,0.89,8/15/2021,0.89,7/13/2021,0.89,6/14/2021,0.9,5/16/2021,0.89,4/12/2021,0.89,3/13/2021,0.89,2/9/2021,0.89,1/15/2021,0.89,1/14/2021,,,,,,,,
,5/17/2023,4/30/2023,0.78,1,,0.97,,0.97,,0.97,,0.89,,0.89,,0.9,,0.9,,0.9,,0.9,,0.91,,0.91,,0.93,,0.94,,0.94,,0.93,,0.93,,0.93,,0.88,,0.88,,0.88,,0.87,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.85,,0.85,,,,,,,,,,,,,
