CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,
Non-GAAP,,12/31/2025,,0.8,7/27/2024,0.78,6/18/2024,0.78,4/27/2024,0.68,4/4/2024,0.68,2/10/2024,0.65,1/17/2024,0.64,12/17/2023,0.63,10/28/2023,0.62,9/13/2023,0.61,7/29/2023,0.59,6/27/2023,0.59,5/17/2023,0.59,5/16/2023
,,9/30/2025,,0.77,,0.76,,0.76,,0.66,,0.65,,0.65,,0.65,,0.65,,0.61,,0.61,,0.59,,0.59,,0.59,
,,6/30/2025,,0.8,,0.76,,0.76,,0.65,,0.64,,0.65,,0.63,,0.63,,0.62,,0.62,,0.6,,0.6,,0.6,
,,3/30/2025,,0.8,,0.8,,0.8,,0.68,,0.68,,0.64,,0.62,,0.62,,0.62,,0.61,,0.59,,0.59,,0.59,
,,12/31/2024,,0.7,4/4/2024,0.69,4/4/2024,0.69,4/4/2024,0.68,4/4/2024,0.68,2/10/2024,0.65,1/17/2024,0.64,12/17/2023,0.63,10/28/2023,0.62,9/13/2023,0.61,7/29/2023,0.59,6/27/2023,0.59,5/17/2023,0.59,5/16/2023
,,9/30/2024,,0.67,,0.66,,0.66,,0.66,,0.65,,0.65,,0.65,,0.65,,0.61,,0.61,,0.59,,0.59,,0.59,
,7/25/2024,6/30/2024,0.55,0.7,,0.68,,0.67,,0.65,,0.64,,0.65,,0.63,,0.63,,0.62,,0.62,,0.6,,0.6,,0.6,
,4/25/2024,3/30/2024,0.59,0.71,,0.68,,0.68,,0.64,,0.62,,0.62,,0.62,,0.61,,0.59,,0.59,,0.59,,,,,
,2/6/2024,12/31/2023,0.42,0.64,,0.63,,0.57,,0.56,,0.55,,0.55,,0.54,,0.54,,0.54,,,,,,,,,
,10/26/2023,9/30/2023,0.46,0.55,,0.55,,0.54,,0.53,,0.53,,0.53,,,,,,,,,,,,,,,
,7/27/2023,6/30/2023,0.42,0.52,,0.52,,0.52,,0.52,,,,,,,,,,,,,,,,,,,
,4/27/2023,3/30/2023,0.42,0.54,,0.54,,,,,,,,,,,,,,,,,,,,,,,
,2/2/2023,12/31/2022,0.42,0.49,,0.49,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2022,9/30/2022,0.33,0.45,,0.45,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,0.33,0.47,,0.47,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2022,3/31/2022,0.4,0.48,,0.48,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,0.23,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,0.26,0.39,,0.39,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,0.27,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,
,4/29/2021,3/31/2021,0.33,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,0.28,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2020,9/30/2020,0.19,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.16,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,
,4/20/2020,3/31/2020,0.25,0.37,,0.37,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
