CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Non-GAAP,,2/27/2027,,0.05,1/22/2026,0.05,12/22/2025,0.05,12/1/2025,0.05,10/28/2025,0.05,9/28/2025,0.05,9/2/2025,0.05,7/28/2025,,,
Plots Adjusted,,11/30/2026,,0.04,,0.05,,0.05,,0.05,,0.04,,0.04,,0.04,,,,
look for,,8/30/2026,,0.04,,0.04,,0.03,,0.03,,0.03,,0.02,,0.02,,,,
adjusted basic income,,5/30/2026,,0.03,,0.03,,0.03,,0.03,,0.03,,0.02,,0.02,,,,
,,2/27/2026,,0.05,2/17/2025,0.05,2/17/2025,0.04,2/17/2025,0.04,2/17/2025,0.04,2/17/2025,0.04,2/17/2025,0.04,2/17/2025,,,
,12/18/2025,11/30/2025,0.02,0.05,,0.04,,0.04,,0.04,,0.03,,0.03,,,,,,
,9/25/2025,8/30/2025,0.02,0.04,,0.01,,0.01,,0.02,,,,,,,,,,
,6/24/2025,5/30/2025,0.01,0.02,,0.01,,0.01,,0.01,,,,,,,,,,
,4/2/2025,2/27/2025,-0.01,0.03,,0.02,,0.02,,,,,,,,,,,,
,12/19/2024,11/30/2024,-0.02,0.02,,0.02,,,,,,,,,,,,,,
,9/26/2024,8/30/2024,-0.03,-0.02,,-0.02,,,,,,,,,,,,,,
,6/26/2024,5/30/2024,-0.07,-0.03,,-0.03,,,,,,,,,,,,,,
,4/3/2024,2/27/2024,-0.1,0.03,,0.03,,,,,,,,,,,,,,
,12/20/2023,11/30/2023,-0.03,0.01,,0.01,,,,,,,,,,,,,,
,9/28/2023,8/30/2023,-0.07,-0.04,,-0.04,,,,,,,,,,,,,,
,6/28/2023,5/30/2023,-0.1,0.06,,0.06,,,,,,,,,,,,,,
,3/31/2023,2/27/2023,-0.85,-0.02,,-0.02,,,,,,,,,,,,,,
,12/20/2022,11/30/2022,-0.09,-0.05,,-0.05,,,,,,,,,,,,,,
,9/27/2022,8/30/2022,-0.1,-0.05,,-0.05,,,,,,,,,,,,,,
,6/23/2022,5/30/2022,-0.35,-0.05,,-0.05,,,,,,,,,,,,,,
,3/31/2022,2/28/2022,-0.03,0.01,,0.01,,,,,,,,,,,,,,
,12/21/2021,11/30/2021,-0.05,0.01,,0.01,,,,,,,,,,,,,,
,9/22/2021,8/31/2021,-0.25,-0.06,,-0.06,,,,,,,,,,,,,,
,6/24/2021,5/29/2021,-0.11,-0.05,,-0.05,,,,,,,,,,,,,,
,3/30/2021,2/28/2021,-0.56,0.03,,0.03,,,,,,,,,,,,,,
,12/17/2020,11/30/2020,-0.23,0.02,,0.02,,,,,,,,,,,,,,
,9/24/2020,8/31/2020,-0.04,0.11,,0.11,,,,,,,,,,,,,,
,6/24/2020,5/29/2020,-1.14,0.02,,0.02,,,,,,,,,,,,,,
,3/31/2020,2/28/2020,-0.07,0.09,,0.09,,,,,,,,,,,,,,
