CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2021,0.92,3/19/2021,0.91,2/18/2021,0.88,1/10/2021,0.88,12/9/2020,0.88,11/8/2020,0.88,9/25/2020,0.88,8/30/2020,0.87,7/29/2020,0.87,7/12/2020,0.87,6/7/2020,0.83,4/30/2020,0.83,3/24/2020,,,,,,,,,
,,9/30/2021,0.9,,0.9,,0.89,,0.89,,0.85,,0.85,,0.85,,0.86,,0.85,,0.85,,0.81,,0.81,,,,,,,,,,
,,6/30/2021,0.88,,0.9,,0.88,,0.88,,0.86,,0.86,,0.86,,0.82,,0.78,,0.78,,0.76,,0.76,,,,,,,,,,
,,3/31/2021,0.84,,0.85,,0.85,,0.85,,0.84,,0.84,,0.84,,0.8,,0.78,,0.78,,0.77,,0.77,,,,,,,,,,
,2/17/2021,12/31/2020,0.79,,0.79,,0.79,,0.77,,0.77,3/24/2020,0.77,3/24/2020,0.83,3/24/2020,0.82,3/24/2020,0.82,3/24/2020,0.82,3/24/2020,0.84,3/24/2020,0.68,2/19/2020,0.68,2/10/2020,0.68,1/11/2020,0.67,9/17/2019,0.67,,0.67
,11/5/2020,9/30/2020,0.73,,0.76,,0.76,,0.76,,0.76,,0.76,,0.79,,0.82,,0.67,,0.67,,0.67,,0.65,,0.66,,0.66,,,,,,
,7/29/2020,6/30/2020,0.74,,0.65,,0.65,,0.69,,0.78,,0.65,,0.65,,0.65,,0.64,,0.63,,0.63,,,,,,,,,,,,
,4/29/2020,3/31/2020,0.71,,0.74,,0.61,,0.61,,0.61,,0.59,,0.59,,0.59,,,,,,,,,,,,,,,,,,
,2/19/2020,12/31/2019,1,,0.6,,0.6,,0.59,,0.6,,0.6,,0.57,0.58,,,,,,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,0.69,,0.6,,0.59,,0.59,,0.6,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,0.603840399,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,0.527931086,,0.53,,0.51,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/20/2019,12/31/2018,0.502286528,,0.52,,0.53,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.549003478,,0.52,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,0.500175809,,0.51,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
