Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,
5/28/2021,0.97,1/21/2020,1.02,1/20/2020,1.02,,,,,,
2/26/2021,0.79,,0.83,,0.83,,0.81,,,,
11/30/2020,0.92,,0.98,,0.98,,0.97,,,,
8/31/2020,0.9,,0.94,,0.94,,,,,,
6/1/2020,0.91,,0.92,,0.92,,0.93,,0.89,0.84,
2/28/2020,0.71,,0.75,,0.75,,0.7,,0.69,,
11/29/2019,1.323187749,,0.87,,0.85,,0.83,0.82,,,
8/30/2019,0.813753062,,0.78,,0.73,,,,,,
5/31/2019,0.781300271,,0.78,,0.72,,0.73,0.71,,,
2/28/2019,0.662976795,,0.6,,0.58,,0.61,0.58,,,
11/30/2018,0.661146247,,0.72,,0.7,,,,,,
8/31/2018,0.597971101,,0.65,,,,,,,,
6/1/2018,0.529164194,,0.58,,0.62,,,,,,
3/2/2018,0.493687395,,0.49,,0.45,,,,,,
12/1/2017,0.554152596,,0.57,,0.55,,0.56,0.6,,,
9/1/2017,0.548655745,,0.57,,0.56,,0.55,,,,
6/2/2017,0.552429797,,0.55,,0.52,,0.49,0.57,0.58,0.59,0.6
3/3/2017,0.372620285,,0.32,,0.46,,0.48,,,,
12/2/2016,0.525227836,,0.54,,0.62,,0.61,0.6,,,
9/2/2016,0.599631737,,0.62,,0.6,,,,,,
5/27/2016,0.671361834,,0.52,,0.53,,0.51,0.52,,,
2/26/2016,0.461533514,,0.39,,0.41,,0.47,,,,
11/30/2015,0.574393568,,0.53,,0.51,,0.55,0.53,0.61,0.6,
8/31/2015,0.556191394,,0.46,,0.49,,0.5,0.57,,,
5/29/2015,0.388357681,,0.41,,0.51,,0.54,0.52,0.53,,
2/27/2015,0.35109211,,0.34,,0.35,,0.44,0.45,0.49,,
11/28/2014,0.555727493,,0.52,,0.51,,0.48,0.49,0.52,0.55,0.46
8/29/2014,0.420617944,,0.47,,0.46,,0.48,0.51,0.53,0.46,
5/30/2014,0.277347175,,0.46,,0.45,,0.43,0.44,0.34,,
2/28/2014,0.325211882,,0.34,,0.39,,0.41,,,,
11/29/2013,-1.36787186,,0.4,,0.5,,0.38,,,,
8/30/2013,0.37919106,,0.38,,0.46,,0.44,0.36,,,
5/31/2013,0.395582206,,0.36,,0.35,,0.37,0.28,,,
3/1/2013,0.280217762,,0.28,,0.29,,0.34,,,,
11/30/2012,0.141353056,,0.39,,0.39,,,,,,
8/31/2012,0.341205734,,0.39,,,,,,,,
6/1/2012,0.204836252,,0.3,,,,,,,,
3/2/2012,0.254727608,,0.27,,,,,,,,
12/2/2011,0.405906811,,nan,,,,,,,,
