Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
12/31/2019,1.793017792,3/8/2020,nan,,,,,
9/30/2019,1.732113773,,nan,,,,,
6/28/2019,1.793017792,,nan,,,,,
3/29/2019,1.732113773,,nan,,,,,
12/31/2018,1.833532981,,nan,,,,,
9/28/2018,2.008554059,,nan,,,,,
6/29/2018,1.736462677,,nan,,,,,
3/29/2018,1.687544383,,nan,,,,,
1/2/2018,1.862338488,,nan,,,,,
9/29/2017,1.325557225,,nan,,,,,
6/30/2017,1.287612517,,nan,,,,,
3/31/2017,1.217033161,,nan,,,,,
12/30/2016,1.414535336,,nan,,,,,
9/23/2016,1.408032221,,nan,,,,,
6/24/2016,1.249038208,,nan,,,,,
3/24/2016,1.057715488,,nan,,,,,
12/24/2015,1.305281102,,nan,,,,,
9/30/2015,1.230916756,,nan,,,,,
6/30/2015,0.99627221,,nan,,,,,
3/27/2015,1.171560684,,nan,,,,,
12/26/2014,1.087444407,,nan,,,,,
9/30/2014,1.090408074,,nan,,,,,
6/30/2014,0.816498106,,nan,,,,,
3/31/2014,0.857582198,,nan,,,,,
12/31/2013,0.865629597,,nan,,,,,
9/30/2013,0.997660978,,nan,,,,,
6/28/2013,0.833924292,,nan,,,,,
3/28/2013,0.779980226,,nan,,,,,
12/28/2012,0.339414739,,nan,,,,,
9/28/2012,0.815667088,,0.34,,,,,
6/27/2012,0.646135478,,0.33,,,,,
3/30/2012,0.665883616,,nan,,,,,
12/30/2011,0.799336846,,nan,,,,,
9/23/2011,0.66193672,,nan,,,,,
6/24/2011,0.648923941,,nan,,,,,
3/25/2011,0.580195433,,nan,,,,,
12/23/2010,0.598585886,,nan,,,,,
9/24/2010,0.514873923,,nan,,,,,
6/25/2010,0.450623082,,nan,,,,,
3/26/2010,0.41973475,,nan,,,,,
12/24/2009,0.273621364,,nan,,,,,
9/25/2009,0.333883896,,nan,,,,,
6/26/2009,0.223690997,,nan,,,,,
3/27/2009,0.261879904,,nan,,,,,
12/26/2008,-0.38,,nan,,,,,
9/25/2008,0.24,,nan,,,,,
6/30/2008,0.17,,nan,,,,,
3/31/2008,0.17,,nan,,,,,
12/31/2007,0.15,,nan,,,,,
9/28/2007,0.2,,nan,,,,,
6/29/2007,0.08,,nan,,,,,
3/30/2007,0.11,,nan,,,,,
12/29/2006,0.14,,nan,,,,,
9/29/2006,0.13,,nan,,,,,
6/30/2006,0.1,,nan,,,,,
3/31/2006,0.18,,nan,,,,,
12/30/2005,-0.01,,nan,,,,,
9/30/2005,0.14,,nan,,,,,
6/30/2005,0.08,,nan,,,,,
3/31/2005,0.11,,nan,,,,,
12/31/2004,0.15,,nan,,,,,
9/30/2004,0.15,,nan,,,,,
6/30/2004,0.11,,nan,,,,,
3/31/2004,0.21,,nan,,,,,
12/31/2003,0.16,,nan,,,,,
9/30/2003,0.17,,nan,,,,,
6/30/2003,0.12,,nan,,,,,
3/31/2003,0.18,,nan,,,,,
12/31/2002,0.16,,nan,,,,,
9/30/2002,0.17,,nan,,,,,
6/28/2002,0.12,,nan,,,,,
3/28/2002,0.17,,nan,,,,,
12/31/2001,0.1,,nan,,,,,
9/28/2001,0.21,,nan,,,,,
6/29/2001,0.11,,nan,,,,,
3/30/2001,0.13,,nan,,,,,
12/29/2000,0.12,,nan,,,,,
9/29/2000,0.14,,nan,,,,,
6/30/2000,-0.33,,nan,,,,,
3/31/2000,0,,nan,,,,,
12/31/1999,-0.16,,nan,,,,,
9/30/1999,-1.43,,nan,,,,,
6/30/1999,-0.02,,nan,,,,,
3/31/1999,-0.03,,nan,,,,,
12/31/1998,0.16,,nan,,,,,
9/30/1998,0.26,,nan,,,,,
6/30/1998,0.68,,nan,,,,,
3/31/1998,0.11,,nan,,,,,
12/31/1997,0.07,,nan,,,,,
9/30/1997,0.2,,nan,,,,,
6/30/1997,0.16,,nan,,,,,
3/31/1997,0.09,,nan,,,,,
12/31/1996,0.14,,nan,,,,,
9/30/1996,0.14,,nan,,,,,
6/28/1996,0.07,,nan,,,,,
3/29/1996,0.05,,nan,,,,,
12/29/1995,0.05,,nan,,,,,
9/29/1995,0.08,,nan,,,,,
6/30/1995,0.1,,nan,,,,,
