CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Non-GAAP,,12/31/2026,,0.9,12/23/2025,0.89,11/8/2025,0.87,9/16/2025,0.85,8/13/2025,0.79,7/22/2025,0.79,6/23/2025,,,,,,,,,,,,
,,9/30/2026,,0.86,,0.86,,0.83,,0.82,,0.75,,0.75,,,,,,,,,,,,,
,,6/30/2026,,0.81,,0.81,,0.8,,0.78,,0.72,,0.72,,,,,,,,,,,,,
,,3/30/2026,,0.75,,0.75,,0.74,,0.73,,0.69,,0.68,,,,,,,,,,,,,
,,12/31/2025,,0.76,12/21/2024,0.75,12/21/2024,0.72,12/21/2024,0.71,12/21/2024,0.64,12/21/2024,0.63,12/21/2024,,,,,,,,,,,,
,11/4/2025,9/30/2025,0.67,0.75,,0.72,,0.7,,0.63,,0.62,,,,,,,,,,,,,,,
,8/5/2025,6/30/2025,0.7,0.73,,0.65,,0.65,,0.64,,,,,,,,,,,,,,,,,
,5/6/2025,3/30/2025,0.64,0.65,,0.59,,0.59,,0.56,,,,,,,,,,,,,,,,,
,2/18/2025,12/31/2024,0.62,0.65,4/5/2024,0.57,4/5/2024,2.19,4/5/2024,2.08,4/5/2024,,,,,,,,,,,,,,,,
,11/7/2024,9/30/2024,2.33,2.4,,2.08,,2.08,,2.07,,,,,,,,,,,,,,,,,
,7/30/2024,6/30/2024,2.08,2.1,,1.94,,1.91,,1.82,,,,,,,,,,,,,,,,,
,5/7/2024,3/30/2024,1.99,1.99,,1.74,,1.73,,1.67,,,,,,,,,,,,,,,,,
,2/12/2024,12/31/2023,1.92,2.08,3/24/2023,1.7,3/24/2023,1.7,3/24/2023,1.7,3/24/2023,,,,,,,,,,,,,,,,
,10/30/2023,9/30/2023,1.72,1.83,,1.58,,1.58,,1.58,,,,,,,,,,,,,,,,,
,7/31/2023,6/30/2023,1.55,1.58,,1.44,,1.44,,1.43,,,,,,,,,,,,,,,,,
,5/1/2023,3/30/2023,1.38,1.43,,1.34,,1.34,,1.2,,,,,,,,,,,,,,,,,
