CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,9/30/2011,1.660714286,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,1.39,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.649390244,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,-1.01,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.75,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,1.29,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.491017964,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-1.44,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.39,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.19,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-2.64,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-6.22,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,-21.57,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,-4.55,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,-0.47,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,2.21,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,1.83,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,-1.32,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,-0.55,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,1.3,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.93,,,,,,,,,,,,,,,,,,,,,,,,
