Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,
3/31/2021,-0.86,3/8/2020,-0.86,,-0.88,,,,,,
12/31/2020,-0.85,,-0.85,,-0.87,,,,,,
9/30/2020,-0.83,,-0.83,,-0.93,,,,,,
6/30/2020,-0.78,,-0.78,,-0.83,,,,,,
3/31/2020,-0.59,,-0.59,,-0.97,,-1.39,,-0.16,,-0.19
12/31/2019,-0.62,,-0.62,,-1.03,,-1.39,,-0.16,,-0.19
9/30/2019,-1.09,,-1.09,,-1.42,,-0.16,,-0.18,,
7/1/2019,-0.91,,-0.91,,-1.31,,-0.16,,-0.18,,
3/29/2019,-1.7,,-1.7,,-0.25,,-0.25,,-0.39,,-0.24
12/31/2018,-2.08,,-2.08,,-0.26,,-0.36,,-0.22,,-0.56
9/28/2018,-2.92,,-2.92,,-0.37,,-0.36,,-0.2,,-0.52
6/29/2018,-0.481380819,,-1.47,,-0.18,,-0.53,,,,
3/29/2018,-0.235797731,,-2.91,,-0.36,,-0.49,,-0.59,,
12/29/2017,-0.537525823,,-3.97,,-0.5,,-0.59,,,,
9/29/2017,-0.642101335,,-4.41,,-0.55,,-0.58,,-0.53,,
6/30/2017,-0.650990661,,-0.55,,-0.53,,-0.51,,,,
3/31/2017,-0.532791473,,nan,,-0.46,,,,,,
12/30/2016,-0.482151787,,nan,,-0.37,,,,,,
9/30/2016,-0.426097321,,nan,,,,,,,,
6/30/2016,-0.383812405,,nan,,,,,,,,
3/31/2016,-0.299253656,,nan,,,,,,,,
12/31/2015,-0.638991427,,nan,,,,,,,,
9/30/2015,-0.152960161,,nan,,,,,,,,
6/30/2015,-0.310717434,,nan,,,,,,,,
3/31/2015,-1.409461376,,nan,,,,,,,,
