Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,12/31/2020,0.09,4/16/2020,0.44,3/14/2020,0.43,3/8/2020,0.43,,0.64,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2020,0.04,,0.66,,0.89,,0.89,,0.88,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2020,-0.37,,0.43,,0.73,,0.73,,0.79,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2020,-0.49,,-0.23,,0.5,,0.5,,0.43,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2020,12/31/2019,0.44,,0.71,,0.52,,0.76,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019,9/30/2019,1.18,,0.78,,0.83,,0.99,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,6/28/2019,1.154228856,,1.14,,1.07,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2019,3/29/2019,1.004975124,,0.49,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2019,12/31/2018,0.73,,0.98,,0.74,,1.05,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2018,9/28/2018,0.85,,0.84,,1.25,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2018,6/29/2018,0.53,,0.91,,1.31,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2018,3/29/2018,0.69,,-0.05,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2018,12/29/2017,2.309907834,,0.12,,0.26,,-0.28,,-0.48,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2017,9/29/2017,0.255760369,,0.61,,0.13,,0.11,,0.26,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2017,6/30/2017,-0.120967742,,-0.11,,0.22,,0.18,,0.3,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2017,3/31/2017,0.255760369,,-0.05,,-0.27,,-0.16,,-0.01,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2017,12/30/2016,0.081797235,,-0.14,,-0.22,,-0.29,,-0.24,,0.01,,0.3,,0.12,,0.02,,,,,,,,,,,,,,,,,,,,,,
