CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2024,,0.74,6/15/2023,0.74,5/4/2023,,3/23/2023,0.69,2/11/2023,0.69,1/17/2023,0.69,12/10/2022,0.69,11/3/2022,0.79,9/17/2022,0.79,8/14/2022,0.81,8/7/2022,0.83,7/22/2022,0.82,6/20/2022,0.81,5/12/2022,0.81,4/17/2022,,3/14/2022,0.77,2/10/2022,0.73,12/29/2021,0.72,12/28/2021,0.71,,0.69,,0.721355932
,,9/30/2024,,0.73,,0.73,,,,0.73,,0.7,,0.69,,0.7,,0.75,,0.76,,0.78,,0.79,,0.79,,0.78,,0.78,,,,0.75,,0.75,,0.69,,0.68,,0.65,,0.687542373
,,6/30/2024,,0.71,,0.71,,,,0.68,,0.74,,0.73,,0.73,,0.74,,0.74,,0.74,,0.75,,0.76,,0.78,,0.78,,,,0.71,,0.77,,0.78,,0.67,,0.653728814,,
,,3/30/2024,,0.71,,0.71,,,,0.67,,0.76,,0.76,,0.76,,0.81,,0.81,,0.82,,0.82,,0.81,,0.8,,0.8,,,,0.68,,0.71,,0.74,,0.73,,0.608644068,,
,,12/31/2023,,0.67,3/23/2023,0.67,3/23/2023,0.69,3/23/2023,0.69,2/11/2023,0.69,1/17/2023,0.69,12/10/2022,0.69,11/3/2022,0.79,9/17/2022,0.79,8/14/2022,0.81,8/7/2022,0.83,7/22/2022,0.82,6/20/2022,0.81,5/12/2022,0.81,4/17/2022,,3/14/2022,0.77,2/10/2022,0.73,12/29/2021,0.72,12/28/2021,0.71,,0.69,,0.721355932
,,9/30/2023,,0.64,,0.65,,0.73,,0.73,,0.7,,0.69,,0.7,,0.75,,0.76,,0.78,,0.79,,0.79,,0.78,,0.78,,,,0.75,,0.75,,0.69,,0.68,,0.65,,0.687542373
,,6/30/2023,,0.59,,0.6,,0.68,,0.68,,0.74,,0.73,,0.73,,0.74,,0.74,,0.74,,0.75,,0.76,,0.78,,0.78,,,,0.71,,0.77,,0.78,,0.67,,0.653728814,,
,5/3/2023,3/30/2023,0.52,0.72,,0.67,,0.67,,0.76,,0.76,,0.76,,0.81,,0.81,,0.82,,0.82,,0.81,,0.8,,0.8,,,,0.68,,0.71,,0.74,,0.73,,0.608644068,,,,
,2/8/2023,12/30/2022,0.34,0.6,,0.61,,0.61,,0.63,,0.72,,0.72,,0.73,,0.75,,0.75,,0.76,,0.77,,0.77,,0.77,2/10/2022,0.73,12/29/2021,0.72,12/28/2021,0.71,,0.69,,0.721355932,,,,,,
,11/2/2022,9/30/2022,0.34,0.66,,0.66,,0.67,,0.69,,0.71,,0.71,,0.72,,0.75,,0.75,,0.75,,0.75,,0.69,,0.68,,0.65,,0.687542373,,,,,,,,,,,,
,8/5/2022,6/30/2022,0.67,0.64,,0.62,,0.62,,0.64,,0.7,,0.7,,0.71,,0.77,,0.78,,0.67,,0.653728814,,,,,,,,,,,,,,,,,,,,
