CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2022,0.65,8/14/2021,0.68,7/9/2021,0.68,6/7/2021,0.65,5/9/2021,0.65,4/3/2021,0.42,3/1/2021,0.41,1/8/2021,0.41,12/8/2020,0.42,11/7/2020,0.42,10/11/2020,0.39,9/13/2020,0.44,8/6/2020,0.44,6/18/2020,0.43,5/8/2020,0.43,4/1/2020,,,,,,,
,,9/30/2022,0.82,,0.84,,0.84,,0.81,,0.81,,0.74,,0.75,,0.75,,0.67,,0.67,,0.69,,0.72,,0.72,,0.74,,0.74,,,,,,,,
,,6/30/2022,0.62,,0.65,,0.65,,0.64,,0.64,,0.55,,0.55,,0.55,,0.6,,0.6,,0.57,,0.43,,0.43,,0.47,,0.47,,,,,,,,
,,3/31/2022,0.24,,0.22,,0.22,,0.26,,0.26,,0.17,,0.18,,0.18,,0.19,,0.19,,0.23,,0.23,,0.23,,0.19,,0.19,,,,,,,,
,,12/31/2021,0.5,,0.52,,0.52,,0.55,,0.58,4/3/2021,0.42,3/1/2021,0.41,1/8/2021,0.41,12/8/2020,0.42,11/7/2020,0.42,10/11/2020,0.39,9/13/2020,0.44,8/6/2020,0.44,6/18/2020,0.43,5/8/2020,0.43,4/1/2020,,,,,,,
,,9/30/2021,0.67,,0.68,,0.7,,0.71,,0.72,,0.74,,0.75,,0.75,,0.67,,0.67,,0.69,,0.72,,0.72,,0.74,,0.74,,,,,,,,
,8/5/2021,6/30/2021,0.34,,0.56,,0.54,,0.58,,0.58,,0.55,,0.55,,0.55,,0.6,,0.6,,0.57,,0.43,,0.43,,0.47,,0.47,,,,,,,,
,5/6/2021,3/31/2021,0.19,,0.2,,0.17,,0.18,,0.18,,0.19,,0.19,,0.23,,0.23,,0.23,,0.19,,0.19,,,,,,,,,,,,,,
,3/1/2021,12/31/2020,0.42,,0.32,,0.32,,0.31,4/1/2020,0.31,4/1/2020,0.29,4/1/2020,0.41,4/1/2020,0.41,4/1/2020,0.41,4/1/2020,0.41,4/1/2020,0.37,3/2/2020,0.37,2/21/2020,0.4,1/13/2020,0.46,10/11/2019,0.46,,0.46,,0.47,,0.49,,0.46442953
,11/5/2020,9/30/2020,0.51,,0.49,,0.5,,0.56,,0.56,,0.59,,0.65,,0.62,,0.62,,0.64,,0.61,,0.61,,0.61,,0.64,,0.62,,0.708255034,,,,,,
