Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,
3/28/2013,0.798600168,,0.83,,0.8,,0.76,,,,,,,,
12/27/2012,0.763559525,,0.75,,0.78,,0.8,,,,,,,,
9/27/2012,0.831020023,,0.79,,,,,,,,,,,,
6/29/2012,0.759975159,,nan,,,,,,,,,,,,
3/30/2012,0.652028339,,nan,,,,,,,,,,,,
12/30/2011,0.700383333,,nan,,,,,,,,,,,,
9/30/2011,0.737801776,,nan,,,,,,,,,,,,
7/1/2011,0.710749502,,nan,,,,,,,,,,,,
4/1/2011,0.630088801,,nan,,,,,,,,,,,,
12/31/2010,0.519764687,,nan,,,,,,,,,,,,
10/1/2010,0.611505135,,nan,,,,,,,,,,,,
7/1/2010,0.151174514,,nan,,,,,,,,,,,,
4/1/2010,0.61721021,,nan,,,,,,,,,,,,
12/31/2009,0.578099312,,nan,,,,,,,,,,,,
10/2/2009,0.638468969,,nan,,,,,,,,,,,,
7/2/2009,0.760733639,,nan,,,,,,,,,,,,
4/3/2009,0.878809566,,nan,,,,,,,,,,,,
12/31/2008,0.938480525,,nan,,,,,,,,,,,,
9/30/2008,0.92,,nan,,,,,,,,,,,,
6/30/2008,0.87,,nan,,,,,,,,,,,,
3/31/2008,0.8,,nan,,,,,,,,,,,,
12/31/2007,0.79,,nan,,,,,,,,,,,,
9/28/2007,0.68,,nan,,,,,,,,,,,,
6/29/2007,0.61,,nan,,,,,,,,,,,,
3/30/2007,0.55,,nan,,,,,,,,,,,,
12/29/2006,0.51,,nan,,,,,,,,,,,,
9/29/2006,0.485,,nan,,,,,,,,,,,,
6/30/2006,0.42,,nan,,,,,,,,,,,,
3/31/2006,0.37,,nan,,,,,,,,,,,,
12/30/2005,0.36,,nan,,,,,,,,,,,,
9/30/2005,0.32,,nan,,,,,,,,,,,,
6/30/2005,0.31,,nan,,,,,,,,,,,,
3/31/2005,0.24,,nan,,,,,,,,,,,,
12/31/2004,0.25,,nan,,,,,,,,,,,,
9/30/2004,0.25,,nan,,,,,,,,,,,,
6/30/2004,0.23,,nan,,,,,,,,,,,,
3/31/2004,0.27,,nan,,,,,,,,,,,,
12/31/2003,0.255,,nan,,,,,,,,,,,,
9/30/2003,0.260114108,,nan,,,,,,,,,,,,
6/30/2003,0.255705394,,nan,,,,,,,,,,,,
3/31/2003,0.246887967,,nan,,,,,,,,,,,,
12/31/2002,0.238070539,,nan,,,,,,,,,,,,
9/30/2002,0.229253112,,nan,,,,,,,,,,,,
6/28/2002,0.220435685,,nan,,,,,,,,,,,,
3/28/2002,0.216026971,,nan,,,,,,,,,,,,
12/31/2001,0.207209544,,nan,,,,,,,,,,,,
9/28/2001,0.189574689,,nan,,,,,,,,,,,,
6/29/2001,0.180757261,,nan,,,,,,,,,,,,
3/30/2001,0.174144191,,nan,,,,,,,,,,,,
12/29/2000,0.165326763,,nan,,,,,,,,,,,,
