CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2026,,0.3,7/25/2025,0.3,6/3/2025,0.3,4/26/2025,0.29,3/30/2025,0.29,2/15/2025,0.26,1/13/2025,0.26,12/5/2024,0.26,10/26/2024,0.26,9/8/2024,0.26,7/27/2024,0.26,6/16/2024,0.26,4/27/2024,0.24,4/7/2024,0.24,2/17/2024,0.24,1/16/2024,0.24,12/15/2023,0.24,10/28/2023,0.24,10/11/2023,0.24,9/2/2023,0.24,7/27/2023,0.24,6/9/2023,0.24,4/28/2023,,3/29/2023,0.2,2/18/2023,0.18,1/7/2023,0.18,12/1/2022,0.18,10/29/2022,0.19,10/7/2022,0.19,9/4/2022,0.19,8/1/2022,0.19,7/6/2022,0.19,6/3/2022,0.19,5/1/2022,0.19,3/26/2022,,2/23/2022,0.18,2/22/2022
,,9/30/2026,,0.37,,0.37,,0.36,,0.36,,0.36,,0.32,,0.33,,0.33,,0.33,,0.33,,0.33,,0.34,,0.31,,0.3,,0.3,,0.3,,0.3,,0.29,,0.29,,0.29,,0.29,,0.29,,,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,,,0.23,
,,6/30/2026,,0.34,,0.34,,0.34,,0.34,,0.34,,0.3,,0.3,,0.3,,0.31,,0.31,,0.3,,0.3,,0.27,,0.27,,0.27,,0.26,,0.26,,0.27,,0.27,,0.27,,0.27,,0.27,,,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,,,0.22,
,,3/30/2026,,0.25,,0.25,,0.25,,0.25,,0.25,,0.23,,0.22,,0.22,,0.23,,0.23,,0.23,,0.23,,0.2,,0.2,,0.2,,0.21,,0.21,,0.2,,0.2,,0.21,,0.21,,0.2,,,,0.17,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,,,0.16,
,,12/31/2025,,0.27,1/13/2025,0.26,1/13/2025,0.26,1/13/2025,0.26,1/13/2025,0.26,1/13/2025,0.26,1/13/2025,0.26,12/5/2024,0.26,10/26/2024,0.26,9/8/2024,0.26,7/27/2024,0.26,6/16/2024,0.26,4/27/2024,0.24,4/7/2024,0.24,2/17/2024,0.24,1/16/2024,0.24,12/15/2023,0.24,10/28/2023,0.24,10/11/2023,0.24,9/2/2023,0.24,7/27/2023,0.24,6/9/2023,0.24,4/28/2023,,3/29/2023,0.2,2/18/2023,0.18,1/7/2023,0.18,12/1/2022,0.18,10/29/2022,0.19,10/7/2022,0.19,9/4/2022,0.19,8/1/2022,0.19,7/6/2022,0.19,6/3/2022,0.19,5/1/2022,0.19,3/26/2022,,2/23/2022,0.18,2/22/2022
,,9/30/2025,,0.33,,0.33,,0.33,,0.33,,0.33,,0.32,,0.33,,0.33,,0.33,,0.33,,0.33,,0.34,,0.31,,0.3,,0.3,,0.3,,0.3,,0.29,,0.29,,0.29,,0.29,,0.29,,,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,,,0.23,
,7/23/2025,6/30/2025,0.29,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.3,,0.31,,0.31,,0.3,,0.3,,0.27,,0.27,,0.27,,0.26,,0.26,,0.27,,0.27,,0.27,,0.27,,0.27,,,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,0.23,,,,0.22,
,4/23/2025,3/30/2025,0.22,0.22,,0.22,,0.22,,0.23,,0.22,,0.22,,0.23,,0.23,,0.23,,0.23,,0.2,,0.2,,0.2,,0.21,,0.21,,0.2,,0.2,,0.21,,0.21,,0.2,,,,0.17,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,0.16,,,,0.16,,,,,
,2/12/2025,12/31/2024,0.22,0.23,4/7/2024,0.23,4/7/2024,0.23,4/7/2024,0.23,4/7/2024,0.24,4/7/2024,0.24,4/7/2024,0.24,4/7/2024,0.24,4/7/2024,0.24,4/7/2024,0.24,2/17/2024,0.24,1/16/2024,0.24,12/15/2023,0.24,10/28/2023,0.24,10/11/2023,0.24,9/2/2023,0.24,7/27/2023,0.24,6/9/2023,0.24,4/28/2023,,3/29/2023,0.2,2/18/2023,0.18,1/7/2023,0.18,12/1/2022,0.18,10/29/2022,0.19,10/7/2022,0.19,9/4/2022,0.19,8/1/2022,0.19,7/6/2022,0.19,6/3/2022,0.19,5/1/2022,0.19,3/26/2022,,2/23/2022,0.18,2/22/2022,,,,,,,,
,10/23/2024,9/30/2024,0.28,0.29,,0.3,,0.3,,0.3,,0.3,,0.31,,0.3,,0.3,,0.3,,0.3,,0.29,,0.29,,0.29,,0.29,,0.29,,,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,,,0.23,,,,,,,,,,,,,,,
