CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Y,,10/30/2027,,1.66,1/22/2026,1.46,12/22/2025,1.43,11/13/2025,1.42,10/1/2025,1.42,8/29/2025,1.4,7/5/2025,1.37,5/30/2025,,,,,
,,7/30/2027,,1.58,,1.4,,1.39,,1.37,,1.38,,1.35,,1.32,,,,,,
,,4/30/2027,,1.47,,1.3,,1.29,,1.28,,1.29,,1.28,,1.26,,,,,,
,,1/30/2027,,1.42,,1.23,,1.24,,1.23,,1.23,,1.2,,1.18,,,,,,
,,10/30/2026,,1.5,12/22/2025,1.46,12/22/2025,1.43,11/13/2025,1.42,10/1/2025,1.42,8/29/2025,1.4,7/5/2025,1.37,5/30/2025,,,,,
,,7/30/2026,,1.4,,1.4,,1.39,,1.37,,1.38,,1.35,,1.32,,,,,,
,,4/30/2026,,1.31,,1.3,,1.29,,1.28,,1.29,,1.28,,1.26,,,,,,
,,1/30/2026,,1.27,,1.23,,1.24,,1.23,,1.23,,1.2,,1.18,,,,,,
,12/18/2025,10/30/2025,1.33,1.33,11/19/2024,1.21,11/19/2024,1.2,11/19/2024,1.18,11/19/2024,1.15,11/19/2024,1.14,11/19/2024,,,,,,,
,8/25/2025,7/30/2025,1.26,1.26,,1.12,,1.1,,1.1,,,,,,,,,,,,
,5/28/2025,4/30/2025,1.12,1.12,,1.03,,1.03,,1.04,,,,,,,,,,,,
,2/26/2025,1/30/2025,1.2,1.2,,0.95,,0.95,,0.95,,,,,,,,,,,,
,12/17/2024,10/30/2024,0.99,0.99,1/2/2024,0.99,1/2/2024,0.99,1/2/2024,0.98,1/2/2024,,,,,,,,,,,
,8/26/2024,7/30/2024,0.97,0.97,,0.92,,0.91,,0.91,,,,,,,,,,,,
,5/28/2024,4/30/2024,0.88,0.88,,0.8,,0.81,,0.82,,,,,,,,,,,,
,2/26/2024,1/30/2024,0.82,0.82,,0.73,,0.73,,0.74,,,,,,,,,,,,
,12/18/2023,10/30/2023,0.74,0.74,,0.71,,0.73,,0.73,,,,,,,,,,,,
,8/28/2023,7/30/2023,0.74,0.74,,0.73,,0.73,,0.75,,,,,,,,,,,,
,5/22/2023,4/30/2023,0.76,0.76,,0.73,,0.74,,0.73,,,,,,,,,,,,
,2/27/2023,1/30/2023,0.67,0.67,,0.68,,0.69,,0.71,,,,,,,,,,,,
