CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1
,,9/30/2027,,0.855,8/24/2026,0.855,8/23/2026
,,6/30/2027,,0.825,,0.825,
,,3/31/2027,,0.778,,0.778,
,,12/31/2026,,0.745,,0.745,
,,9/30/2026,,0.763,,0.763,
,8/5/2026,6/30/2026,0.4,0.75,,0.75,
,5/6/2026,3/31/2026,0.29,0.62,,0.62,
,2/4/2026,12/31/2025,0.31,0.56,,0.56,
,11/12/2025,9/30/2025,0.56,0.56,,0.56,
,8/6/2025,6/30/2025,0.27,0.53,,0.53,
,5/7/2025,3/31/2025,0.28,0.51,,0.51,
,2/5/2025,12/31/2024,0.27,0.5,,0.5,
,11/13/2024,9/30/2024,0.52,0.52,,0.52,
,8/7/2024,6/30/2024,0.26,0.5,,0.5,
,5/1/2024,3/31/2024,0.11,0.49,,0.49,
,1/31/2024,12/31/2023,-0.08,0.48,,0.48,
,11/9/2023,9/30/2023,0.52,0.52,,0.52,
,8/3/2023,6/30/2023,0.18,0.5,,0.5,
,5/4/2023,3/31/2023,0.16,0.5,,0.5,
,2/2/2023,12/31/2022,0.16,0.48,,0.48,
,11/10/2022,9/30/2022,0.45,0.45,,0.45,
,8/4/2022,6/30/2022,0.12,0.45,,0.45,
,5/4/2022,3/31/2022,0.08,0.41,,0.41,
,2/2/2022,12/31/2021,0.03,0.36,,0.36,
,11/10/2021,9/30/2021,0.25,0.13,,0.13,
,8/4/2021,6/30/2021,0.09,0.09,,0.09,
,5/5/2021,3/31/2021,0.09,0.09,,0.09,
,2/3/2021,12/31/2020,-0.01,-0.01,,-0.01,
,11/12/2020,9/30/2020,0.15,0.15,,0.15,
,8/6/2020,6/30/2020,0.06,0.06,,0.06,
,5/7/2020,3/31/2020,0.07,0.07,,0.07,
,1/30/2020,12/31/2019,0.01,0.01,,0.01,
,11/14/2019,9/30/2019,0.08,0.08,,0.08,
,8/8/2019,6/30/2019,0.06,0.06,,0.06,
,5/2/2019,3/31/2019,0.05,0.05,,0.05,
,1/31/2019,12/31/2018,0.17,0.17,,0.17,
,11/15/2018,9/30/2018,0.13,0.13,,0.13,
,7/26/2018,6/30/2018,0.09,0.09,,0.09,
,4/26/2018,3/31/2018,-0.01,-0.01,,-0.01,
,1/25/2018,12/31/2017,-0.17,-0.17,,-0.17,
,10/26/2017,9/30/2017,0.16,0.16,,0.16,
,7/27/2017,6/30/2017,0.05,0.05,,0.05,
,5/4/2017,3/31/2017,0.05,0.05,,0.05,
,1/26/2017,12/31/2016,0.09,0.09,,0.09,
,10/27/2016,9/30/2016,0.14,0.14,,0.14,
,7/28/2016,6/30/2016,0.16,0.16,,0.16,
,4/28/2016,3/31/2016,0.08,0.09,,0.09,
,1/21/2016,12/31/2015,0.25,0.12,,0.12,
,10/29/2015,9/30/2015,0.12,0.12,,0.12,
,7/23/2015,6/30/2015,0.1,0.1,,0.1,
,4/23/2015,3/31/2015,0.06,0.06,,0.06,
,1/22/2015,12/31/2014,-0.01,-0.01,,-0.01,
,10/30/2014,9/30/2014,0.02,0.02,,0.02,
,7/24/2014,6/30/2014,0.01,0.01,,0.01,
,4/24/2014,3/31/2014,0.03,0.03,,0.03,
,1/23/2014,12/31/2013,0.03,0.03,,0.03,
,10/31/2013,9/30/2013,0.08,0.09,,0.09,
,7/25/2013,6/30/2013,0.06,0.06,,0.06,
,4/25/2013,3/31/2013,0.04,0.04,,0.04,
,1/24/2013,12/31/2012,0.05,0.05,,0.05,
,11/1/2012,9/30/2012,0.09,0.09,,0.09,
,7/26/2012,6/30/2012,0.09,0.09,,0.09,
,4/26/2012,3/31/2012,0.08,0.08,,0.08,
,1/19/2012,12/31/2011,0.03,0.03,,0.03,
,11/3/2011,9/30/2011,0.11,0.11,,0.11,
,7/21/2011,6/30/2011,0.14,0.14,,0.14,
,4/21/2011,3/31/2011,0.09,0.09,,0.09,
,1/19/2011,12/31/2010,0.09,0.09,,0.09,
,10/28/2010,9/30/2010,0.09,0.09,,0.09,
,7/22/2010,6/30/2010,0.15,0.15,,0.15,
,4/22/2010,3/31/2010,0.07,0.07,,0.07,
,1/21/2010,12/31/2009,0.05,0.05,,0.05,
,10/29/2009,9/30/2009,0.04,0.04,,0.04,
,7/23/2009,6/30/2009,0.06,0.06,,0.06,
,4/23/2009,3/31/2009,0.03,0.03,,0.03,
,1/22/2009,12/31/2008,0.04,0.04,,0.04,
