CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,
N,,8/31/2021,0.65,11/25/2020,0.59,10/22/2020,0.59,9/13/2020,0.59,8/7/2020,0.61,7/2/2020,0.61,5/22/2020,0.69,5/20/2020,0.93,,0.926119403,,,,
,,5/28/2021,1.03,,0.84,,0.84,,0.84,,0.85,,0.85,,0.92,,1.25,,1.167164179,,,,
,,2/26/2021,0.72,,0.54,,0.54,,0.54,,0.59,,0.59,,0.64,,0.71,,0.697761194,,,,
,,11/30/2020,0.75,,0.6,,0.6,,0.6,,0.74,,0.74,,0.77,,0.62,,0.647014925,,,,
,10/22/2020,8/31/2020,1.35,,0.98,,0.98,,0.86,,0.86,,0.87,,0.63,,0.73,,0.62,,0.94,,1.02
,7/2/2020,5/29/2020,0.93,,0.88,,0.89,,0.79,,0.92,,0.89,,1.23,,1.02,,,,,,
,4/7/2020,2/28/2020,0.509561201,,0.45,,0.48,,0.55,,0.58,,0.81,,1.02,,,,,,,,
,1/9/2020,11/29/2019,0.773043075,,0.5,,0.51,,0.6,,0.72,,1.02,,,,,,,,,,
,10/29/2019,8/30/2019,0.139347302,,0.35,,0.46,,0.64,,1.07,,0.98,,,,,,,,,,
,7/9/2019,5/31/2019,0.268588912,,0.76,,0.88,,1.42,,1.65,,1.52,,,,,,,,,,
,4/9/2019,2/28/2019,-0.318931949,,0.62,,0.86,,0.96,,0.82,,,,,,,,,,,,
,1/8/2019,11/30/2018,0.11257663,,0.45,,0.77,,0.5,,0.54,,,,,,,,,,,,
,10/18/2018,8/31/2018,0.46276843,,0.8,,0.97,,0.99,,0.96,,0.94,,0.75,,0.76,,0.77,,,,
,6/28/2018,5/31/2018,0.964860091,,1.41,,1.43,,1.39,,1.42,,1.21,,1.19,,1.2,,1.07,,,,
,3/29/2018,2/28/2018,0.161500512,,0.57,,0.58,,0.6,,0.61,,0.63,,0.62,,0.36,,,,,,
,12/21/2017,11/30/2017,0.297524521,,0.36,,0.43,,0.42,,0.48,,0.5,,0.64,,,,,,,,
,10/12/2017,8/31/2017,0.59315376,,0.64,,0.63,,0.61,,0.64,,0.55,,0.62,,,,,,,,
,6/29/2017,5/31/2017,1.002622459,,0.95,,0.98,,1.05,,1.2,,,,,,,,,,,,
,3/30/2017,2/28/2017,0.47030121,,0.39,,0.4,,0.51,,0.52,,0.6,,0.6,,,,,,,,
,12/21/2016,11/30/2016,0.082064298,,0.61,,0.63,,0.65,,0.72,,0.43,,,,,,,,,,
,,8/31/2016,0.729106359,,0.41,,0.42,,0.46,,0.52,,0.71,,,,,,,,,,
,,5/31/2016,0.900550938,,0.99,,1.01,,1.1,,1.2,,1.19,,,,,,,,,,
,,2/29/2016,-0.374546444,,0.56,,0.58,,0.68,,0.7,,,,,,,,,,,,
,,11/30/2015,0.616751044,,0.55,,0.67,,0.69,,0.66,,0.77,,,,,,,,,,
,,8/31/2015,-0.279574618,,0.55,,0.57,,0.48,,0.67,,0.68,,0.75,,0.85,,,,,,
,,5/29/2015,1.105816938,,0.8,,1.25,,1.29,,1.3,,1.41,,1.69,,,,,,,,
,,2/27/2015,0.750709397,,1.13,,1.14,,1.18,,1.21,,1.22,,0.91,,,,,,,,
,,11/28/2014,0.619109948,,0.76,,0.77,,0.9,,0.98,,1.05,,0.95,,0.59,,,,,,
,,8/29/2014,0.893031688,,0.6,,0.71,,0.68,,0.76,,0.91,,1.39,,,,,,,,
,,5/30/2014,1.284668691,,1.43,,1.45,,1.65,,1.66,,1.76,,1.13,,,,,,,,
,,2/28/2014,1.04182804,,1.13,,1.24,,1.32,,0.91,,,,,,,,,,,,
,,11/29/2013,0.794010396,,0.89,,1.04,,1.01,,0.91,,,,,,,,,,,,
,,8/30/2013,0.810571318,,0.91,,0.9,,0.87,,0.88,,0.87,,0.84,,1.78,,,,,,
,,5/31/2013,2.02698709,,1.8,,1.81,,1.78,,1.61,,1.29,,,,,,,,,,
,,2/28/2013,1.506852515,,1.3,,1.12,,0.75,,,,,,,,,,,,,,
,,11/30/2012,1.154593917,,0.74,,0.76,,,,,,,,,,,,,,,,
