Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,
,12/31/2020,3.45,3/29/2020,3.71,3/1/2020,3.66,1/24/2020,3.62,1/23/2020,3.62,,3.71,,3.79,4.01,4.03,4.05,4.04,4.045757997,
,9/30/2020,3.33,,3.61,,3.56,,3.53,,3.53,,3.66,,3.74,3.95,3.97,3.99,3.96,3.97,4.024464534
,6/30/2020,3.29,,3.54,,3.49,,3.44,,3.44,,3.54,,3.6,3.83,3.85,3.87,3.86,3.875410292,
,3/31/2020,3.01,,3.1,,3.08,,3.08,,3.08,,3.18,,3.22,3.42,3.43,3.46,3.44,3.46,3.513421419
1/23/2020,12/31/2019,3.6,,3.46,,3.46,,3.5,,3.54,3.75,3.77,3.8,3.81,3.8,3.71,3.73,3.75,3.74,
10/17/2019,9/30/2019,3.469274205,,3.58,,3.57,,3.6,3.74,3.75,3.74,3.76,3.77,3.75,3.76,3.64,3.66,3.67,3.64,
7/18/2019,6/28/2019,3.341352684,,3.69,,3.68,,3.67,3.66,3.64,3.52,3.53,3.51,,,,,,,
4/15/2019,3/29/2019,3.350391531,,3.3,,3.23,,3.21,3.2,3.15,,,,,,,,,,
1/17/2019,12/31/2018,3.754344313,,3.5,,3.46,,3.43,2.95,2.66,2.75,,,,,,,,,
10/17/2018,9/28/2018,3.534614201,,3.34,,2.93,,2.61,2.65,,,,,,,,,,,
7/18/2018,6/29/2018,3.259341508,,3.17,,2.82,,2.51,2.55,,,,,,,,,,,
4/16/2018,3/29/2018,2.23463282,,2.76,,2.56,,2.28,2.32,,,,,,,,,,,
1/18/2018,12/29/2017,2.015068749,,2.4,,2.41,,2.42,2.36,2.3,2.38,,,,,,,,,
10/18/2017,9/29/2017,2.219590062,,2.4,,2.35,,2.28,2.25,2.34,,,,,,,,,,
7/19/2017,6/30/2017,2.353023304,,2.27,,2.17,,2.15,2.21,2.23,,,,,,,,,,
4/17/2017,3/31/2017,2.120484805,,1.93,,1.91,,1.9,1.87,1.96,,,,,,,,,,
1/19/2017,12/30/2016,1.970367383,,2.04,,2.03,,2.17,2.3,2.35,2.48,2.53,2.04,,,,,,,
10/19/2016,9/30/2016,2.109841471,,2.04,,2.13,,2.23,2.27,2.39,2.43,,,,,,,,,
7/20/2016,6/30/2016,1.98188922,,2.08,,2.14,,2.17,2.23,2.29,1.84,,,,,,,,,
4/18/2016,3/31/2016,1.732292171,,1.84,,1.91,,1.94,1.99,2.04,1.96,,,,,,,,,
,12/31/2015,1.554254386,,1.96,,1.99,,2.05,2.13,2.16,2.23,2.26,2.29,2.31,2.35,2.36,,,,
,9/30/2015,1.929477567,,2.01,,2.02,,2.06,2.17,2.19,2.22,2.31,2.33,,,,,,,
,6/30/2015,1.979586623,,1.98,,2,,2.04,2.12,2.2,2.24,,,,,,,,,
,3/31/2015,1.646059302,,1.76,,1.77,,1.89,1.93,1.99,2.02,2,,,,,,,,
,12/31/2014,1.920901522,,1.94,,1.96,,2.03,2.08,2.09,2.15,2.17,2.19,2.34,2.31,1.98,,,,
,9/30/2014,1.906613284,,1.98,,2.01,,2,2.02,2.07,2.11,2.15,2.31,2.26,1.9,,,,,
,6/30/2014,1.977538914,,1.9,,1.91,,1.92,2.04,2.03,2.08,2.14,2.23,1.61,,,,,,
