CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3
Non-GAAP,,7/30/2027,,0.46,9/8/2025,0.41,8/25/2025,0.41,7/3/2025,0.42,5/24/2025
,,4/30/2027,,0.51,,0.46,,0.46,,0.46,
,,1/30/2027,,0.46,,0.42,,0.42,,0.43,
,,10/30/2026,,0.44,,0.41,,0.42,,0.42,
,,7/30/2026,,0.42,8/25/2025,0.41,8/25/2025,0.41,7/3/2025,0.42,5/24/2025
,,4/30/2026,,0.46,,0.46,,0.46,,0.46,
,,1/30/2026,,0.42,,0.42,,0.42,,0.43,
,,10/30/2025,,0.4,,0.41,,0.42,,0.42,
,9/4/2025,7/30/2025,0.41,0.41,10/13/2024,0.36,10/13/2024,0.36,10/13/2024,0.36,10/13/2024
,5/22/2025,4/30/2025,0.42,0.42,,0.42,,0.42,,0.42,
,2/20/2025,1/30/2025,0.4,0.4,,0.37,,0.37,,0.37,
,11/21/2024,10/30/2024,0.37,0.37,,0.37,,0.37,,0.38,
,9/4/2024,7/30/2024,0.33,0.33,10/19/2023,0.37,10/19/2023,0.37,10/19/2023,0.37,10/19/2023
,5/16/2024,4/30/2024,0.39,0.39,,0.39,,0.39,,0.39,
,2/22/2024,1/30/2024,0.33,0.33,,0.35,,0.35,,0.35,
,11/16/2023,10/30/2023,0.34,0.33,,0.33,,0.32,,0.63,
,9/14/2023,7/30/2023,0.72,0.68,,0.65,,0.65,,0.64,
,5/17/2023,4/30/2023,0.72,0.72,,0.64,,0.64,,0.61,
,2/20/2023,1/30/2023,0.61,0.61,,0.57,,0.58,,0.59,
,11/16/2022,10/30/2022,1.02,1.02,,1.13,,1.14,,1.13,
,9/7/2022,7/30/2022,1.1,1.13,,1.1,,1.1,,1.06,
,5/18/2022,4/30/2022,1.16,1.17,,1.14,,1.15,,1.11,
,2/16/2022,1/29/2022,1.19,1.1,,1.07,,1.07,,1.06,
,11/17/2021,10/30/2021,1.08,1.07,,1,,0.94,,0.93,
,9/8/2021,7/30/2021,1.06,1.03,,0.91,,0.89,,0.9,
,5/19/2021,4/30/2021,1.19,1.09,,0.79,,0.78,,0.78,
,2/18/2021,1/29/2021,0.81,0.8,,0.79,,0.79,,0.74,
,11/18/2020,10/30/2020,0.83,0.79,,0.7,,0.58,,0.57,
,9/2/2020,7/31/2020,0.69,0.69,,0.39,,0.39,,0.41,
,5/20/2020,4/30/2020,0.62,0.58,,0.66,,0.74,,0.78,
,2/19/2020,1/31/2020,0.71,0.65,,0.66,,0.66,,0.64,
,11/20/2019,10/31/2019,0.914179886,0.65,,0.59,,0.58,,0.55,0.54
,9/4/2019,7/31/2019,0.643983319,0.6,,0.58,,0.57,,0.56,0.54
,5/22/2019,4/30/2019,0.81020379,0.66,,0.62,,0.6,,0.51,0.6
,2/20/2019,1/31/2019,0.545886313,0.52,,0.51,,0.52,,0.47,0.51
,11/20/2018,10/31/2018,0.465975836,0.47,,0.47,,0.48,,0.44,0.4
,9/19/2018,7/31/2018,0.449039713,,,0.48,,0.43,,0.42,0.35
,5/23/2018,4/30/2018,0.524152124,,,0.5,,0.47,,0.45,0.41
,2/26/2018,1/31/2018,0.427809082,,,0.4,,0.38,,0.32,0.3
,11/21/2017,10/31/2017,0.324614412,,,0.27,,0.31,,0.3,0.31
,9/19/2017,7/31/2017,0.295980373,,,0.29,,0.3,,0.31,0.315
,5/24/2017,4/28/2017,0.381833133,,,0.36,,0.36,,0.355,0.3
,2/21/2017,1/31/2017,0.280430243,,,0.285,,0.29,,0.28,0.26
,11/21/2016,10/31/2016,0.70357254,,,0.275,,0.245,,0.24,
,,7/29/2016,0.354888246,,,0.275,,0.245,,0.235,0.215
,,4/29/2016,0.317970925,,,0.27,,0.26,,,
,,1/29/2016,0.239866404,,,0.215,,,,,
,,10/30/2015,0.208697003,,,0.215,,0.22,,0.215,
,,7/31/2015,0.220467724,,,0.195,,0.19,,0.215,0.22
,,4/30/2015,0.217837032,,,0.245,,0.25,,0.255,0.265
,,1/30/2015,0.197892653,,,0.2,,0.205,,0.215,0.185
,,10/31/2014,0.200031175,,,0.185,,0.2,,0.21,0.205
,,7/31/2014,0.193889644,,,0.205,,0.21,,0.235,
,,4/30/2014,0.155442405,,,0.24,,0.235,,0.19,
,,1/31/2014,0.172939184,,,0.185,,0.19,,0.165,
,,10/31/2013,0.158454853,,,0.165,,0.17,,0.205,0.2
,,7/31/2013,0.158115961,,,0.2,,0.19,,0.2,0.25
,,4/30/2013,0.20392247,,,0.245,,0.26,,0.24,0.185
,,1/31/2013,0.15302656,,,0.18,,0.195,,0.36,
,,10/31/2012,0.178422704,,,0.36,,0.35,,,
,,7/30/2012,0.172872402,,,0.165,,,,,
,,4/30/2012,0.212612399,,,,,,,,
,,1/30/2012,0.308556881,,,,,,,,
,,10/28/2011,0.307536509,,,,,,,,
,,7/29/2011,0.264235224,,,,,,,,
,,4/29/2011,0.352899357,,,,,,,,
,,1/31/2011,0.231200049,,,,,,,,
,,10/29/2010,0.224053977,,,,,,,,
,,7/30/2010,0.213067614,,,,,,,,
,,4/30/2010,0.260657913,,,,,,,,
,,1/29/2010,0.210386567,,,,,,,,
,,10/30/2009,0.207597589,,,,,,,,
,,7/31/2009,0.203856117,,,,,,,,
,,4/30/2009,0.248101012,,,,,,,,
,,1/30/2009,0.161229604,,,,,,,,
,,10/31/2008,0.218319269,,,,,,,,
,,7/31/2008,0.240321441,,,,,,,,
,,4/30/2008,0.259037756,,,,,,,,
,,1/31/2008,0.175325457,,,,,,,,
,,10/31/2007,0.207363871,,,,,,,,
,,7/31/2007,0.2,,,,,,,,
,,4/30/2007,0.205,,,,,,,,
,,1/31/2007,0.16,,,,,,,,
,,10/31/2006,0.16,,,,,,,,
,,7/31/2006,0.17,,,,,,,,
,,4/28/2006,0.185,,,,,,,,
,,1/31/2006,0.04,,,,,,,,
,,10/31/2005,0.125,,,,,,,,
,,7/29/2005,0.135,,,,,,,,
,,4/29/2005,0.165,,,,,,,,
,,1/31/2005,0.125,,,,,,,,
,,10/29/2004,0.12,,,,,,,,
,,7/30/2004,0.115,,,,,,,,
,,4/30/2004,0.135,,,,,,,,
,,1/30/2004,0.095,,,,,,,,
,,10/31/2003,0.085,,,,,,,,
,,7/31/2003,0.075,,,,,,,,
,,4/30/2003,0.085,,,,,,,,
,,1/31/2003,0.075,,,,,,,,
,,10/31/2002,0.08,,,,,,,,
,,7/31/2002,0.085,,,,,,,,
,,4/30/2002,0.09,,,,,,,,
,,1/31/2002,0.07,,,,,,,,
,,10/31/2001,0.075,,,,,,,,
,,7/31/2001,0.075,,,,,,,,
,,4/30/2001,0.065,,,,,,,,
,,1/31/2001,0.055,,,,,,,,
,,10/31/2000,0.055,,,,,,,,
,,7/31/2000,0.05,,,,,,,,
,,4/28/2000,0.05,,,,,,,,
,,1/31/2000,0.04,,,,,,,,
,,10/29/1999,0.036666667,,,,,,,,
,,7/30/1999,0.04,,,,,,,,
,,4/30/1999,0.036666667,,,,,,,,
,,1/29/1999,0.03,,,,,,,,
,,10/30/1998,0.026666667,,,,,,,,
,,7/31/1998,0.026666667,,,,,,,,
,,4/30/1998,0.026666667,,,,,,,,
,,1/30/1998,0.021666667,,,,,,,,
,,10/31/1997,0.02,,,,,,,,
,,7/31/1997,0.020833333,,,,,,,,
,,4/30/1997,0.020833333,,,,,,,,
,,1/31/1997,0.019166667,,,,,,,,
,,10/31/1996,0.015,,,,,,,,
,,7/31/1996,0.0175,,,,,,,,
,,4/30/1996,0.0175,,,,,,,,
,,1/31/1996,0.019166667,,,,,,,,
,,10/31/1995,0.016666667,,,,,,,,
,,7/31/1995,0.014166667,,,,,,,,
,,4/28/1995,0.015833333,,,,,,,,
,,1/31/1995,0.013333333,,,,,,,,
