CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
Adjusted Diluted,,12/31/2021,2.02,10/29/2020,1.95,10/24/2020,1.95,10/22/2020,1.66,,,,,,,,
,,9/30/2021,2.02,,1.93,,1.93,,1.6,,,,,,,,
,,6/30/2021,1.95,,1.89,,1.89,,1.63,,,,,,,,
,,3/31/2021,1.83,,1.77,,1.77,,1.56,,,,,,,,
,,12/31/2020,1.76,,1.66,,1.66,,1.56,,1.52,,1.49,,1.43,,1.37
,10/29/2020,9/30/2020,1.28,,1.44,,1.44,,1.49,,1.41,,1.36,,1.31,,
,7/30/2020,6/30/2020,1.624911728,,1.3,,1.29,,1.61,,1.46,,1.34,,1.31,,
,5/5/2020,3/31/2020,1.88817754,,1.47,,1.48,,1.31,,1.21,,1.14,,,,
,2/10/2020,12/31/2019,1.876563442,,1.66,,1.4,,1.21,,1.33,,1.37,,,,
,11/5/2019,9/30/2019,0.947150271,,1.24,,1.23,,1.05,,1.19,,1.34,,,,
,8/1/2019,6/28/2019,1.640292441,,1.11,,1.02,,1.17,,1.23,,,,,,
,5/7/2019,3/29/2019,0.895121789,,0.93,,1.05,,1.11,,,,,,,,
,2/13/2019,12/31/2018,-0.899650869,,0.9,,0.99,,1.16,,,,,,,,
,11/7/2018,9/28/2018,-0.818438779,,0.87,,1.08,,,,,,,,,,
,8/1/2018,6/29/2018,1.534571916,,0.97,,1,,,,,,,,,,
,5/3/2018,3/29/2018,0.98268455,,0.93,,,,,,,,,,,,
,2/13/2018,12/29/2017,1.641528256,,0.94,,0.91,,0.99,,,,,,,,
,11/7/2017,9/29/2017,-1.135491035,,0.94,,0.92,,0.93,,0.97,,,,,,
,8/1/2017,6/30/2017,0.654684883,,0.9,,0.91,,0.92,,0.96,,,,,,
,5/2/2017,3/31/2017,2.292578223,,0.82,,0.87,,,,,,,,,,
,,12/30/2016,0.801684686,,0.91,,,,,,,,,,,,
,,9/30/2016,2.760572078,,0.93,,,,,,,,,,,,
,,6/30/2016,0.25658604,,0.98,,,,,,,,,,,,
,,3/31/2016,0.468594682,,0.86,,,,,,,,,,,,
,,12/31/2015,-0.028740764,,0.97,,,,,,,,,,,,
,,9/30/2015,0.996218305,,0.97,,,,,,,,,,,,
,,6/30/2015,0.783419781,,0.95,,,,,,,,,,,,
,,3/31/2015,-0.518386166,,0.86,,,,,,,,,,,,
,,12/31/2014,0.955884787,,0.89,,,,,,,,,,,,
,,9/30/2014,0.847564778,,0.9,,,,,,,,,,,,
,,6/30/2014,0.681443137,,0.89,,,,,,,,,,,,
,,3/31/2014,0.848093255,,0.86,,,,,,,,,,,,
,,12/31/2013,0.99,,0.98,,,,,,,,,,,,
,,9/30/2013,0.64,,0.96,,,,,,,,,,,,
,,6/28/2013,1.18,,0.92,,,,,,,,,,,,
,,3/28/2013,0.14,,0.9,,,,,,,,,,,,
,,12/31/2012,0.75,,nan,,,,,,,,,,,,
,,9/28/2012,0.75,,nan,,,,,,,,,,,,
,,6/29/2012,0.5,,nan,,,,,,,,,,,,
,,3/30/2012,0.73,,nan,,,,,,,,,,,,
,,12/30/2011,0.78,,nan,,,,,,,,,,,,
,,9/30/2011,0.71,,nan,,,,,,,,,,,,
,,6/30/2011,0.515,,nan,,,,,,,,,,,,
,,3/31/2011,0.48,,nan,,,,,,,,,,,,
,,12/31/2010,0.35,,nan,,,,,,,,,,,,
,,9/30/2010,0.575,,nan,,,,,,,,,,,,
,,6/30/2010,0.52,,nan,,,,,,,,,,,,
,,3/31/2010,0.52,,nan,,,,,,,,,,,,
,,12/31/2009,0.53,,nan,,,,,,,,,,,,
,,9/30/2009,0.53,,nan,,,,,,,,,,,,
,,6/30/2009,0.51,,nan,,,,,,,,,,,,
,,3/31/2009,0.46,,nan,,,,,,,,,,,,
,,12/31/2008,0.47,,nan,,,,,,,,,,,,
,,9/30/2008,0.445,,nan,,,,,,,,,,,,
,,6/30/2008,0.45,,nan,,,,,,,,,,,,
,,3/31/2008,0.4,,nan,,,,,,,,,,,,
,,12/31/2007,0.395,,nan,,,,,,,,,,,,
,,9/28/2007,0.44,,nan,,,,,,,,,,,,
,,6/29/2007,0.585,,nan,,,,,,,,,,,,
,,3/30/2007,0.36,,nan,,,,,,,,,,,,
,,12/29/2006,0.35,,nan,,,,,,,,,,,,
,,9/29/2006,0.45,,nan,,,,,,,,,,,,
,,6/30/2006,0.3,,nan,,,,,,,,,,,,
,,3/31/2006,0.275,,nan,,,,,,,,,,,,
,,12/30/2005,0.305,,nan,,,,,,,,,,,,
,,9/30/2005,0.265,,nan,,,,,,,,,,,,
,,6/30/2005,0.255,,nan,,,,,,,,,,,,
,,3/31/2005,0.275,,nan,,,,,,,,,,,,
,,12/31/2004,0.28,,nan,,,,,,,,,,,,
,,9/30/2004,0.295,,nan,,,,,,,,,,,,
,,6/30/2004,0.25,,nan,,,,,,,,,,,,
,,3/31/2004,0.255,,nan,,,,,,,,,,,,
,,12/31/2003,0.305,,nan,,,,,,,,,,,,
,,9/30/2003,0.18,,nan,,,,,,,,,,,,
,,6/30/2003,0.183333333,,nan,,,,,,,,,,,,
,,3/31/2003,0.173333333,,nan,,,,,,,,,,,,
,,12/31/2002,0.27,,nan,,,,,,,,,,,,
,,9/30/2002,0.24,,nan,,,,,,,,,,,,
,,6/28/2002,0.043333333,,nan,,,,,,,,,,,,
,,3/28/2002,0.133333333,,nan,,,,,,,,,,,,
,,12/31/2001,0.12,,nan,,,,,,,,,,,,
,,9/28/2001,0.156666667,,nan,,,,,,,,,,,,
,,6/29/2001,0.11,,nan,,,,,,,,,,,,
,,3/30/2001,0.116666667,,nan,,,,,,,,,,,,
,,12/29/2000,0.06,,nan,,,,,,,,,,,,
,,9/29/2000,0.04,,nan,,,,,,,,,,,,
,,6/30/2000,-0.063333333,,nan,,,,,,,,,,,,
,,3/31/2000,0.016666667,,nan,,,,,,,,,,,,
,,12/31/1999,-0.62,,nan,,,,,,,,,,,,
,,9/30/1999,0.01,,nan,,,,,,,,,,,,
,,6/30/1999,-0.09,,nan,,,,,,,,,,,,
,,3/31/1999,0.093333333,,nan,,,,,,,,,,,,
,,12/31/1998,0.053333333,,nan,,,,,,,,,,,,
,,9/30/1998,0.11,,nan,,,,,,,,,,,,
,,6/30/1998,0.026666667,,nan,,,,,,,,,,,,
,,3/31/1998,-0.243333333,,nan,,,,,,,,,,,,
,,12/31/1997,0.063333333,,nan,,,,,,,,,,,,
,,9/30/1997,0.06,,nan,,,,,,,,,,,,
,,6/30/1997,0.056666667,,nan,,,,,,,,,,,,
,,3/31/1997,0.05,,nan,,,,,,,,,,,,
,,12/31/1996,0.045,,nan,,,,,,,,,,,,
,,9/30/1996,0.003333333,,nan,,,,,,,,,,,,
,,6/28/1996,0.036666667,,nan,,,,,,,,,,,,
,,3/29/1996,0.026666667,,nan,,,,,,,,,,,,
