CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,4.77,4/10/2025,4.7,2/27/2025,4.66,1/30/2025,4.24,12/12/2024,4.24,10/31/2024,4.22,9/17/2024,4.21,8/3/2024,4.15,6/23/2024,4.15,5/4/2024,3.85,3/30/2024,3.86,2/3/2024,3.51,12/29/2023,3.49,11/3/2023,3.47,9/25/2023,3.46,8/5/2023,3.43,6/21/2023,3.43,5/13/2023,3.21,5/12/2023
,,9/30/2026,,3.5,,3.54,,3.5,,3.21,,3.21,,3.16,,3.17,,3.15,,3.15,,2.79,,2.79,,2.73,,2.73,,2.71,,2.71,,2.67,,2.67,,2.62,
,,6/30/2026,,3.42,,3.48,,3.46,,3.2,,3.2,,3.22,,3.22,,3.17,,3.17,,2.85,,2.85,,2.82,,2.83,,2.82,,2.78,,2.65,,2.65,,2.59,
,,3/30/2026,,3.08,,3.13,,3.12,,2.85,,2.85,,2.85,,2.85,,2.82,,2.84,,2.36,,2.36,,2.5,,2.51,,2.52,,2.51,,2.47,,2.47,,2.33,
,,12/31/2025,,4.38,12/12/2024,4.39,12/12/2024,4.34,12/12/2024,4.24,12/12/2024,4.24,10/31/2024,4.22,9/17/2024,4.21,8/3/2024,4.15,6/23/2024,4.15,5/4/2024,3.85,3/30/2024,3.86,2/3/2024,3.51,12/29/2023,3.49,11/3/2023,3.47,9/25/2023,3.46,8/5/2023,3.43,6/21/2023,3.43,5/13/2023,3.21,5/12/2023
,,9/30/2025,,3.15,,3.23,,3.22,,3.21,,3.21,,3.16,,3.17,,3.15,,3.15,,2.79,,2.79,,2.73,,2.73,,2.71,,2.71,,2.67,,2.67,,2.62,
,,6/30/2025,,3.12,,3.18,,3.17,,3.2,,3.2,,3.22,,3.22,,3.17,,3.17,,2.85,,2.85,,2.82,,2.83,,2.82,,2.78,,2.65,,2.65,,2.59,
,,3/30/2025,,2.7,,2.75,,2.78,,2.85,,2.85,,2.85,,2.85,,2.82,,2.84,,2.36,,2.36,,2.5,,2.51,,2.52,,2.51,,2.47,,2.47,,2.33,
,1/28/2025,12/31/2024,1.41,4.01,3/30/2024,3.88,3/30/2024,3.92,3/30/2024,3.92,3/30/2024,3.88,3/30/2024,3.88,3/30/2024,3.85,3/30/2024,3.86,2/3/2024,3.51,12/29/2023,3.49,11/3/2023,3.47,9/25/2023,3.46,8/5/2023,3.43,6/21/2023,3.43,5/13/2023,3.21,5/12/2023,,,,,,
,10/29/2024,9/30/2024,2.16,2.87,,2.77,,2.77,,2.79,,2.79,,2.79,,2.79,,2.73,,2.73,,2.71,,2.71,,2.67,,2.67,,2.62,,,,,,,,,
,7/30/2024,6/30/2024,2.14,2.81,,2.79,,2.78,,2.85,,2.85,,2.82,,2.83,,2.82,,2.78,,2.65,,2.65,,2.59,,,,,,,,,,,,,
,4/30/2024,3/30/2024,2.05,2.5,,2.36,,2.36,,2.5,,2.51,,2.52,,2.51,,2.47,,2.47,,2.33,,,,,,,,,,,,,,,,,
,1/30/2024,12/29/2023,2.98,3.46,,3.27,,3.26,,3.25,,3.25,,3.24,,3.24,,3.21,,,,,,,,,,,,,,,,,,,,,
,11/2/2023,9/29/2023,1.8,2.46,,2.44,,2.44,,2.4,,2.4,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,1.93,2.54,,2.38,,2.38,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2023,3/31/2023,1.54,2.14,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31/2023,12/30/2022,1.47,3,,3.04,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/31/2022,9/30/2022,2.14,2.12,,2.35,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2022,6/30/2022,1.72,2.25,,2.29,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2022,3/31/2022,0.844003136,1.97,,1.95,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27/2022,12/31/2021,1.729814476,2.71,,2.72,,2.84,,2.74,,2.76,,2.7,,2.73,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,1.144499608,2.2,,2.28,,2.32,,2.25,,2.26,,2.13,,2.1,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2021,6/30/2021,1.548522103,2.25,,2.13,,2.1,,2.12,,2.16,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2021,3/31/2021,0.791197275,1.93,,1.99,,2.04,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27/2021,12/31/2020,1.489640703,2.81,,2.55,,2.56,,2.47,,2.48,,2.65,,2.66,,2.68,,2.67,,,,,,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,1.633350868,2.14,,1.41,,1.36,,1.35,,1.9,,2.13,,2.11,,2.1,,,,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,-0.221038615,0.64,,0.55,,0.57,,1.6,,2.19,,2.18,,2.15,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,1.298393469,1.84,,1.69,,1.93,,2.05,,2.04,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,1.907392791,,,2.46,,2.44,,2.43,,2.42,,2.36,,2.34,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,1.225348409,,,1.9,,1.89,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,1.264822134,,,1.94,,1.96,,1.94,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,1.086211442,,,1.84,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,5.439242504,,,2.15,,2.13,,2.15,,2.12,,2.1,,2.09,,2.12,,2.1,,,,,,,,,,,,,,,,,,,
,,9/28/2018,1.551814834,,,1.68,,1.69,,1.7,,1.68,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,1.189160747,,,1.73,,1.43,,1.68,,1.67,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,1.163645915,,,1.6,,1.59,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,-0.653714886,,,1.95,,1.94,,1.92,,1.93,,1.92,,1.9,,1.89,,1.91,,1.88,,,,,,,,,,,,,,,,,
,,9/29/2017,1.141504471,,,1.5,,1.52,,1.53,,1.54,,1.55,,1.52,,1.55,,1.54,,1.51,,,,,,,,,,,,,,,,,
,,6/30/2017,1.003963012,,,1.51,,1.52,,1.53,,1.54,,1.51,,1.48,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,1.170577379,,,1.43,,1.44,,1.45,,1.44,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,1.34529148,,,1.76,,1.75,,1.74,,1.75,,1.7,,1.68,,1.37,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.936675462,,,1.37,,1.42,,1.4,,1.38,,1.35,,1.34,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,1.003963012,,,1.37,,1.36,,1.34,,1.31,,1.32,,1.31,,1.2,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,1.06518283,,,1.2,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,1.3794926,,,1.55,,1.57,,1.58,,1.54,,1.57,,1.6,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.790648805,,,1.23,,1.22,,1.2,,1.24,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,1.028601417,,,1.17,,1.23,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.584093872,,,1.08,,1.09,,1.18,,1.21,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.678851175,,,1.45,,1.46,,1.49,,1.48,,1.44,,1.32,,1.14,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.149019608,,,1.14,,1.16,,1.09,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.334465639,,,1.08,,1.12,,1.14,,1.12,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.182958704,,,1.08,,1.09,,1.1,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.009678263,,,1.22,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.269845428,,,1,,1.01,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.559055118,,,1.03,,1.04,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
