CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,
N/FLT,,12/31/2026,,6.67,11/9/2025,6.64,9/18/2025,6.64,8/16/2025,6.7,7/23/2025,6.72,6/23/2025
,,9/30/2026,,6.55,,6.47,,6.47,,6.49,,6.53,
,,6/30/2026,,6.07,,5.93,,5.93,,5.95,,5.96,
,,3/30/2026,,5.47,,5.31,,5.31,,5.31,,5.32,
,,12/31/2025,,5.9,12/21/2024,5.78,12/21/2024,5.78,12/21/2024,5.77,12/21/2024,5.76,12/21/2024
,11/5/2025,9/30/2025,3.91,5.7,,5.63,,5.63,,5.64,,5.6,
,8/6/2025,6/30/2025,3.98,5.13,,5.12,,5.11,,5.1,,,
,5/6/2025,3/30/2025,3.4,4.51,,4.52,,4.51,,4.54,,,
,2/5/2025,12/31/2024,3.44,5.36,3/31/2024,5.37,3/31/2024,5.37,3/31/2024,5.37,3/31/2024,,
,11/11/2024,9/30/2024,3.9,5,,4.96,,5,,5.16,,,
,8/7/2024,6/30/2024,3.52,4.55,,4.51,,4.63,,4.76,,,
,5/8/2024,3/30/2024,3.12,4.1,,4.11,,4.2,,4.41,,,
,2/7/2024,12/31/2023,3.48,4.44,3/19/2023,4.48,3/19/2023,4.49,3/19/2023,4.54,3/19/2023,,
,11/8/2023,9/30/2023,3.64,4.49,,4.5,,4.56,,4.56,,,
,8/8/2023,6/30/2023,3.2,4.19,,4.17,,4.18,,4.22,,,
,5/3/2023,3/30/2023,2.88,3.8,,3.67,,3.71,,3.85,,,
,2/8/2023,12/30/2022,3.03,4.04,,3.93,,3.92,,3.94,,,
,11/2/2022,9/30/2022,3.29,4.24,,4.18,,4.18,,4.07,,,
,8/3/2022,6/30/2022,3.35,4.17,,3.86,,3.86,,3.84,,,
,5/5/2022,3/31/2022,2.75,3.65,,3.53,,3.51,,3.51,,,
,2/8/2022,12/31/2021,2.74,3.72,,3.59,,3.5,,3.39,,,
,11/3/2021,9/30/2021,2.795164604,3.52,,3.48,,3.32,,3.31,,,
,8/4/2021,6/30/2021,2.300252066,3.15,,2.94,,3.04,,3.02,,,
,5/5/2021,3/31/2021,2.147754303,2.82,,2.73,,2.97,,3.05,,,
,2/4/2021,12/31/2020,2.444505277,3.01,,2.82,,2.83,,2.91,,,
,11/5/2020,9/30/2020,2.188598982,2.8,,2.65,,2.67,,2.74,,,
,8/6/2020,6/30/2020,1.830749682,2.28,,2.17,,2.21,,2.54,,,
,5/7/2020,3/31/2020,1.667252423,3,,2.83,,2.98,,3.09,,,
,2/6/2020,12/31/2019,2.604421246,3.17,,3.14,,3.13,,3.17,,,
,11/6/2019,9/30/2019,2.494476481,3.1,,3.05,,3.04,,3.05,,,
,8/6/2019,6/28/2019,2.903007844,2.85,,2.8,,2.79,,2.82,,,
,5/7/2019,3/29/2019,1.928499395,2.67,,2.64,,2.71,,2.72,,,
,2/6/2019,12/31/2018,3.329548086,2.78,,2.72,,2.73,,2.66,,,
,10/30/2018,9/28/2018,1.712557422,2.68,,2.66,,2.67,,2.68,,,
,8/2/2018,6/29/2018,1.876,2.57,,2.53,,2.54,,2.52,,,
,5/3/2018,3/29/2018,1.876,2.5,,2.37,,2.34,,2.24,,,
,,12/29/2017,3.052114486,,,2.33,,2.32,,2.28,,,
,,9/29/2017,2.180869023,,,2.15,,2.2,,2.21,,,
,,6/30/2017,1.390180741,,,1.97,,1.96,,1.94,,,
,,3/31/2017,1.308090102,,,1.87,,1.89,,1.88,,,
,,12/30/2016,1.001984564,,,1.87,,1.86,,1.77,,,
,,9/30/2016,1.360005036,,,1.86,,1.78,,1.8,,,
,,6/30/2016,1.207680674,,,1.54,,1.53,,1.54,,,
,,3/31/2016,1.165834473,,,1.5,,1.49,,1.61,,,
,,12/31/2015,0.559936407,,,1.61,,1.62,,1.69,,,
,,9/30/2015,1.240162707,,,1.61,,1.62,,1.6,,,
,,6/30/2015,1.049207868,,,1.46,,1.44,,1.45,,,
,,3/31/2015,1.002331424,,,1.4,,1.41,,1.43,,,
,,12/31/2014,1.213874113,,,1.36,,1.35,,1.36,,,
,,9/30/2014,1.108842037,,,1.34,,1.31,,1.29,,,
,,6/30/2014,1.031835184,,,1.25,,1.23,,1.26,,,
,,3/31/2014,0.876468872,,,1.07,,1.13,,1.14,,,
,,12/31/2013,0.798808588,,,1.06,,1.04,,1.03,,,
,,9/30/2013,0.925976091,,,0.98,,0.99,,0.97,,,
,,6/28/2013,0.865476374,,,0.95,,0.93,,0.91,,,
,,3/28/2013,0.770152454,,,0.83,,0.84,,0.82,,,
,,12/31/2012,0.700536443,,,0.7,,,,,,,
,,9/28/2012,0.691779551,,,0.69,,,,,,,
,,6/29/2012,0.634510188,,,0.62,,,,,,,
,,3/30/2012,0.494093749,,,0.55,,,,,,,
,,12/30/2011,0.449467484,,,nan,,,,,,,
,,9/30/2011,0.484309436,,,nan,,,,,,,
,,6/30/2011,0.439447982,,,nan,,,,,,,
,,3/31/2011,0.387812133,,,nan,,,,,,,
