CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,1.02,6/9/2025,1.02,5/1/2025,1,4/16/2025,1.02,3/11/2025,1.02,2/1/2025,1.03,1/2/2025,1.04,11/29/2024,1.04,10/25/2024,1.13,10/6/2024,1.13,8/28/2024,1.13,7/26/2024,1.12,6/13/2024,1.12,4/27/2024,1.04,3/16/2024,1.04,2/3/2024,1.02,1/8/2024,1.02,11/29/2023,1.02,10/28/2023,0.98,10/7/2023,0.98,9/2/2023,0.99,7/28/2023,0.98,7/14/2023,0.98,6/9/2023,0.94,4/29/2023,,3/11/2023,0.91,2/3/2023,0.86,1/7/2023,0.85,12/2/2022,0.85,10/30/2022,1.01,10/7/2022,1.01,9/4/2022,1,8/1/2022,1.04,7/6/2022,1.04,6/4/2022,1.01,5/2/2022,1.01,4/14/2022,,3/12/2022,0.97,2/6/2022,0.92,2/5/2022,0.88,,0.85
,,9/30/2026,,1.04,,1.03,,1.01,,1.02,,1.02,,0.95,,0.95,,0.95,,1.05,,1.05,,1.05,,1.06,,1.06,,0.99,,0.99,,0.94,,0.94,,0.94,,0.84,,0.84,,0.86,,0.87,,0.87,,0.85,,,,0.81,,0.76,,0.76,,0.76,,0.93,,0.93,,0.92,,0.97,,0.97,,0.98,,0.98,,,,0.93,,0.92,,0.83,,0.81
,,6/30/2026,,1.11,,1.11,,1.12,,1.11,,1.11,,1.08,,1.08,,1.08,,1.12,,1.12,,1.12,,1.12,,1.12,,1.05,,1.05,,1.03,,1.03,,1.02,,1.03,,1.03,,1.02,,0.95,,0.94,,0.92,,,,0.83,,0.82,,0.82,,0.82,,0.87,,0.87,,0.87,,0.87,,0.87,,0.93,,0.93,,,,0.89,,0.91,,0.89,,0.84
,,3/30/2026,,1.03,,1.02,,1.05,,1.01,,1.01,,0.99,,0.99,,1,,1.06,,1.06,,1.06,,1.06,,1.06,,0.98,,0.98,,0.98,,0.98,,0.96,,0.97,,0.97,,0.98,,0.97,,0.97,,0.92,,,,0.77,,0.77,,0.78,,0.79,,0.84,,0.84,,0.84,,0.82,,0.82,,0.78,,0.78,,,,0.74,,0.8,,0.77,,0.75
,,12/31/2025,,0.93,1/2/2025,0.94,1/2/2025,0.92,1/2/2025,0.94,1/2/2025,0.95,1/2/2025,1.03,1/2/2025,1.04,11/29/2024,1.04,10/25/2024,1.13,10/6/2024,1.13,8/28/2024,1.13,7/26/2024,1.12,6/13/2024,1.12,4/27/2024,1.04,3/16/2024,1.04,2/3/2024,1.02,1/8/2024,1.02,11/29/2023,1.02,10/28/2023,0.98,10/7/2023,0.98,9/2/2023,0.99,7/28/2023,0.98,7/14/2023,0.98,6/9/2023,0.94,4/29/2023,,3/11/2023,0.91,2/3/2023,0.86,1/7/2023,0.85,12/2/2022,0.85,10/30/2022,1.01,10/7/2022,1.01,9/4/2022,1,8/1/2022,1.04,7/6/2022,1.04,6/4/2022,1.01,5/2/2022,1.01,4/14/2022,,3/12/2022,0.97,2/6/2022,0.92,2/5/2022,0.88,,0.85
,,9/30/2025,,0.92,,0.92,,0.91,,0.92,,0.92,,0.95,,0.95,,0.95,,1.05,,1.05,,1.05,,1.06,,1.06,,0.99,,0.99,,0.94,,0.94,,0.94,,0.84,,0.84,,0.86,,0.87,,0.87,,0.85,,,,0.81,,0.76,,0.76,,0.76,,0.93,,0.93,,0.92,,0.97,,0.97,,0.98,,0.98,,,,0.93,,0.92,,0.83,,0.81
,,6/30/2025,,0.98,,0.98,,0.99,,0.99,,1,,1.08,,1.08,,1.08,,1.12,,1.12,,1.12,,1.12,,1.12,,1.05,,1.05,,1.03,,1.03,,1.02,,1.03,,1.03,,1.02,,0.95,,0.94,,0.92,,,,0.83,,0.82,,0.82,,0.82,,0.87,,0.87,,0.87,,0.87,,0.87,,0.93,,0.93,,,,0.89,,0.91,,0.89,,0.84
,4/29/2025,3/30/2025,0.95,0.95,,0.91,,0.91,,0.92,,0.99,,0.99,,1,,1.06,,1.06,,1.06,,1.06,,1.06,,0.98,,0.98,,0.98,,0.98,,0.96,,0.97,,0.97,,0.98,,0.97,,0.97,,0.92,,,,0.77,,0.77,,0.78,,0.79,,0.84,,0.84,,0.84,,0.82,,0.82,,0.78,,0.78,,,,0.74,,0.8,,0.77,,0.75,,
,1/30/2025,12/31/2024,0.75,0.85,3/16/2024,0.9,3/16/2024,0.9,3/16/2024,1.06,3/16/2024,1.06,3/16/2024,1.06,3/16/2024,1.04,3/16/2024,1.04,3/16/2024,1.04,3/16/2024,1.04,2/3/2024,1.02,1/8/2024,1.02,11/29/2023,1.02,10/28/2023,0.98,10/7/2023,0.98,9/2/2023,0.99,7/28/2023,0.98,7/14/2023,0.98,6/9/2023,0.94,4/29/2023,,3/11/2023,0.91,2/3/2023,0.86,1/7/2023,0.85,12/2/2022,0.85,10/30/2022,1.01,10/7/2022,1.01,9/4/2022,1,8/1/2022,1.04,7/6/2022,1.04,6/4/2022,1.01,5/2/2022,1.01,4/14/2022,,3/12/2022,0.97,2/6/2022,0.92,2/5/2022,0.88,,0.85,,,,,,,,,,
,10/22/2024,9/30/2024,0.82,0.82,,0.95,,0.95,,0.95,,0.99,,0.98,,0.99,,0.99,,0.94,,0.94,,0.94,,0.84,,0.84,,0.86,,0.87,,0.87,,0.85,,,,0.81,,0.76,,0.76,,0.76,,0.93,,0.93,,0.92,,0.97,,0.97,,0.98,,0.98,,,,0.93,,0.92,,0.83,,0.81,,,,,,,,,,,,,,
