CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Y,,12/31/2027,,1.71,3/31/2026,1.71,3/30/2026,,,,,,,,,,,,,,,,,
,,9/30/2027,,1.48,,1.48,,,,,,,,,,,,,,,,,,
,,6/30/2027,,1.35,,1.35,,,,,,,,,,,,,,,,,,
,,3/30/2027,,1.24,,1.24,,,,,,,,,,,,,,,,,,
,,12/31/2026,,1.31,,1.31,,,,,,,,,,,,,,,,,,
,,9/30/2026,,1.08,,1.08,,,,,,,,,,,,,,,,,,
,,6/30/2026,,0.73,,0.73,,,,,,,,,,,,,,,,,,
,,3/30/2026,,0.45,,0.45,,,,,,,,,,,,,,,,,,
,2/12/2026,12/31/2025,-2.49,-2.49,,4.34,,,,,,,,,,,,,,,,,,
,10/30/2025,9/30/2025,1.5,1.5,,2.44,,,,,,,,,,,,,,,,,,
,7/31/2025,6/30/2025,5.14,5.14,,2.64,,,,,,,,,,,,,,,,,,
,5/8/2025,3/30/2025,0.24,0.24,,1.41,,,,,,,,,,,,,,,,,,
,2/13/2025,12/31/2024,4.68,4.68,,3.77,,,,,,,,,,,,,,,,,,
,10/30/2024,9/30/2024,0.28,0.28,,2.22,,,,,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,0.14,0.14,,2.19,,,,,,,,,,,,,,,,,,
,5/2/2024,3/30/2024,4.4,4.4,,1.59,,,,,,,,,,,,,,,,,,
,2/15/2024,12/31/2023,1.04,1.04,,3.76,,,,,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,-0.01,-0.01,,2.14,,,,,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,-0.42,-0.42,,2.01,,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,-0.34,-0.34,,1.27,,,,,,,,,,,,,,,,,,
,2/21/2023,12/31/2022,-2.46,-2.46,,3.58,,,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,-2.43,-2.43,,1.79,,,,,,,,,,,,,,,,,,
,8/9/2022,6/30/2022,-4.98,-4.95,,2.3,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,-1.98,-1.98,,1.38,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,3.32,3.32,,3.46,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,1.62,1.62,,2.5,,,,,,,,,,,,,,,,,,
,8/10/2021,6/30/2021,6.42,6.42,,2.28,,,,,,,,,,,,,,,,,,
,,3/31/2021,3.05,3.05,,1.63,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.66,0.66,,1.78,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.23,0.23,,2.58,,,,,,,,,,,,,,,,,,
