CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Non-GAAP,,12/31/2027,,-0.07,9/5/2026,-0.07,9/4/2026,,,,,,,,,,,,,,,,,
,,9/30/2027,,-0.41,,-0.41,,,,,,,,,,,,,,,,,,
,,6/30/2027,,-0.363,,-0.363,,,,,,,,,,,,,,,,,,
,,3/30/2027,,-0.445,,-0.445,,,,,,,,,,,,,,,,,,
,,12/31/2026,,-0.835,,-0.835,,,,,,,,,,,,,,,,,,
,,9/30/2026,,-0.896,,-0.896,,,,,,,,,,,,,,,,,,
,8/3/2026,6/30/2026,-0.79,-0.7,,-0.7,,,,,,,,,,,,,,,,,,
,5/4/2026,3/30/2026,-0.75,-0.61,,-0.61,,,,,,,,,,,,,,,,,,
,3/9/2026,12/31/2025,0.92,-0.37,,-0.37,,,,,,,,,,,,,,,,,,
,11/3/2025,9/30/2025,-0.28,-0.22,,-0.22,,,,,,,,,,,,,,,,,,
,8/4/2025,6/30/2025,-1.23,-0.6,,-0.6,,,,,,,,,,,,,,,,,,
,,3/30/2025,-2.3,-2.14,,-2.14,,,,,,,,,,,,,,,,,,
,,12/31/2024,-1.08,,,,,,,,,,,,,,,,,,,,,
,,9/30/2024,-1.61,,,,,,,,,,,,,,,,,,,,,
,,6/30/2024,-2.73,,,,,,,,,,,,,,,,,,,,,
