CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
N,,9/30/2021,0.6,2/5/2021,0.6,12/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2021,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2021,12/30/2020,0.58,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/7/2020,9/30/2020,0.68,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2020,0.58,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2020,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.39,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.46,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.52,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.32,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,-1.39,,-1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,4.74,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.35,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,-0.12,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,-1.22,,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,-0.23,,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,-0.26,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,-0.83,,-0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
