Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,
,12/31/2021,0.25,5/22/2020,0.25,5/21/2020,,,,,,,,,,
,9/30/2021,0.33,,0.33,,,,,,,,,,,
,6/30/2021,0.38,,0.38,,,,,,,,,,,
,3/31/2021,0.42,,0.42,,,,,,,,,,,
,12/31/2020,0.21,,0.21,,,,,,,,,,,
,9/30/2020,0.27,,0.27,,,,,,,,,,,
,6/30/2020,0.21,,0.21,,,,,,,,,,,
5/7/2020,3/31/2020,0.12,,0.12,,,,,,,,,,,
,12/31/2019,0.24,,0.24,,,,,,,,,,,
,9/30/2019,0.4,,0.4,,,,,,,,,,,
,6/28/2019,0.51,,0.51,,,,,,,,,,,
,3/29/2019,0.46,,0.46,,,,,,,,,,,
,12/31/2018,0.15,,0.15,,,,,,,,,,,
,9/28/2018,0.09,,0.09,,,,,,,,,,,
,6/29/2018,0.53,,0.53,,,,,,,,,,,
,3/29/2018,0.55,,0.55,,,,,,,,,,,
,12/29/2017,0.24,,0.24,,,,,,,,,,,
,9/29/2017,0.12,,0.12,,,,,,,,,,,
,6/30/2017,0.44,,0.44,,,,,,,,,,,
,3/31/2017,0.51,,0.51,,,,,,,,,,,
,12/30/2016,-0.02,,-0.02,,,,,,,,,,,
,9/30/2016,-0.38,,-0.38,,,,,,,,,,,
,6/30/2016,0.39,,0.39,,,,,,,,,,,
,3/31/2016,0.35,,0.35,,,,,,,,,,,
,12/31/2015,-1.09,,-0.109,,,,,,,,,,,
,9/30/2015,-0.84,,-0.84,,,,,,,,,,,
,6/30/2015,0.29,,0.29,,,,,,,,,,,
,3/31/2015,0.23,,0.23,,,,,,,,,,,
