Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
12/31/2020,3.22,3/19/2020,3.32,3/8/2020,3.32,,3.51,,3.56,,,,,,,,
9/30/2020,2.26,,2.38,,2.38,,2.41,,2.49,,,,,,,,
6/30/2020,2.28,,2.42,,2.42,,2.44,,2.39,,,,,,,,
3/31/2020,1.61,,1.78,,1.78,,1.83,,1.84,,,,,,,,
12/31/2019,3.12,,3.02,,3.23,,3.24,,3.13,,3.12,,,,,,
9/30/2019,2.07,,2.13,,2.22,,2.23,,,,,,,,,,
6/28/2019,2.078021124,,2.11,,2.19,,,,,,,,,,,,
3/29/2019,1.505019678,,1.72,,1.73,,1.74,,,,,,,,,,
12/31/2018,2.457389342,,2.64,,2.63,,2.62,,,,,,,,,,
9/28/2018,1.828121759,,1.9,,1.93,,1.95,,,,,,,,,,
6/29/2018,1.984714042,,1.92,,1.94,,1.91,,,,,,,,,,
3/29/2018,1.404390642,,1.55,,1.58,,1.6,,,,,,,,,,
12/29/2017,-4.444987037,,2.44,,2.42,,2.35,,2.29,,2.33,,2.27,,,,
9/29/2017,1.690291974,,1.74,,1.73,,1.69,,1.68,,1.67,,1.71,,1.64,,1.71
6/30/2017,1.632349299,,1.71,,1.66,,1.65,,1.67,,1.7,,1.59,,1.34,,
3/31/2017,1.306899924,,1.33,,1.37,,1.39,,,,,,,,,,
12/30/2016,2.154038096,,2.13,,2.14,,2.13,,2.11,,2.1,,2.09,,,,
9/30/2016,1.534083649,,1.57,,1.51,,1.54,,1.53,,,,,,,,
6/30/2016,1.57408385,,1.45,,1.44,,1.43,,1.47,,,,,,,,
4/1/2016,1.1473394,,1.23,,1.27,,1.28,,,,,,,,,,
12/31/2015,1.833580151,,1.95,,2,,2.03,,2.06,,,,,,,,
9/30/2015,1.417438685,,1.4,,1.43,,1.41,,,,,,,,,,
6/30/2015,1.279698174,,1.26,,1.35,,,,,,,,,,,,
3/31/2015,1.157012948,,1.02,,1.03,,1.09,,1.11,,1.92,,,,,,
12/31/2014,1.818041987,,1.89,,1.91,,1.88,,1.73,,1.74,,1.8,,1.28,,
9/30/2014,1.356597301,,1.29,,1.33,,1.37,,1.21,,,,,,,,
6/30/2014,1.142868983,,1.21,,1.22,,1.26,,1.29,,1.11,,,,,,
3/31/2014,0.827306212,,1.12,,1.16,,1.19,,1.61,,,,,,,,
12/31/2013,1.66555302,,1.61,,1.68,,1.22,,,,,,,,,,
9/30/2013,1.151000763,,1.23,,1.27,,1.21,,,,,,,,,,
6/28/2013,1.044828151,,1.21,,1.25,,1.09,,,,,,,,,,
3/28/2013,1.406861207,,1.09,,1.12,,1.58,,,,,,,,,,
12/28/2012,2.029061722,,1.58,,1.18,,,,,,,,,,,,
9/28/2012,1.13382755,,1.18,,,,,,,,,,,,,,
6/29/2012,1.106514035,,1.16,,,,,,,,,,,,,,
3/30/2012,0.996336749,,nan,,,,,,,,,,,,,,
12/30/2011,1.535388026,,nan,,,,,,,,,,,,,,
9/30/2011,1.116542431,,nan,,,,,,,,,,,,,,
7/5/2011,1.091782854,,nan,,,,,,,,,,,,,,
4/1/2011,1.03098779,,nan,,,,,,,,,,,,,,
12/31/2010,1.370395627,,nan,,,,,,,,,,,,,,
10/1/2010,1.0327649,,nan,,,,,,,,,,,,,,
7/2/2010,0.916965404,,nan,,,,,,,,,,,,,,
4/1/2010,0.806566342,,nan,,,,,,,,,,,,,,
12/31/2009,1.086912951,,nan,,,,,,,,,,,,,,
10/2/2009,0.797353914,,nan,,,,,,,,,,,,,,
7/2/2009,0.727084568,,nan,,,,,,,,,,,,,,
4/2/2009,0.753792239,,nan,,,,,,,,,,,,,,
12/31/2008,1.01,,nan,,,,,,,,,,,,,,
9/30/2008,0.71,,nan,,,,,,,,,,,,,,
6/30/2008,0.82,,nan,,,,,,,,,,,,,,
3/31/2008,0.67,,nan,,,,,,,,,,,,,,
12/31/2007,0.96,,nan,,,,,,,,,,,,,,
9/28/2007,0.52,,nan,,,,,,,,,,,,,,
