CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Non-GAAP,,12/31/2026,,0.87,8/17/2025,0.88,7/25/2025,0.87,6/25/2025,0.88,5/12/2025,0.88,5/10/2025,,,,,,,,,,,
Plots Adjusted,,9/30/2026,,0.52,,0.52,,0.51,,0.53,,0.53,,,,,,,,,,,,
,,6/30/2026,,0.44,,0.43,,0.42,,0.44,,0.44,,,,,,,,,,,,
,,3/30/2026,,0.33,,0.33,,0.32,,0.33,,0.33,,,,,,,,,,,,
,,12/31/2025,,0.75,,0.75,,0.75,,0.76,,0.76,,,,,,,,,,,,
,,9/30/2025,,0.43,,0.43,,0.43,,0.43,,0.43,,,,,,,,,,,,
,8/7/2025,6/30/2025,0.06,0.33,,0.35,,0.35,,0.35,,0.35,,,,,,,,,,,,
,5/8/2025,3/30/2025,0.01,0.23,,0.23,,,,,,,,,,,,,,,,,,
,2/6/2025,12/31/2024,2.68,0.56,,0.56,,,,,,,,,,,,,,,,,,
,11/7/2024,9/30/2024,0.04,0.4,,0.4,,,,,,,,,,,,,,,,,,
,7/30/2024,6/30/2024,0.01,0.29,,0.29,,,,,,,,,,,,,,,,,,
,4/30/2024,3/30/2024,-0.04,0.17,,0.17,,,,,,,,,,,,,,,,,,
,2/8/2024,12/31/2023,0.29,0.53,,0.53,,,,,,,,,,,,,,,,,,
,10/30/2023,9/30/2023,0.01,0.28,,0.28,,,,,,,,,,,,,,,,,,
,8/1/2023,6/30/2023,-0.05,0.21,,0.21,,,,,,,,,,,,,,,,,,
,4/27/2023,3/30/2023,-0.31,0.08,,0.08,,,,,,,,,,,,,,,,,,
,2/6/2023,12/31/2022,0.03,0.29,,0.29,,,,,,,,,,,,,,,,,,
,10/27/2022,9/30/2022,-0.1,0.11,,0.11,,,,,,,,,,,,,,,,,,
,8/1/2022,6/30/2022,-0.07,0.11,,0.11,,,,,,,,,,,,,,,,,,
,4/27/2022,3/31/2022,-0.01,0.1,,0.1,,,,,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,0.25,0.49,,0.49,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.14,0.28,,0.28,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,0.1,0.25,,0.25,,,,,,,,,,,,,,,,,,
,4/27/2021,3/31/2021,-0.03,0.11,,0.11,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,0.3,0.43,,0.43,,,,,,,,,,,,,,,,,,
,10/28/2020,9/30/2020,-0.16,0.13,,0.13,,,,,,,,,,,,,,,,,,
,7/31/2020,6/30/2020,-0.17,-0.07,,-0.07,,,,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,-0.25,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,2/6/2020,12/31/2019,-0.06,0.12,,0.12,,,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,-0.23,0.01,,0.01,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,-2.62,-0.06,,-0.06,,,,,,,,,,,,,,,,,,
,,3/29/2019,-0.33,-0.32,,-0.32,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,
,,9/28/2018,-0.15,-0.12,,-0.12,,,,,,,,,,,,,,,,,,
,,6/29/2018,-0.3,-0.27,,-0.27,,,,,,,,,,,,,,,,,,
,,3/29/2018,-0.42,-0.38,,-0.38,,,,,,,,,,,,,,,,,,
