CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1
,,12/31/2027,,2.414,8/24/2026,2.414,8/23/2026
,,9/30/2027,,2.21,,2.21,
,,6/30/2027,,2.122,,2.122,
,,3/31/2027,,1.76,,1.76,
,,12/31/2026,,1.958,,1.958,
,,9/30/2026,,-3.392,,-3.392,
,7/28/2026,6/30/2026,2.81,3.09,,3.09,
,4/28/2026,3/31/2026,1.47,1.81,,1.81,
,2/10/2026,12/31/2025,1.46,1.8,,1.8,
,10/28/2025,9/30/2025,2.11,2.26,,2.26,
,7/29/2025,6/30/2025,2.04,1.57,,1.57,
,4/29/2025,3/31/2025,0.8,1.16,,1.16,
,2/10/2025,12/31/2024,0.9,1.43,,1.43,
,10/29/2024,9/30/2024,0.54,1.07,,1.07,
,7/30/2024,6/30/2024,-2.04,-1.82,,-1.82,
,4/30/2024,3/31/2024,0.75,0.64,,0.64,
,2/13/2024,12/31/2023,0.89,1.06,,1.06,
,10/31/2023,9/30/2023,0.76,1.1,,1.1,
,8/1/2023,6/30/2023,0.9,0.99,,0.99,
,5/2/2023,3/31/2023,0.1,0.37,,0.37,
,2/7/2023,12/31/2022,0.13,0.62,,0.62,
,11/1/2022,9/30/2022,0.5,0.6,,0.6,
,8/2/2022,6/30/2022,0.72,1.01,,1.01,
,5/3/2022,3/31/2022,0.17,0.55,,0.55,
,2/8/2022,12/31/2021,2.54,0.1,,0.1,
,11/2/2021,9/30/2021,0.82,1.18,,1.18,
,8/3/2021,6/30/2021,0.67,0.8,,0.8,
,5/4/2021,3/31/2021,0.24,0.67,,0.67,
,2/9/2021,12/31/2020,0.68,0.93,,0.93,
,11/5/2020,9/30/2020,-0.07,0.23,,0.23,
,8/4/2020,6/30/2020,1.32,1.24,,1.24,
,5/5/2020,3/31/2020,-3.33,-2.86,,-2.86,
,2/13/2020,12/31/2019,0.51,0.65,,0.65,
,10/29/2019,9/30/2019,0.59,0.82,,0.82,
,7/30/2019,6/30/2019,0.48,0.75,,0.75,
,4/30/2019,3/31/2019,0.47,0.62,,0.62,
,2/14/2019,12/31/2018,0.32,0.4,,0.4,
,10/30/2018,9/30/2018,0.14,0.38,,0.38,
,7/31/2018,6/30/2018,0.24,0.26,,0.26,
,5/1/2018,3/31/2018,-0.19,-0.01,,-0.01,
,2/15/2018,12/31/2017,-0.71,-0.71,,-0.71,
,10/31/2017,9/30/2017,0.17,0.17,,0.17,
,8/1/2017,6/30/2017,-0.06,-0.06,,-0.06,
,5/4/2017,3/31/2017,-0.96,-0.96,,-0.96,
,2/14/2017,12/31/2016,0.05,0.05,,0.05,
,11/1/2016,9/30/2016,0.19,0.19,,0.19,
,8/9/2016,6/30/2016,0.18,0.18,,0.18,
,5/9/2016,3/31/2016,0.12,0.12,,0.12,
,2/11/2016,12/31/2015,0.29,0.29,,0.29,
,11/3/2015,9/30/2015,-0.22,-0.22,,-0.22,
,8/4/2015,6/30/2015,0.05,0.05,,0.05,
,4/30/2015,3/31/2015,-0.11,-0.11,,-0.11,
,2/12/2015,12/31/2014,-0.22,-0.22,,-0.22,
,10/30/2014,9/30/2014,0.33,0.33,,0.33,
,7/31/2014,6/30/2014,-0.22,-0.22,,-0.22,
,5/1/2014,3/31/2014,-0.21,-0.21,,-0.21,
,2/12/2014,12/31/2013,-0.28,-0.26,,-0.26,
,10/31/2013,9/30/2013,-0.14,-0.14,,-0.14,
,8/1/2013,6/30/2013,-0.02,-0.02,,-0.02,
