CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
Adjusted,,12/31/2026,,1.06,1/11/2026,1.06,11/26/2025,1,10/25/2025,0.88,9/30/2025,0.88,8/28/2025,0.84,7/25/2025,0.78,7/5/2025,,,,,
,,9/30/2026,,1.07,,1.07,,1.02,,0.87,,0.87,,0.83,,0.75,,,,,,
,,6/30/2026,,0.97,,0.96,,0.92,,0.86,,0.86,,0.82,,0.72,,,,,,
,,3/30/2026,,0.85,,0.84,,0.81,,0.75,,0.75,,0.74,,0.68,,,,,,
,,12/31/2025,,0.93,1/2/2025,0.92,1/2/2025,0.89,1/2/2025,0.8,1/2/2025,0.8,1/2/2025,0.76,1/2/2025,0.7,1/2/2025,,,,,
,10/22/2025,9/30/2025,0.97,0.93,,0.79,,0.79,,0.75,,0.68,,,,,,,,,,
,7/23/2025,6/30/2025,0.86,0.81,,0.66,,0.66,,0.57,,,,,,,,,,,,
,4/23/2025,3/30/2025,0.58,0.63,,0.51,,0.51,,0.5,,,,,,,,,,,,
,1/22/2025,12/31/2024,0.59,0.55,3/9/2024,0.5,3/9/2024,0.5,3/9/2024,0.5,3/9/2024,,,,,,,,,,,
,10/23/2024,9/30/2024,0.48,0.5,,0.45,,0.45,,0.44,,,,,,,,,,,,
,7/24/2024,6/30/2024,0.41,0.44,,0.41,,0.81,,0.79,,,,,,,,,,,,
,4/24/2024,3/30/2024,0.87,0.8,,0.73,,0.73,,0.72,,,,,,,,,,,,
,1/24/2024,12/31/2023,0.83,0.82,,0.77,,0.77,,0.76,,,,,,,,,,,,
,10/25/2023,9/30/2023,0.83,0.78,,0.74,,0.74,,0.74,,,,,,,,,,,,
,7/26/2023,6/30/2023,0.74,0.72,,0.68,,0.68,,0.69,,,,,,,,,,,,
,4/26/2023,3/30/2023,0.71,0.69,,0.67,,0.67,,0.67,,,,,,,,,,,,
,1/25/2023,12/30/2022,0.82,0.78,,0.75,,0.75,,0.75,,,,,,,,,,,,
,10/26/2022,9/30/2022,0.8,0.8,,0.75,,0.75,,0.74,,,,,,,,,,,,
,7/27/2022,6/30/2022,0.76,0.75,,0.68,,0.68,,0.67,,,,,,,,,,,,
,4/27/2022,3/31/2022,0.68,0.67,,0.61,,0.61,,0.61,,,,,,,,,,,,
,1/26/2022,12/31/2021,0.74,0.7,,0.64,,0.61,,0.57,,,,,,,,,,,,
,10/27/2021,9/30/2021,0.681527645,0.65,,0.63,,0.62,,0.559,,,,,,,,,,,,
,7/28/2021,6/30/2021,0.592818211,0.61,,0.55,,0.505,,0.525221932,,,,,,,,,,,,
,4/28/2021,3/31/2021,0.528120494,0.52,,0.47,,0.46,,0.469347258,,,,,,,,,,,,
,1/27/2021,12/31/2020,0.573586118,0.56,,0.505,,0.525,,0.53,,,,,,,,,,,,
,10/21/2020,9/30/2020,0.56229721,0.55,,0.44,,0.505,,0.52,,,,,,,,,,,,
,7/22/2020,6/30/2020,0.423848684,0.41,,0.315,,0.47,,0.48,,,,,,,,,,,,
,4/22/2020,3/31/2020,0.394942904,0.36,,0.365,,0.42,,0.445,,,,,,,,,,,,
,1/22/2020,12/31/2019,0.517034393,0.49,,0.455,,0.51,,0.515,,,,,,,,,,,,
,10/23/2019,9/30/2019,0.457707381,0.48,,0.435,,0.49,,0.495,,,,,,,,,,,,
,7/24/2019,6/28/2019,0.467120181,0.46,,0.465,,0.475,,0.48,,,,,,,,,,,,
,4/24/2019,3/29/2019,0.433408944,0.45,,0.44,,0.45,,0.455,,,,,,,,,,,,
,1/23/2019,12/31/2018,0.545850823,0.53,,0.49,,0.475,,0.47,,,,,,,,,,,,
,10/24/2018,9/28/2018,0.506722151,0.5,,0.465,,0.45,,0.445,,,,,,,,,,,,
,7/5/2018,6/29/2018,0.455971822,0.45,,0.425,,0.42,,0.41,,,,,,,,,,,,
,4/25/2018,3/29/2018,0.420253165,0.42,,0.4,,0.39,,0.38,,,,,,,,,,,,
,,12/29/2017,-0.162680931,,,0.41,,0.395,,0.39,,0.38,,0.385,,,,,,,,
,,9/29/2017,0.439499525,,,0.395,,0.38,,0.385,,0.39,,0.375,,0.38,,0.36,,,,
,,6/30/2017,0.397817146,,,0.36,,0.355,,0.365,,0.37,,0.365,,0.36,,0.355,,,,
,,3/31/2017,0.355404551,,,0.335,,0.33,,0.34,,0.33,,,,,,,,,,
,,12/30/2016,0.3728223,,,0.36,,0.35,,0.355,,0.345,,0.34,,0.355,,0.36,,,,
,,9/30/2016,0.355242319,,,0.345,,0.34,,0.345,,0.34,,0.35,,0.345,,,,,,
,,6/30/2016,0.32736208,,,0.315,,0.31,,0.33,,0.335,,0.33,,0.285,,,,,,
,,3/31/2016,0.249204328,,,0.28,,0.285,,0.28,,0.31,,0.315,,,,,,,,
,,12/31/2015,0.317218679,,,0.295,,0.325,,0.34,,0.33,,0.325,,0.3225,,,,,,
,,9/30/2015,0.323692114,,,0.325,,0.315,,0.32,,0.325,,0.32,,0.315,,0.31,,0.3075,,
,,6/30/2015,0.282442996,,,0.29,,0.305,,0.31,,0.32,,0.305,,0.2975,,0.295,,,,
