CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2025,,1.55,10/1/2024,1.55,8/16/2024,1.58,6/24/2024,1.58,5/5/2024,1.16,4/7/2024,1.14,2/18/2024,1.19,1/2/2024,1.19,11/12/2023,1.65,9/26/2023,1.65,8/6/2023,1.68,6/19/2023,1.68,5/7/2023,,4/4/2023,2.12,2/23/2023,2.76,12/17/2022,2.71,11/11/2022,2.95,9/17/2022,2.95,8/14/2022,3.02,7/22/2022,3.02,6/20/2022,3.02,5/12/2022,3.02,4/17/2022,,3/12/2022,2.72,2/5/2022,2.72,1/20/2022,2.72,12/14/2021,2.49,11/6/2021,2.49,10/18/2021,2.44,9/15/2021,2.56,8/8/2021,2.56,7/19/2021,2.56,6/21/2021,2.56,5/22/2021,2.44,5/6/2021,2.44,4/5/2021,2.44,3/3/2021,1.52,2/4/2021,1.52,12/23/2020,1.45,11/20/2020,1.45,11/19/2020
,,9/30/2025,,1.25,,1.25,,1.36,,1.36,,0.95,,0.96,,1,,1,,1.4,,1.4,,1.56,,1.56,,,,1.82,,2.26,,2.42,,2.54,,2.54,,2.73,,2.73,,2.73,,2.73,,,,2.66,,2.66,,2.66,,2.44,,2.44,,2.36,,2.24,,2.24,,2.24,,2.24,,2.21,,2.21,,2.13,,1.54,,1.54,,1.47,,1.47,
,,6/30/2025,,1.27,,1.27,,1.23,,1.23,,0.9,,0.86,,0.95,,0.95,,1.21,,1.21,,1.35,,1.35,,,,1.49,,1.75,,2.17,,2.4,,2.4,,2.65,,2.65,,2.65,,2.65,,,,2.32,,2.36,,2.36,,2.25,,2.25,,2.15,,2.27,,2.27,,2.27,,2.27,,2.18,,2.18,,2.04,,1.65,,1.65,,1.56,,1.56,
,,3/30/2025,,1.21,,1.21,,1.25,,1.25,,0.52,,0.59,,0.81,,0.81,,1.07,,1.07,,1.14,,1.14,,,,1.12,,1.15,,1.7,,2.07,,2.07,,2.27,,2.27,,2.27,,2.27,,,,1.95,,2.02,,2.02,,1.74,,1.74,,1.7,,1.9,,1.9,,1.9,,1.9,,2.12,,2.12,,1.94,,1.81,,1.81,,1.79,,1.79,
,,12/31/2024,,1.18,4/7/2024,1.17,4/7/2024,1.19,4/7/2024,1.19,4/7/2024,1.16,4/7/2024,1.14,2/18/2024,1.19,1/2/2024,1.19,11/12/2023,1.65,9/26/2023,1.65,8/6/2023,1.68,6/19/2023,1.68,5/7/2023,,4/4/2023,2.12,2/23/2023,2.76,12/17/2022,2.71,11/11/2022,2.95,9/17/2022,2.95,8/14/2022,3.02,7/22/2022,3.02,6/20/2022,3.02,5/12/2022,3.02,4/17/2022,,3/12/2022,2.72,2/5/2022,2.72,1/20/2022,2.72,12/14/2021,2.49,11/6/2021,2.49,10/18/2021,2.44,9/15/2021,2.56,8/8/2021,2.56,7/19/2021,2.56,6/21/2021,2.56,5/22/2021,2.44,5/6/2021,2.44,4/5/2021,2.44,3/3/2021,1.52,2/4/2021,1.52,12/23/2020,1.45,11/20/2020,1.45,11/19/2020
,,9/30/2024,,0.98,,0.96,,0.98,,0.98,,0.95,,0.96,,1,,1,,1.4,,1.4,,1.56,,1.56,,,,1.82,,2.26,,2.42,,2.54,,2.54,,2.73,,2.73,,2.73,,2.73,,,,2.66,,2.66,,2.66,,2.44,,2.44,,2.36,,2.24,,2.24,,2.24,,2.24,,2.21,,2.21,,2.13,,1.54,,1.54,,1.47,,1.47,
,8/8/2024,6/30/2024,0.67,0.67,,0.79,,0.79,,0.9,,0.86,,0.95,,0.95,,1.21,,1.21,,1.35,,1.35,,,,1.49,,1.75,,2.17,,2.4,,2.4,,2.65,,2.65,,2.65,,2.65,,,,2.32,,2.36,,2.36,,2.25,,2.25,,2.15,,2.27,,2.27,,2.27,,2.27,,2.18,,2.18,,2.04,,1.65,,1.65,,1.56,,1.56,,,
,5/2/2024,3/30/2024,0.35,0.35,,0.52,,0.59,,0.81,,0.81,,1.07,,1.07,,1.14,,1.14,,,,1.12,,1.15,,1.7,,2.07,,2.07,,2.27,,2.27,,2.27,,2.27,,,,1.95,,2.02,,2.02,,1.74,,1.74,,1.7,,1.9,,1.9,,1.9,,1.9,,2.12,,2.12,,1.94,,1.81,,1.81,,1.79,,1.79,,,,,,,
,2/15/2024,12/31/2023,0.93,0.93,4/4/2023,0.81,4/4/2023,1.21,4/4/2023,1.52,4/4/2023,1.57,4/4/2023,1.74,4/4/2023,1.82,4/4/2023,2.07,4/4/2023,2.12,2/23/2023,2.76,12/17/2022,2.71,11/11/2022,2.95,9/17/2022,2.95,8/14/2022,3.02,7/22/2022,3.02,6/20/2022,3.02,5/12/2022,3.02,4/17/2022,,3/12/2022,2.72,2/5/2022,2.72,1/20/2022,2.72,12/14/2021,2.49,11/6/2021,2.49,10/18/2021,2.44,9/15/2021,2.56,8/8/2021,2.56,7/19/2021,2.56,6/21/2021,2.56,5/22/2021,2.44,5/6/2021,2.44,4/5/2021,2.44,3/3/2021,1.52,2/4/2021,1.52,12/23/2020,1.45,11/20/2020,1.45,11/19/2020,,,,,,,,,,
,11/9/2023,9/30/2023,0.64,1.11,,1.17,,1.2,,1.32,,1.53,,1.84,,1.82,,2.26,,2.42,,2.54,,2.54,,2.73,,2.73,,2.73,,2.73,,,,2.66,,2.66,,2.66,,2.44,,2.44,,2.36,,2.24,,2.24,,2.24,,2.24,,2.21,,2.21,,2.13,,1.54,,1.54,,1.47,,1.47,,,,,,,,,,,,,,,
