Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,1/29/2021,0.88,0.96,0.96,0.95,0.94,0.9611162790000001,,,
,10/30/2020,0.43,0.49,0.49,0.48,0.49227907,,,,
,7/31/2020,0.44,0.53,0.53,0.54,0.550883721,,,,
,4/30/2020,0.52,0.53,0.53,0.52,0.51572093,,,,
,1/31/2020,0.77,0.82,0.82,0.83,0.82,0.81,0.77,0.75,
,10/31/2019,0.38,0.42,0.42,0.41,0.4,0.39,0.38,0.36,0.37
,8/2/2019,0.387782805,0.46,0.48,0.47,0.46,0.45,0.46,0.43,0.44
,5/3/2019,0.585061049,0.44,0.45,0.47,0.46,0.47,0.43,,
,2/1/2019,0.755534692,0.7,0.69,0.65,0.64,,,,
,11/2/2018,0.375474696,0.31,,,,,,,
,8/3/2018,0.453148722,0.36,,,,,,,
,5/4/2018,0.46406802399999997,0.37,,,,,,,
,2/2/2018,1.071965234,0.49,,,,,,,
,10/27/2017,0.290313662,0.21,,,,,,,
,7/28/2017,0.303595371,0.25,,,,,,,
,4/28/2017,0.295081458,0.23,,,,,,,
,1/27/2017,0.387806351,0.35,,,,,,,
,10/28/2016,0.16795969,0.14,,,,,,,
,7/29/2016,0.21007729600000002,0.18,,,,,,,
,4/29/2016,0.18911536,0.17,,,,,,,
,1/29/2016,0.264615486,0.28,,,,,,,
,10/30/2015,0.111392989,0.08,,,,,,,
,7/31/2015,0.12202009300000001,0.11,,,,,,,
,5/1/2015,0.134443435,,,,,,,,
,1/30/2015,0.24409977,,,,,,,,
,10/31/2014,0.099324345,,,,,,,,
,8/1/2014,0.118829509,,,,,,,,
