Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
9/30/2021,1.787213115,3/8/2020,1.787213115,,,,,,,,,,,,
6/30/2021,1.674098361,,1.674098361,,,,,,,,,,,,
3/31/2021,1.594918033,,1.594918033,,,,,,,,,,,,
12/31/2020,1.153770492,,1.153770492,,,,,,,,,,,,
9/30/2020,1.58,,1.58,,1.51,,1.62,,1.73,,,,,,
6/30/2020,1.48,,1.48,,1.44,,1.39,,1.4,,,,,,
3/31/2020,1.41,,1.41,,1.43,,1.46,,1.18,,,,,,
12/31/2019,1.02,,1.02,,1.09,,1.1,,0.93,,,,,,
9/30/2019,1.25,,1.25,,1.24,,1.36,,1.56,,1.6,,1.48,,1.32
6/28/2019,1.16,,1.16,,1.2,,1.16,,1.25,,1.08,,,,
3/29/2019,1.05,,1.05,,1.04,,1.03,,1.1,,0.93,,,,
12/31/2018,0.766793113,,0.75,,0.74,,0.83,,0.75,,,,,,
9/28/2018,1.162179867,,1.32,,1.12,,1.16,,1.17,,,,,,
6/29/2018,0.768882766,,1.03,,0.8,,0.92,,0.93,,,,,,
3/29/2018,0.60374902,,0.74,,0.76,,0.81,,0.84,,,,,,
12/29/2017,0.286615706,,0.62,,0.68,,0.69,,0.7,,,,,,
9/29/2017,0.980323582,,0.92,,1,,0.99,,1,,1.08,,0.76,,
6/30/2017,0.845942706,,0.76,,0.75,,0.78,,0.8,,0.84,,0.66,,
3/31/2017,0.60008819,,0.66,,0.67,,0.7,,,,,,,,
12/30/2016,0.73107066,,0.5,,0.52,,,,,,,,,,
9/30/2016,0.994832611,,0.92,,0.95,,0.93,,0.92,,0.95,,0.98,,
6/30/2016,0.808870367,,0.76,,0.77,,0.74,,0.75,,0.8,,0.82,,
3/31/2016,0.647342382,,0.66,,0.67,,0.68,,0.75,,0.71,,,,
