CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
N,,12/31/2023,,3.3,12/1/2022,3.3,10/29/2022,3.32,10/6/2022,3.33,9/3/2022,3.31,7/31/2022,3.37,7/5/2022,3.49,6/3/2022,3.5,5/1/2022,3.5,3/25/2022,,2/22/2022,2.96,2/21/2022,2.93,,2.9,,2.78
,,9/30/2023,,3.24,,3.26,,3.25,,3.26,,3.23,,3.29,,3.35,,3.35,,3.35,,,,2.9,,2.85,,2.81,,2.71
,,6/30/2023,,3.06,,3.07,,3.14,,3.15,,3.12,,3.13,,3.19,,3.2,,3.2,,,,2.77,,2.78,,2.62,,
,,3/30/2023,,2.93,,2.93,,3.06,,3.11,,3.09,,3.17,,3.2,,3.2,,3.2,,,,2.77,,2.66,,2.68,,2.65
,,12/30/2022,,2.72,,2.73,,2.73,,2.74,,2.74,,2.82,,2.89,,2.88,,2.96,,2.96,,2.96,2/21/2022,2.93,,2.9,,2.78
,10/25/2022,9/30/2022,2.68,2.85,,2.72,,2.72,,2.71,,2.79,,2.81,,2.85,,2.91,,2.9,,2.9,,2.85,,2.81,,2.71,,
,7/26/2022,6/30/2022,2.59,2.78,,2.72,,2.74,,2.73,,2.78,,2.77,,2.77,,2.78,,2.62,,,,,,,,,,
,4/26/2022,3/31/2022,2.78,2.98,,2.8,,2.77,,2.77,,2.66,,2.68,,2.65,,,,,,,,,,,,,,
,1/27/2022,12/31/2021,2.319569743,2.51,,2.49,,2.5,,2.45,,2.12,,2.03,,2.123146233,,2.165852601,,2.209093407,,,,,,,,,,
,10/26/2021,9/30/2021,2.033128276,2.53,,2.41,,2.39,,2.38,,2.06,,1.97,,2.063840473,,2.106676301,,2.185961538,,,,,,,,,,
,7/27/2021,6/30/2021,1.985713428,2.45,,2.3,,2.29,,1.99,,1.89,,1.980812408,,2.02382948,,2.081868132,,,,,,,,,,,,
,4/27/2021,3/31/2021,2.357083827,2.46,,2.26,,1.92,,1.84,,1.99267356,,2.02382948,,1.966208791,,,,,,,,,,,,,,
,1/28/2021,12/31/2020,1.866032709,1.96,,1.95,,1.84,,1.76,,1.79,,1.83,,1.91,,1.87,,1.89,,1.887508143,,1.862392739,,,,,,
,10/27/2020,9/30/2020,2.159116467,2.2,,1.81,,1.8,,1.71,,1.74,,1.78,,1.89,,1.88,,1.86,,1.82,,1.84,,1.85,,1.841188925,,1.816122112
,7/28/2020,6/30/2020,1.364568637,1.77,,1.68,,1.66,,1.67,,1.71,,1.8,,1.79,,1.78,,1.76,,1.77,,1.748550489,,1.723580858,,,,
,4/28/2020,3/31/2020,1.731484079,1.9,,1.68,,1.71,,1.7,,1.69,,1.67,,1.66,,1.63,,1.64,,1.632752443,,1.60790429,,,,,,
,1/30/2020,12/31/2019,1.435286279,1.67,,1.61,,1.6,,1.61,,1.62,,1.63,,1.62,,1.61,,1.53,,1.54,,1.56,,1.59,,,,
,10/31/2019,9/30/2019,1.601203974,1.68,,1.6,,1.59,,1.58,,1.57,,1.52,,1.53,,1.51,,1.53,,1.52,,,,,,,,
,8/1/2019,6/28/2019,1.471900507,1.54,,1.51,,1.52,,1.51,,1.5,,1.49,,1.48,,1.49,,1.5,,1.49,,,,,,,,
,5/2/2019,3/29/2019,2.080491308,1.55,,1.41,,1.4,,1.39,,1.4,,1.41,,1.42,,1.44,,1.43,,,,,,,,,,
,1/31/2019,12/31/2018,1.699893849,1.31,,1.3,,1.33,,1.36,,1.41,,1.27,,1.18,,1.11,,1.09,,,,,,,,,,
,11/1/2019,9/28/2018,1.355251062,1.35,,1.29,,1.28,,1.29,,1.35,,1.23,,1.15,,1.07,,1.05,,1.04,,,,,,,,
,8/2/2018,6/29/2018,1.275634656,1.3,,1.28,,1.32,,1.2,,1.12,,1.03,,1.01,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,1.243068681,1.31,,1.26,,1.14,,1.07,,0.99,,0.98,,,,,,,,,,,,,,,,
,,12/29/2017,0.698649248,,,1,,0.96,,0.95,,0.94,,0.89,,0.9,,,,,,,,,,,,,,
,,9/29/2017,0.926905996,,,0.97,,0.92,,0.91,,0.9,,0.87,,,,,,,,,,,,,,,,
,,6/30/2017,0.886138614,,,0.9,,0.89,,0.88,,0.85,,0.83,,,,,,,,,,,,,,,,
,,3/31/2017,0.796199686,,,0.85,,0.81,,0.8,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.72726304,,,0.75,,0.77,,0.74,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.683763996,,,0.73,,0.75,,0.72,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.691076294,,,0.72,,0.69,,0.68,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.603682074,,,0.63,,0.64,,0.63,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.573472343,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.588432018,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.496028548,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.386066137,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.391388396,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.441385079,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.914978243,,,0.59,,0.56,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.677917654,,,0.55,,0.54,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.394212401,,,0.53,,0.54,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.458707227,,,0.54,,0.52,,0.53,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.500151554,,,0.52,,0.53,,0.54,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.48427306,,,0.54,,0.5,,0.53,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.442717184,,,0.54,,0.53,,0.51,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.391040907,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.304521676,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.357119069,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.36304433,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.40707914,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.373542766,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.27473302,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2010,0.249777176,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
