CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2023,,0.28,4/7/2023,0.26,2/25/2023,0.28,1/18/2023,0.28,12/11/2022,0.28,11/4/2022,0.31,10/19/2022,0.31,9/15/2022,0.31,8/13/2022,0.32,6/21/2022,0.31,5/15/2022,0.31,5/5/2022,,3/28/2022,0.3,2/27/2022,0.32,1/16/2022,0.32,12/9/2021,0.37,11/4/2021,0.37,10/12/2021,0.37,9/11/2021,0.34,8/7/2021,0.34,6/29/2021,0.33,5/30/2021,0.33,5/1/2021,0.33,3/27/2021
,,9/30/2023,,0.26,,0.25,,0.25,,0.25,,0.26,,0.28,,0.29,,0.29,,0.31,,0.3,,0.3,,,,0.28,,0.28,,0.28,,0.34,,0.34,,0.34,,0.31,,0.31,,0.31,,0.31,,0.31,
,,6/30/2023,,0.16,,0.21,,0.23,,0.23,,0.25,,0.26,,0.27,,0.27,,0.29,,0.29,,0.29,,,,0.25,,0.26,,0.26,,0.3,,0.3,,0.3,,0.28,,0.28,,0.28,,0.28,,0.28,
,,3/30/2023,,0.14,,0.19,,0.2,,0.2,,0.22,,0.25,,0.25,,0.25,,0.27,,0.26,,0.26,,,,0.22,,0.23,,0.23,,0.26,,0.26,,0.26,,0.28,,0.28,,0.28,,0.25,,0.25,
,2/23/2023,12/31/2022,0.02,0.02,,0.18,,0.18,,0.22,,0.23,,0.23,,0.24,,0.27,,0.27,,0.27,,0.27,,0.3,2/27/2022,0.32,1/16/2022,0.32,12/9/2021,0.37,11/4/2021,0.37,10/12/2021,0.37,9/11/2021,0.34,8/7/2021,0.34,6/29/2021,0.33,5/30/2021,0.33,5/1/2021,0.33,3/27/2021,,
,11/3/2022,9/30/2022,-0.17,-0.17,,0.22,,0.22,,0.23,,0.26,,0.26,,0.26,,0.26,,0.28,,0.28,,0.28,,0.34,,0.34,,0.34,,0.31,,0.31,,0.31,,0.31,,0.31,,,,,,,,,
,8/4/2022,6/30/2022,0.24,0.24,,0.23,,0.23,,0.23,,0.23,,0.25,,0.26,,0.26,,0.3,,0.3,,0.3,,0.28,,0.28,,0.28,,0.28,,0.28,,,,,,,,,,,,,,,
,4/29/2022,3/31/2022,0.02,0.02,,0.21,,0.21,,0.22,,0.23,,0.23,,0.26,,0.26,,0.26,,0.28,,0.28,,0.28,,0.25,,0.25,,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,0.39,0.39,,0.21,,0.21,,0.25,,0.25,,0.25,,0.26,,0.26,,0.25,,0.26,,0.26,3/27/2021,0.28,2/28/2021,0.28,1/31/2021,0.28,12/27/2020,0.28,11/26/2020,0.28,11/25/2020,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.28,0.28,,0.24,,0.23,,0.23,,0.24,,0.23,,0.22,,0.22,,0.26,,0.26,,0.26,,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,
