CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,4/30/2025,,0.48,4/14/2024,0.48,3/9/2024,0.48,1/23/2024,0.48,12/25/2023,0.48,11/7/2023,0.48,9/30/2023,,7/6/2023,0.48,5/22/2023,0.48,4/16/2023,0.48,3/10/2023,0.48,2/21/2023,0.48,1/16/2023,0.44,12/10/2022,0.44,11/19/2022,0.44,10/13/2022,0.44,9/11/2022,0.44,8/5/2022,,7/2/2022,0.45,6/22/2022,0.45,5/16/2022,0.45,4/14/2022,0.45,3/12/2022,0.45,2/19/2022,0.45,1/17/2022,0.47,12/10/2021,0.47,11/21/2021,0.47,10/16/2021,0.46,9/12/2021,0.46,8/8/2021,0.46,7/6/2021,0.43,6/15/2021,0.43,5/19/2021,0.43,4/17/2021,0.42,3/14/2021,0.86,1/12/2021,0.86,12/11/2020,0.8,10/30/2020,0.8,9/27/2020,0.707474747,9/26/2020
,,1/30/2025,,0.45,,0.45,,0.45,,0.45,,0.43,,0.43,,,,0.39,,0.39,,0.38,,0.38,,0.38,,0.35,,0.35,,0.35,,0.39,,0.39,,,,0.36,,0.37,,0.37,,0.4,,0.4,,0.4,,0.44,,0.44,,0.44,,0.42,,0.38,,0.38,,0.4,,0.4,,0.4,,0.39,,0.77,,0.77,,0.71,,0.71,,0.634646465,
,,10/30/2024,,0.5,,0.5,,0.5,,0.5,,0.51,,0.51,,,,0.46,,0.46,,0.45,,0.45,,0.45,,0.42,,0.42,,0.42,,0.49,,0.45,,,,0.45,,0.46,,0.46,,0.49,,0.49,,0.49,,0.55,,0.55,,0.55,,0.53,,0.47,,0.47,,0.49,,0.49,,0.49,,0.49,,1,,1,,0.91,,0.91,,0.801111111,
,,7/30/2024,,0.57,,0.57,,0.57,,0.57,,0.56,,0.56,,,,0.52,,0.52,,0.51,,0.51,,0.51,,0.54,,0.54,,0.54,,0.57,,0.55,,,,0.54,,0.56,,0.56,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.57,,0.52,,0.52,,0.55,,0.55,,0.55,,0.55,,1.13,,1.13,,1.06,,1.06,,0.946767677,
,,4/30/2024,,0.47,8/13/2023,0.45,8/13/2023,0.45,8/13/2023,0.45,8/13/2023,0.45,8/13/2023,0.45,8/13/2023,0.44,7/6/2023,0.48,5/22/2023,0.48,4/16/2023,0.48,3/10/2023,0.48,2/21/2023,0.48,1/16/2023,0.44,12/10/2022,0.44,11/19/2022,0.44,10/13/2022,0.44,9/11/2022,0.44,8/5/2022,,7/2/2022,0.45,6/22/2022,0.45,5/16/2022,0.45,4/14/2022,0.45,3/12/2022,0.45,2/19/2022,0.45,1/17/2022,0.47,12/10/2021,0.47,11/21/2021,0.47,10/16/2021,0.46,9/12/2021,0.46,8/8/2021,0.46,7/6/2021,0.43,6/15/2021,0.43,5/19/2021,0.43,4/17/2021,0.42,3/14/2021,0.86,1/12/2021,0.86,12/11/2020,0.8,10/30/2020,0.8,9/27/2020,0.707474747,9/26/2020
,3/7/2024,1/30/2024,0.42,0.41,,0.41,,0.41,,0.4,,0.4,,0.4,,0.39,,0.39,,0.38,,0.38,,0.38,,0.35,,0.35,,0.35,,0.39,,0.39,,,,0.36,,0.37,,0.37,,0.4,,0.4,,0.4,,0.44,,0.44,,0.44,,0.42,,0.38,,0.38,,0.4,,0.4,,0.4,,0.39,,0.77,,0.77,,0.71,,0.71,,0.634646465,,,
,12/7/2023,10/30/2023,0.47,0.47,,0.47,,0.47,,0.47,,0.46,,0.46,,0.45,,0.45,,0.45,,0.42,,0.42,,0.42,,0.49,,0.45,,,,0.45,,0.46,,0.46,,0.49,,0.49,,0.49,,0.55,,0.55,,0.55,,0.53,,0.47,,0.47,,0.49,,0.49,,0.49,,0.49,,1,,1,,0.91,,0.91,,0.801111111,,,,,,,
,9/7/2023,7/30/2023,0.53,0.53,,0.53,,0.52,,0.52,,0.51,,0.51,,0.51,,0.54,,0.54,,0.54,,0.57,,0.55,,,,0.54,,0.56,,0.56,,0.6,,0.6,,0.6,,0.6,,0.6,,0.6,,0.57,,0.52,,0.52,,0.55,,0.55,,0.55,,0.55,,1.13,,1.13,,1.06,,1.06,,0.946767677,,,,,,,,,,,
,6/28/2023,4/30/2023,0.39,0.39,,0.4,,0.4,,0.37,,0.37,,0.37,,0.38,,0.38,,0.38,,0.44,,0.44,,0.45,,0.45,6/22/2022,0.45,5/16/2022,0.45,4/14/2022,0.45,3/12/2022,0.45,2/19/2022,0.45,1/17/2022,0.47,12/10/2021,0.47,11/21/2021,0.47,10/16/2021,0.46,9/12/2021,0.46,8/8/2021,0.46,7/6/2021,0.43,6/15/2021,0.43,5/19/2021,0.43,4/17/2021,0.42,3/14/2021,0.86,1/12/2021,0.86,12/11/2020,0.8,10/30/2020,0.8,9/27/2020,0.707474747,9/26/2020,,,,,,,,,,,,
,3/9/2023,1/30/2023,0.37,0.37,,0.32,,0.32,,0.3,,0.3,,0.3,,0.39,,0.39,,0.36,,0.36,,0.37,,0.37,,0.4,,0.4,,0.4,,0.44,,0.44,,0.44,,0.42,,0.38,,0.38,,0.4,,0.4,,0.4,,0.39,,0.77,,0.77,,0.71,,0.71,,0.634646465,,,,,,,,,,,,,,,,,,,
