CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Y,,12/31/2026,,0.19,5/14/2025,0.2,4/13/2025,0.21,3/2/2025,0.21,12/20/2024,0.2,11/9/2024,0.21,10/13/2024,0.21,10/12/2024,,,,,,,
,,9/30/2026,,0.13,,0.14,,0.12,,0.13,,0.1,,0.1,,0.1,,,,,,,,
,,6/30/2026,,0.07,,0.08,,0.07,,0.08,,0.07,,0.07,,0.07,,,,,,,,
,,3/30/2026,,0.04,,0.04,,0.05,,0.05,,0.05,,0.05,,0.05,,,,,,,,
,,12/31/2025,,0.16,3/2/2025,0.18,3/2/2025,0.21,3/2/2025,0.21,12/20/2024,0.2,11/9/2024,0.21,10/13/2024,0.21,10/12/2024,,,,,,,
,,9/30/2025,,0.1,,0.11,,0.12,,0.13,,0.1,,0.1,,0.1,,,,,,,,
,,6/30/2025,,0.05,,0.06,,0.07,,0.08,,0.07,,0.07,,0.07,,,,,,,,
,5/8/2025,3/30/2025,0.01,0.01,,0.03,,0.05,,0.05,,0.05,,0.05,,0.05,,,,,,,,
,2/27/2025,12/31/2024,0.14,0.14,,0.18,,0.17,,0.16,,0.16,,,,,,,,,,,,
,11/6/2024,9/30/2024,0.1,0.1,,0.07,,0.07,,,,,,,,,,,,,,,,
,7/30/2024,6/30/2024,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
,5/7/2024,3/30/2024,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
,2/28/2024,12/31/2023,0.19,0.19,,0.19,,,,,,,,,,,,,,,,,,
,11/9/2023,9/30/2023,0.08,0.08,,0.08,,,,,,,,,,,,,,,,,,
,7/31/2023,6/30/2023,0.07,0.07,,0.07,,,,,,,,,,,,,,,,,,
,5/10/2023,3/30/2023,0.07,0.07,,0.07,,,,,,,,,,,,,,,,,,
,3/1/2023,12/31/2022,0.1,0.1,,0.1,,,,,,,,,,,,,,,,,,
,11/8/2022,9/30/2022,0.06,0.06,,0.06,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,0.06,0.06,,0.06,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,
,3/8/2022,12/31/2021,0.17,0.17,,0.17,,,,,,,,,,,,,,,,,,
,11/9/2021,9/30/2021,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,-0.08,-0.08,,-0.08,,,,,,,,,,,,,,,,,,
,5/25/2021,3/31/2021,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
,,6/30/2020,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,
,,3/31/2020,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,
