CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP diluted ,,1/30/2027,,0.16,9/8/2025,0.16,7/16/2025,0.15,6/7/2025,0.13,5/21/2025,0.14,4/16/2025,0.13,3/10/2025,0.09,1/14/2025,0.09,12/6/2024,0.09,10/14/2024,0.09,9/7/2024,0.09,7/20/2024,0.09,6/13/2024,0.06,5/17/2024,0.06,4/14/2024,0.06,3/9/2024,0.04,1/30/2024,0.04,12/28/2023,0.04,12/27/2023
Plots Adjusted,,10/30/2026,,0.14,,0.13,,0.13,,0.12,,0.12,,0.11,,0.08,,0.08,,0.07,,0.06,,0.06,,0.06,,0.05,,0.05,,0.04,,0.04,,0.04,,0.04,
,,7/30/2026,,0.12,,0.11,,0.1,,0.09,,0.09,,0.08,,0.06,,0.06,,0.06,,0.05,,0.04,,0.04,,0.01,,0.01,,0.01,,0.02,,0.02,,0.02,
,,4/30/2026,,0.12,,0.12,,0.12,,0.08,,0.08,,0.08,,0.05,,0.05,,0.05,,0.04,,0.04,,0.04,,0.01,,0.01,,0.01,,-0.01,,-0.01,,-0.01,
,,1/30/2026,,0.12,1/14/2025,0.12,1/14/2025,0.13,1/14/2025,0.12,1/14/2025,0.12,1/14/2025,0.11,1/14/2025,0.09,1/14/2025,0.09,12/6/2024,0.09,10/14/2024,0.09,9/7/2024,0.09,7/20/2024,0.09,6/13/2024,0.06,5/17/2024,0.06,4/14/2024,0.06,3/9/2024,0.04,1/30/2024,0.04,12/28/2023,0.04,12/27/2023
,,10/30/2025,,0.11,,0.1,,0.1,,0.09,,0.09,,0.08,,0.08,,0.08,,0.07,,0.06,,0.06,,0.06,,0.05,,0.05,,0.04,,0.04,,0.04,,0.04,
,9/4/2025,7/30/2025,-0.03,0.12,,0.07,,0.07,,0.06,,0.06,,0.06,,0.06,,0.06,,0.06,,0.05,,0.04,,0.04,,0.01,,0.01,,0.01,,0.02,,0.02,,0.02,
,6/5/2025,4/30/2025,-0.04,0.11,,0.06,,0.06,,0.06,,0.05,,0.05,,0.05,,0.04,,0.04,,0.04,,0.01,,0.01,,0.01,,-0.01,,-0.01,,-0.01,,,,,
,3/7/2025,1/30/2025,-0.02,0.11,5/17/2024,0.07,5/17/2024,0.07,5/17/2024,0.06,5/17/2024,0.06,5/17/2024,0.06,5/17/2024,0.06,5/17/2024,0.06,5/17/2024,0.06,4/14/2024,0.06,3/9/2024,0.04,1/30/2024,0.04,12/28/2023,0.04,12/27/2023,,,,,,,,,,
,12/5/2024,10/30/2024,-0.07,0.08,,0.04,,0.04,,0.03,,0.03,,0.05,,0.05,,0.04,,0.04,,0.04,,0.04,,,,,,,,,,,,,,,
