CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Non-GAAP,,12/31/2026,,1.5,11/9/2025,1.44,9/18/2025,1.44,8/16/2025,1.5,7/23/2025,1.5,6/25/2025,,,,,
,,9/30/2026,,1.27,,1.23,,1.23,,1.27,,1.27,,,,,,
,,6/30/2026,,1.21,,1.15,,1.15,,1.15,,1.15,,,,,,
,,3/30/2026,,1.19,,1.16,,1.16,,1.14,,1.14,,,,,,
,,12/31/2025,,1.33,12/19/2024,1.29,12/19/2024,1.31,12/19/2024,1.37,12/19/2024,1.37,12/19/2024,,,,,
,11/5/2025,9/30/2025,0.73,1.31,,1.12,,1.11,,1.19,,1.19,,,,,,
,8/6/2025,6/30/2025,0.44,1.16,,1.06,,1.06,,1.07,,,,,,,,
,5/7/2025,3/30/2025,0.57,1.14,,1.02,,1.02,,1.03,,,,,,,,
,2/5/2025,12/31/2024,1.21,1.65,3/31/2024,1.23,3/31/2024,1.2,3/31/2024,1.15,3/31/2024,,,,,,,
,11/6/2024,9/30/2024,0.67,1.06,,1.06,,1.06,,1.04,,,,,,,,
,8/7/2024,6/30/2024,0.48,1.02,,0.91,,0.94,,0.94,,,,,,,,
,5/1/2024,3/30/2024,0.68,1.01,,0.95,,0.95,,0.98,,,,,,,,
,2/7/2024,12/31/2023,0.44,0.92,4/17/2023,0.86,4/17/2023,0.85,4/17/2023,0.86,4/17/2023,,,,,,,
,11/1/2023,9/30/2023,0.62,0.92,,0.8,,0.83,,0.84,,,,,,,,
,8/2/2023,6/30/2023,0.45,0.8,,0.73,,0.76,,0.77,,,,,,,,
,5/3/2023,3/30/2023,0.68,1.04,,0.95,,0.95,,0.95,,,,,,,,
,2/1/2023,12/31/2022,0.66,0.84,,0.93,,0.93,,0.94,,,,,,,,
,11/2/2022,9/30/2022,0.4,1.06,,0.9,,0.9,,0.91,,,,,,,,
,8/3/2022,6/30/2022,0.17,0.84,,0.85,,0.85,,0.85,,,,,,,,
,5/4/2022,3/31/2022,0.19,0.86,,0.79,,0.79,,0.81,,,,,,,,
,2/1/2022,12/31/2021,0.54,0.83,,0.81,,0.81,,0.82,,,,,,,,
,11/3/2021,9/30/2021,0.5,0.88,,0.85,,0.85,,0.85,,,,,,,,
,8/4/2021,6/30/2021,0.6,0.82,,0.8,,0.8,,0.8,,,,,,,,
,5/5/2021,3/31/2021,0.61,0.82,,0.81,,0.81,,0.75,,,,,,,,
,2/3/2021,12/31/2020,0.41,0.9,,0.78,,0.78,,0.78,,,,,,,,
,11/4/2020,9/30/2020,0.42,0.76,,0.79,,0.79,,0.75,,,,,,,,
,8/5/2020,6/30/2020,0.32,0.59,,0.71,,0.71,,0.76,,,,,,,,
,5/7/2020,3/31/2020,0.66,0.87,,0.72,,0.72,,0.8,,,,,,,,
,2/5/2020,12/31/2019,0.7,0.98,,0.83,,0.82,,0.76,,,,,,,,
,10/30/2019,9/30/2019,0.66,0.88,,0.81,,0.83,,0.79,,,,,,,,
,8/7/2019,6/28/2019,0.6,0.85,,0.83,,0.82,,0.77,,,,,,,,
,5/1/2019,3/29/2019,0.593470621,0.82,,0.75,,0.78,,0.69,,,,,,,,
,2/6/2019,12/31/2018,0.63606757,0.95,,0.77,,0.71,,0.74,,,,,,,,
,11/7/2018,9/28/2018,0.490794367,0.7,,0.71,,0.66,,0.72,,,,,,,,
,8/1/2018,6/29/2018,0.459371581,0.73,,0.7,,0.68,,0.67,,,,,,,,
,5/2/2018,3/29/2018,0.423358105,0.69,,0.67,,0.61,,,,,,,,,,
,2/7/2018,12/29/2017,0.453748901,,,0.65,,0.6,,0.61,,,,,,,,
,11/1/2017,9/29/2017,0.443147625,,,0.63,,0.6,,0.71,,,,,,,,
,8/2/2017,6/30/2017,0.350981937,,,0.61,,0.59,,0.6,,,,,,,,
,5/3/2017,3/31/2017,0.620881144,,,0.59,,0.64,,0.59,,,,,,,,
,2/1/2017,12/30/2016,0.383998785,,,0.64,,0.62,,0.67,,,,,,,,
,11/2/2016,9/30/2016,0.548239836,,,0.56,,0.6,,0.66,,,,,,,,
,8/3/2016,6/30/2016,0.330285575,,,0.62,,0.63,,0.67,,,,,,,,
,5/4/2016,3/31/2016,0.638631504,,,0.68,,0.62,,0.59,,,,,,,,
,,12/31/2015,0.695524406,,,0.73,,0.71,,0.65,,,,,,,,
,,9/30/2015,0.503109322,,,0.59,,0.55,,0.54,,,,,,,,
,,6/30/2015,0.386584076,,,0.57,,0.54,,0.52,,,,,,,,
,,3/31/2015,0.280683863,,,0.55,,0.5,,0.54,,,,,,,,
,,12/31/2014,0.378520916,,,0.54,,0.56,,0.6,,,,,,,,
,,9/30/2014,0.153929874,,,0.52,,0.53,,0.56,,,,,,,,
,,6/30/2014,0.280326745,,,0.52,,0.55,,0.44,,,,,,,,
,,3/31/2014,0.284736301,,,0.51,,0.54,,0.5,,,,,,,,
,,12/31/2013,0.268422453,,,0.55,,0.43,,,,,,,,,,
,,9/30/2013,0.468405584,,,0.5,,0.53,,0.42,,,,,,,,
,,6/28/2013,0.372144641,,,0.5,,0.44,,,,,,,,,,
,,3/28/2013,0.458019491,,,0.52,,0.46,,0.41,,,,,,,,
,,12/31/2012,0.484831737,,,0.48,,0.39,,,,,,,,,,
,,9/28/2012,0.290542626,,,0.47,,0.44,,,,,,,,,,
,,6/29/2012,0.367378521,,,0.39,,,,,,,,,,,,
,,3/30/2012,0.36184755,,,,,,,,,,,,,,,
,,12/30/2011,0.345942966,,,,,,,,,,,,,,,
,,9/30/2011,0.31727625,,,,,,,,,,,,,,,
,,6/30/2011,0.271266512,,,,,,,,,,,,,,,
,,3/31/2011,0.346423943,,,,,,,,,,,,,,,
,,12/31/2010,-0.054502298,,,,,,,,,,,,,,,
,,9/30/2010,0.353289613,,,,,,,,,,,,,,,
,,6/30/2010,0.346478107,,,,,,,,,,,,,,,
,,3/31/2010,0.031242659,,,,,,,,,,,,,,,
,,12/31/2009,0.257630626,,,,,,,,,,,,,,,
,,9/30/2009,0.329363581,,,,,,,,,,,,,,,
,,6/30/2009,0.311550329,,,,,,,,,,,,,,,
,,3/31/2009,0.37211664,,,,,,,,,,,,,,,
,,12/31/2008,0.569585782,,,,,,,,,,,,,,,
,,9/30/2008,0.392824471,,,,,,,,,,,,,,,
,,6/30/2008,0.381122683,,,,,,,,,,,,,,,
,,3/31/2008,0.39,,,,,,,,,,,,,,,
,,12/31/2007,0.41,,,,,,,,,,,,,,,
,,9/28/2007,0.39,,,,,,,,,,,,,,,
,,6/29/2007,0.37,,,,,,,,,,,,,,,
,,3/30/2007,0.36,,,,,,,,,,,,,,,
,,12/29/2006,0.32,,,,,,,,,,,,,,,
,,9/29/2006,0.29,,,,,,,,,,,,,,,
,,6/30/2006,0.33,,,,,,,,,,,,,,,
,,3/31/2006,0.33,,,,,,,,,,,,,,,
,,12/30/2005,0.47,,,,,,,,,,,,,,,
,,9/30/2005,0.28,,,,,,,,,,,,,,,
,,6/30/2005,0.17,,,,,,,,,,,,,,,
,,3/31/2005,0.17,,,,,,,,,,,,,,,
,,12/31/2004,0.24418512,,,,,,,,,,,,,,,
,,9/30/2004,0.324556871,,,,,,,,,,,,,,,
,,6/30/2004,0.148878993,,,,,,,,,,,,,,,
,,3/31/2004,0.207310305,,,,,,,,,,,,,,,
,,12/31/2003,0.136410989,,,,,,,,,,,,,,,
,,9/30/2003,-1.045048197,,,,,,,,,,,,,,,
,,6/30/2003,0.226866192,,,,,,,,,,,,,,,
,,3/31/2003,0.169117219,,,,,,,,,,,,,,,
,,12/31/2002,0.33082488,,,,,,,,,,,,,,,
,,9/30/2002,0.114412076,,,,,,,,,,,,,,,
,,6/28/2002,0.362595132,,,,,,,,,,,,,,,
,,3/28/2002,0.046080449,,,,,,,,,,,,,,,
,,12/31/2001,0.527710542,,,,,,,,,,,,,,,
,,9/28/2001,0.541909761,,,,,,,,,,,,,,,
,,6/29/2001,0.519475553,,,,,,,,,,,,,,,
,,3/30/2001,0.490904144,,,,,,,,,,,,,,,
,,12/29/2000,0.444407487,,,,,,,,,,,,,,,
,,9/29/2000,0.411899153,,,,,,,,,,,,,,,
,,6/30/2000,0.386329292,,,,,,,,,,,,,,,
,,3/31/2000,0.357364068,,,,,,,,,,,,,,,
,,12/31/1999,0.342143304,,,,,,,,,,,,,,,
,,9/30/1999,0.294502714,,,,,,,,,,,,,,,
,,6/30/1999,0.249727009,,,,,,,,,,,,,,,
,,3/31/1999,0.213626974,,,,,,,,,,,,,,,
,,12/31/1998,1.076359263,,,,,,,,,,,,,,,
,,9/30/1998,0.256970339,,,,,,,,,,,,,,,
,,6/30/1998,0.163720666,,,,,,,,,,,,,,,
,,3/31/1998,0.122949732,,,,,,,,,,,,,,,
,,12/31/1997,-2.275027021,,,,,,,,,,,,,,,
,,9/30/1997,0.198930357,,,,,,,,,,,,,,,
,,6/30/1997,0.033495171,,,,,,,,,,,,,,,
